Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,shRNA,treatment,GEO Accession
SRR13036591,31139122,2340275843,75,921,SRX9486653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709231,SAMN16770723,simple,9606,Homo sapiens,GSM4904490,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP GFP sh 0 DOX R1 RNA-Seq,LNCaP cell line,Non-targeting,untreated,GSM4904490
SRR13036592,47213584,3535960064,74,1356,SRX9486654,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709233,SAMN16770722,simple,9606,Homo sapiens,GSM4904491,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP GFP sh 0 DOX R2 RNA-Seq,LNCaP cell line,Non-targeting,untreated,GSM4904491
SRR13036593,39463205,2953369980,74,1146,SRX9486655,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709235,SAMN16770721,simple,9606,Homo sapiens,GSM4904492,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP GFP sh 0 DOX R3 RNA-Seq,LNCaP cell line,Non-targeting,untreated,GSM4904492
SRR13036594,36981835,2778434144,75,1072,SRX9486656,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709234,SAMN16769003,simple,9606,Homo sapiens,GSM4904493,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP GFP sh 200 DOX R1 RNA-Seq,LNCaP cell line,Non-targeting,200 ng/ml doxycycline 96 hours,GSM4904493
SRR13036595,39761014,2990095494,75,1143,SRX9486657,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709236,SAMN16769002,simple,9606,Homo sapiens,GSM4904494,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP GFP sh 200 DOX R2 RNA-Seq,LNCaP cell line,Non-targeting,200 ng/ml doxycycline 96 hours,GSM4904494
SRR13036596,36885698,2769197124,75,1063,SRX9486658,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709239,SAMN16769001,simple,9606,Homo sapiens,GSM4904495,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP GFP sh 200 DOX R3 RNA-Seq,LNCaP cell line,Non-targeting,200 ng/ml doxycycline 96 hours,GSM4904495
SRR13036597,57714509,4350322120,75,1641,SRX9486659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709237,SAMN16769000,simple,9606,Homo sapiens,GSM4904496,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 0 DOX R1 RNA-Seq,LNCaP cell line,METTL3 shRNA 1,untreated,GSM4904496
SRR13036598,23311491,1759361328,75,658,SRX9486660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709238,SAMN16769033,simple,9606,Homo sapiens,GSM4904497,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 0 DOX R2 RNA-Seq,LNCaP cell line,METTL3 shRNA 1,untreated,GSM4904497
SRR13036599,18632350,1406103715,75,527,SRX9486661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709240,SAMN16769032,simple,9606,Homo sapiens,GSM4904498,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 0 DOX R3 RNA-Seq,LNCaP cell line,METTL3 shRNA 1,untreated,GSM4904498
SRR13036600,35441365,2656702238,74,1026,SRX9486662,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709242,SAMN16769031,simple,9606,Homo sapiens,GSM4904499,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 0 DOX R4 RNA-Seq,LNCaP cell line,METTL3 shRNA 1,untreated,GSM4904499
SRR13036601,72543329,5443175753,75,2082,SRX9486663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709241,SAMN16769028,simple,9606,Homo sapiens,GSM4904500,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 200 DOX R1 RNA-Seq,LNCaP cell line,METTL3 shRNA 1,200 ng/ml doxycycline 96 hours,GSM4904500
SRR13036602,19243323,1452053081,75,546,SRX9486664,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709243,SAMN16769027,simple,9606,Homo sapiens,GSM4904501,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 200 DOX R2 RNA-Seq,LNCaP cell line,METTL3 shRNA 1,200 ng/ml doxycycline 96 hours,GSM4904501
SRR13036603,17753373,1338274846,75,503,SRX9486665,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709245,SAMN16769026,simple,9606,Homo sapiens,GSM4904502,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 200 DOX R3 RNA-Seq,LNCaP cell line,METTL3 shRNA 1,200 ng/ml doxycycline 96 hours,GSM4904502
SRR13036604,35770956,2673230365,74,1037,SRX9486666,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709248,SAMN16769030,simple,9606,Homo sapiens,GSM4904503,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 200 DOX R4 RNA-Seq,LNCaP cell line,METTL3 shRNA 1,200 ng/ml doxycycline 96 hours,GSM4904503
SRR13036605,22776311,1719480170,75,664,SRX9486667,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709249,SAMN16769029,simple,9606,Homo sapiens,GSM4904504,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 0 DOX R1 RNA-Seq,LNCaP cell line,METTL3 shRNA 2,untreated,GSM4904504
SRR13036606,18087264,1363309997,75,516,SRX9486668,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709244,SAMN16769025,simple,9606,Homo sapiens,GSM4904505,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 0 DOX R2 RNA-Seq,LNCaP cell line,METTL3 shRNA 2,untreated,GSM4904505
SRR13036607,35587782,1966559510,55,736,SRX9486669,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709250,SAMN16769024,simple,9606,Homo sapiens,GSM4904506,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 0 DOX R3 RNA-Seq,LNCaP cell line,METTL3 shRNA 2,untreated,GSM4904506
SRR13036608,35346656,2655927345,75,1040,SRX9486670,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709246,SAMN16769023,simple,9606,Homo sapiens,GSM4904507,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 0 DOX R4 RNA-Seq,LNCaP cell line,METTL3 shRNA 2,untreated,GSM4904507
SRR13036609,20673392,1559906524,75,589,SRX9486671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709247,SAMN16769022,simple,9606,Homo sapiens,GSM4904508,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 200 DOX R1 RNA-Seq,LNCaP cell line,METTL3 shRNA 2,200 ng/ml doxycycline 96 hours,GSM4904508
