Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,time,feeding,lysis buffer drugs,GEO Accession
SRR8557419,12555455,627772750,50,319,SRX5359112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349754,SAMN10910447,simple,10090,Mus musculus,GSM3597551,GEO,SRA848180,03,2020,Gobet,Liver,01_ZT4_2_AL_S1,Liver,C57BL/6,Liver,ZT04,Ad Libitum,CHX-,GSM3597551
SRR8557420,13051973,652598650,50,329,SRX5359112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349754,SAMN10910447,simple,10090,Mus musculus,GSM3597551,GEO,SRA848180,03,2020,Gobet,Liver,01_ZT4_2_AL_S1,Liver,C57BL/6,Liver,ZT04,Fasted,CHX+,GSM3597552
SRR8557421,12758359,637917950,50,323,SRX5359112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349754,SAMN10910447,simple,10090,Mus musculus,GSM3597551,GEO,SRA848180,03,2020,Gobet,Liver,01_ZT4_2_AL_S1,Liver,C57BL/6,Liver,ZT04,Fasted,CHX-,GSM3597553
SRR8557422,12486705,624335250,50,318,SRX5359112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349754,SAMN10910447,simple,10090,Mus musculus,GSM3597551,GEO,SRA848180,03,2020,Gobet,Liver,01_ZT4_2_AL_S1,Liver,C57BL/6,Liver,ZT12,Ad Libitum,CHX+,GSM3597554
SRR8557423,13527052,676352600,50,346,SRX5359113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349755,SAMN10910446,simple,10090,Mus musculus,GSM3597552,GEO,SRA848180,03,2020,Gobet,Liver,02_ZT4_1_ST_S3,Liver,C57BL/6,Liver,ZT12,Ad Libitum,CHX-,GSM3597555
SRR8557424,14073470,703673500,50,358,SRX5359113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349755,SAMN10910446,simple,10090,Mus musculus,GSM3597552,GEO,SRA848180,03,2020,Gobet,Liver,02_ZT4_1_ST_S3,Liver,C57BL/6,Liver,ZT12,Fasted,CHX+,GSM3597556
SRR8557425,13765160,688258000,50,352,SRX5359113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349755,SAMN10910446,simple,10090,Mus musculus,GSM3597552,GEO,SRA848180,03,2020,Gobet,Liver,02_ZT4_1_ST_S3,Liver,C57BL/6,Liver,ZT12,Fasted,CHX-,GSM3597557
SRR8557426,13467405,673370250,50,345,SRX5359113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349755,SAMN10910446,simple,10090,Mus musculus,GSM3597552,GEO,SRA848180,03,2020,Gobet,Liver,02_ZT4_1_ST_S3,Liver,C57BL/6,Liver,ZT18,Ad Libitum,CHX+,GSM3597558
SRR8557427,13586960,679348000,50,349,SRX5359114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349756,SAMN10910445,simple,10090,Mus musculus,GSM3597553,GEO,SRA848180,03,2020,Gobet,Liver,03_ZT4_2_ST_S5,Liver,C57BL/6,Liver,ZT18,Ad Libitum,CHX-,GSM3597559
SRR8557428,13991623,699581150,50,358,SRX5359114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349756,SAMN10910445,simple,10090,Mus musculus,GSM3597553,GEO,SRA848180,03,2020,Gobet,Liver,03_ZT4_2_ST_S5,Liver,C57BL/6,Liver,ZT18,Fasted,CHX+,GSM3597560
SRR8557429,13762481,688124050,50,353,SRX5359114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349756,SAMN10910445,simple,10090,Mus musculus,GSM3597553,GEO,SRA848180,03,2020,Gobet,Liver,03_ZT4_2_ST_S5,Liver,C57BL/6,Liver,ZT18,Fasted,CHX-,GSM3597561
