Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,treatment,GEO Accession
SRR7703371,44936204,1341841461,29,899,SRX4560694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158144,PRJNA486365,30867432,"",SRS3677289,SAMN09844284,simple,10090,Mus musculus,GSM3336235,GEO,SRA760072,03,2019,Gonen,MEF,PERK WT Control MEF,MEF,MEF,WT,Control,GSM3336235
SRR7703372,62221621,1840316735,29,1239,SRX4560695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158144,PRJNA486365,30867432,"",SRS3677286,SAMN09844283,simple,10090,Mus musculus,GSM3336236,GEO,SRA760072,03,2019,Gonen,MEF,PERK WT Tg1hr MEF,MEF,MEF,WT,Tg1hr,GSM3336236
SRR7703373,27372989,823789141,30,575,SRX4560696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158144,PRJNA486365,30867432,"",SRS3677285,SAMN09844295,simple,10090,Mus musculus,GSM3336237,GEO,SRA760072,03,2019,Gonen,MEF,PERK WT Tg2hr MEF,MEF,MEF,WT,Tg2hr,GSM3336237
SRR7703374,52405669,1584359449,30,1139,SRX4560697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158144,PRJNA486365,30867432,"",SRS3677288,SAMN09844294,simple,10090,Mus musculus,GSM3336238,GEO,SRA760072,03,2019,Gonen,MEF,PERK WT Tg5hr MEF,MEF,MEF,WT,Tg5hr,GSM3336238
SRR7703375,102363707,3109573352,30,2251,SRX4560698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158144,PRJNA486365,30867432,"",SRS3677287,SAMN09844293,simple,10090,Mus musculus,GSM3336239,GEO,SRA760072,03,2019,Gonen,MEF,PERK WT Tg8hr MEF,MEF,MEF,WT,Tg8hr,GSM3336239
SRR7703376,32519990,968643018,29,650,SRX4560699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158144,PRJNA486365,30867432,"",SRS3677290,SAMN09844292,simple,10090,Mus musculus,GSM3336240,GEO,SRA760072,03,2019,Gonen,MEF,PERK -/- Control MEF,MEF,MEF,PERK -/-,Control,GSM3336240
SRR7703377,42460238,1283192174,30,857,SRX4560700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158144,PRJNA486365,30867432,"",SRS3677291,SAMN09844291,simple,10090,Mus musculus,GSM3336241,GEO,SRA760072,03,2019,Gonen,MEF,PERK -/- Tg1hr MEF,MEF,MEF,PERK -/-,Tg1hr,GSM3336241
SRR7703378,48845009,1509565402,30,1005,SRX4560701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158144,PRJNA486365,30867432,"",SRS3677292,SAMN09844290,simple,10090,Mus musculus,GSM3336242,GEO,SRA760072,03,2019,Gonen,MEF,PERK -/- Tg2hr MEF,MEF,MEF,PERK -/-,Tg2hr,GSM3336242
SRR7703379,53488211,1605333425,30,1085,SRX4560702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158144,PRJNA486365,30867432,"",SRS3677293,SAMN09844289,simple,10090,Mus musculus,GSM3336243,GEO,SRA760072,03,2019,Gonen,MEF,PERK -/- Tg5hr MEF,MEF,MEF,PERK -/-,Tg5hr,GSM3336243
SRR7703380,45168095,1370982601,30,916,SRX4560703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158144,PRJNA486365,30867432,"",SRS3677294,SAMN09844288,simple,10090,Mus musculus,GSM3336244,GEO,SRA760072,03,2019,Gonen,MEF,PERK -/- Tg8hr MEF,MEF,MEF,PERK -/-,Tg8hr,GSM3336244
