Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell line/type,genotype/treatment,molecule subtype,cell type,genotype/variation,GEO Accession
SRR14714407,35689383,1820158533,51,691,SRX11051740,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322410,PRJNA734658,34782646,"",SRS9119659,SAMN19516460,simple,10090,Mus musculus,GSM5354278,GEO,SRA1239866,11,2021,Gu,MEF Ribo-seq Control,MEF_cells_Ribo-seq_Control_rep1,MEF Ribo-seq Control,C57BL/6J,Mouse embryonic fibroblasts,Control,Ribosome associated RNA,,,GSM5354278
SRR14714408,38101833,1943193483,51,714,SRX11051741,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322410,PRJNA734658,34782646,"",SRS9119660,SAMN19516459,simple,10090,Mus musculus,GSM5354279,GEO,SRA1239866,11,2021,Gu,MEF Ribo-seq control,MEF_cells_Ribo-seq_Control_rep2,MEF Ribo-seq control,C57BL/6J,Mouse embryonic fibroblasts,control,Ribosome associated RNA,,,GSM5354279
SRR14714409,30152816,1537793616,51,591,SRX11051742,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322410,PRJNA734658,34782646,"",SRS9119661,SAMN19516458,simple,10090,Mus musculus,GSM5354280,GEO,SRA1239866,11,2021,Gu,MEF Ribo-seq eIF4A1 knockdown,MEF_cells_Ribo-seq_eIF4A1_KD_rep1,MEF Ribo-seq eIF4A1 knockdown,C57BL/6J,Mouse embryonic fibroblasts,eIF4A1 knockdown,Ribosome associated RNA,,,GSM5354280
SRR14714410,41388602,2110818702,51,786,SRX11051743,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322410,PRJNA734658,34782646,"",SRS9119662,SAMN19516457,simple,10090,Mus musculus,GSM5354281,GEO,SRA1239866,11,2021,Gu,MEF Ribo-seq eIF4A1 knockdown,MEF_cells_Ribo-seq_eIF4A1_KD_rep2,MEF Ribo-seq eIF4A1 knockdown,C57BL/6J,Mouse embryonic fibroblasts,eIF4A1 knockdown,Ribosome associated RNA,,,GSM5354281
SRR14714411,31792855,1621435605,51,616,SRX11051744,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322410,PRJNA734658,34782646,"",SRS9119663,SAMN19516456,simple,10090,Mus musculus,GSM5354282,GEO,SRA1239866,11,2021,Gu,MEF Ribo-seq PateamineA treatment 2h,MEF_cells_Ribo-seq_PateamineA_2h,MEF Ribo-seq PateamineA treatment 2h,C57BL/6J,Mouse embryonic fibroblasts,PateamineA treatment 2h,Ribosome associated RNA,,,GSM5354282
SRR14714412,29434044,1501136244,51,576,SRX11051745,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322410,PRJNA734658,34782646,"",SRS9119664,SAMN19516455,simple,10090,Mus musculus,GSM5354283,GEO,SRA1239866,11,2021,Gu,MEF Ribo-seq PateamineA treatment 8h,MEF_cells_Ribo-seq_PateamineA_8h,MEF Ribo-seq PateamineA treatment 8h,C57BL/6J,Mouse embryonic fibroblasts,PateamineA treatment 8h,Ribosome associated RNA,,,GSM5354283
SRR14714413,28817871,1469711421,51,544,SRX11051746,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322410,PRJNA734658,34782646,"",SRS9119665,SAMN19516454,simple,10090,Mus musculus,GSM5354284,GEO,SRA1239866,11,2021,Gu,MEF Ribo-seq Hippuristanol treatment 2h,MEF_cells_Ribo-seq_Hippuristanol_2h,MEF Ribo-seq Hippuristanol treatment 2h,C57BL/6J,Mouse embryonic fibroblasts,Hippuristanol treatment 2h,Ribosome associated RNA,,,GSM5354284
SRR14714414,52697052,2687549652,51,993,SRX11051747,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322410,PRJNA734658,34782646,"",SRS9119666,SAMN19516453,simple,10090,Mus musculus,GSM5354285,GEO,SRA1239866,11,2021,Gu,MEF Ribo-seq Hippuristanol treatment 8h,MEF_cells_Ribo-seq_Hippuristanol_8h,MEF Ribo-seq Hippuristanol treatment 8h,C57BL/6J,Mouse embryonic fibroblasts,Hippuristanol treatment 8h,Ribosome associated RNA,,,GSM5354285
SRR14714415,44870051,3813954335,85,1720,SRX11051748,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119667,SAMN19516452,simple,10090,Mus musculus,GSM5354286,GEO,SRA1239866,11,2021,Gu,MEF 80S ribosome-seq Control,MEF_cells_80S-seq_Control,MEF 80S ribosome-seq Control,C57BL/6J,Mouse embryonic fibroblasts,Control,Ribosome associated RNA,,,GSM5354286
SRR14714416,48375361,4111905685,85,1858,SRX11051749,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119668,SAMN19516451,simple,10090,Mus musculus,GSM5354287,GEO,SRA1239866,11,2021,Gu,MEF 80S ribosome-seq eIF4A1 knockdown,MEF_cells_80S-seq_eIF4A1_KD,MEF 80S ribosome-seq eIF4A1 knockdown,C57BL/6J,Mouse embryonic fibroblasts,eIF4A1 knockdown,Ribosome associated RNA,,,GSM5354287
