Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell type,age,Sex,cell line,treatment,GEO Accession
SRR5422929,109522766,17742688092,81,6783,SRX2714432,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105624,SAMN06692142,simple,10090,Mus musculus,GSM2565655,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",PN42_Drd1a_TS_1419,"Brain, striatum",Drd1::EGFP-L10a on C56BL/6J background,D1 spiny projection neurons,42 days old,female,,,GSM2565655
SRR5422930,90814992,14712028704,81,5596,SRX2714433,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105625,SAMN06692141,simple,10090,Mus musculus,GSM2565656,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",PN42_Drd1a_TS_1420,"Brain, striatum",Drd1::EGFP-L10a on C56BL/6J background,D1 spiny projection neurons,42 days old,female,,,GSM2565656
SRR5422931,124053849,20096723538,81,7641,SRX2714434,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105626,SAMN06692140,simple,10090,Mus musculus,GSM2565657,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",PN42_Drd1a_TS_1414,"Brain, striatum",Drd1::EGFP-L10a on C56BL/6J background,D1 spiny projection neurons,42 days old,female,,,GSM2565657
SRR5422932,115943767,18782890254,81,7186,SRX2714435,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105627,SAMN06692155,simple,10090,Mus musculus,GSM2565658,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",PN42_Drd1a_TS_1418,"Brain, striatum",Drd1::EGFP-L10a on C56BL/6J background,D1 spiny projection neurons,42 days old,female,,,GSM2565658
SRR5422933,88043325,14263018650,81,5315,SRX2714436,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105628,SAMN06692154,simple,10090,Mus musculus,GSM2565659,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",PN42_Drd2_TS_1124,"Brain, striatum",Drd2::EGFP-L10a on C56BL/6J background,D2 spiny projection neurons,42 days old,female,,,GSM2565659
SRR5422934,118713234,19231543908,81,7187,SRX2714437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105629,SAMN06692153,simple,10090,Mus musculus,GSM2565660,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",PN42_Drd2_TS_1120,"Brain, striatum",Drd2::EGFP-L10a on C56BL/6J background,D2 spiny projection neurons,42 days old,female,,,GSM2565660
SRR5422935,106226763,17208735606,81,6430,SRX2714438,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105630,SAMN06692152,simple,10090,Mus musculus,GSM2565661,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",PN42_Drd2_TS_1118,"Brain, striatum",Drd2::EGFP-L10a on C56BL/6J background,D2 spiny projection neurons,42 days old,female,,,GSM2565661
SRR5422936,108952608,17650322496,81,6552,SRX2714439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105631,SAMN06692151,simple,10090,Mus musculus,GSM2565662,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",PN42_Drd2_TS_1117,"Brain, striatum",Drd2::EGFP-L10a on C56BL/6J background,D2 spiny projection neurons,42 days old,female,,,GSM2565662
SRR5422937,84340444,13663151928,81,5094,SRX2714440,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105632,SAMN06692150,simple,10090,Mus musculus,GSM2565663,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",2yr_Drd1a_TS_203,"Brain, striatum",Drd1::EGFP-L10a on C56BL/6J background,D1 spiny projection neurons,2 years old,female,,,GSM2565663
SRR5422938,123313427,19976775174,81,7462,SRX2714441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105633,SAMN06692149,simple,10090,Mus musculus,GSM2565664,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",2yr_Drd1a_TS_185,"Brain, striatum",Drd1::EGFP-L10a on C56BL/6J background,D1 spiny projection neurons,2 years old,female,,,GSM2565664
SRR5422939,96204272,15585092064,81,5823,SRX2714442,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105634,SAMN06692148,simple,10090,Mus musculus,GSM2565665,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",2yr_Drd1a_TS_205,"Brain, striatum",Drd1::EGFP-L10a on C56BL/6J background,D1 spiny projection neurons,2 years old,female,,,GSM2565665
SRR5422940,88843043,14392572966,81,5351,SRX2714443,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105635,SAMN06692147,simple,10090,Mus musculus,GSM2565666,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",2yr_Drd1a_TS_184,"Brain, striatum",Drd1::EGFP-L10a on C56BL/6J background,D1 spiny projection neurons,2 years old,female,,,GSM2565666
SRR5422941,96441905,15623588610,81,6170,SRX2714444,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105636,SAMN06692146,simple,10090,Mus musculus,GSM2565667,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",2yr_Drd2_TS_241,"Brain, striatum",Drd2::EGFP-L10a on C56BL/6J background,D2 spiny projection neurons,2 years old,female,,,GSM2565667
SRR5422942,115916057,18778401234,81,7410,SRX2714445,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105637,SAMN06692145,simple,10090,Mus musculus,GSM2565668,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",2yr_Drd2_TS_240,"Brain, striatum",Drd2::EGFP-L10a on C56BL/6J background,D2 spiny projection neurons,2 years old,female,,,GSM2565668
SRR5422943,210294089,34067642418,81,13469,SRX2714446,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105638,SAMN06692144,simple,10090,Mus musculus,GSM2565669,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",2yr_Drd2_TS_223,"Brain, striatum",Drd2::EGFP-L10a on C56BL/6J background,D2 spiny projection neurons,2 years old,female,,,GSM2565669
SRR5422944,61360392,9940383504,81,4326,SRX2714447,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS2105639,SAMN06692143,simple,10090,Mus musculus,GSM2565670,GEO,SRA552128,08,2017,Sudmant,"Brain, striatum",2yr_Drd2_TS_222,"Brain, striatum",Drd2::EGFP-L10a on C56BL/6J background,D2 spiny projection neurons,2 years old,female,,,GSM2565670
SRR8194801,59817794,4187245580,70,2035,SRX5014209,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS4048076,SAMN10432917,simple,10090,Mus musculus,GSM3475596,GEO,SRA552128,11,2018,Sudmant,NIH-3T3 cell line,PQ_2745L-170901Bur_D17-7551_NA_sequence,NIH-3T3 cell line,,,,,NIH-3T3,100uM paraquat,GSM3475596
SRR8194802,60930556,4265138920,70,2074,SRX5014210,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS4048077,SAMN10432916,simple,10090,Mus musculus,GSM3475597,GEO,SRA552128,11,2018,Sudmant,NIH-3T3 cell line,siA_2745L-170901Bur_D17-7550_NA_sequence,NIH-3T3 cell line,,,,,NIH-3T3,ABCE1 siRNA,GSM3475597
SRR8194803,68025539,4761787730,70,2311,SRX5014211,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP103213,PRJNA381914,30485811,"",SRS4048078,SAMN10432915,simple,10090,Mus musculus,GSM3475598,GEO,SRA552128,11,2018,Sudmant,NIH-3T3 cell line,siC_2745L-170901Bur_D17-7549_NA_sequence,NIH-3T3 cell line,,,,,NIH-3T3,control siRNA,GSM3475598
