Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,experiment,actd treatment,shRNA knockdown,GEO Accession
SRR7535556,68735864,5183048005,75,2233,SRX4403373,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557847,SAMN09688281,simple,9606,Homo sapiens,GSM3290679,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa_Input,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,,,GSM3290679
SRR7535557,53566897,4033498512,75,1746,SRX4403374,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557849,SAMN09688280,simple,9606,Homo sapiens,GSM3290680,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa_Mono,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,,,GSM3290680
SRR7535558,58863723,4436186742,75,1912,SRX4403375,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557848,SAMN09688279,simple,9606,Homo sapiens,GSM3290681,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa_Poly,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,,,GSM3290681
SRR7535559,62099061,4668096158,75,2017,SRX4403376,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557850,SAMN09688278,simple,9606,Homo sapiens,GSM3290682,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP_Input,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,,,GSM3290682
SRR7535560,54755831,4128938817,75,1783,SRX4403377,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557851,SAMN09688273,simple,9606,Homo sapiens,GSM3290683,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP_Mono,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,,,GSM3290683
SRR7535561,60398521,4553834158,75,1958,SRX4403378,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557852,SAMN09688272,simple,9606,Homo sapiens,GSM3290684,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP_Poly,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,,,GSM3290684
SRR7535562,42579058,3209440254,75,1387,SRX4403379,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557853,SAMN09688277,simple,9606,Homo sapiens,GSM3290685,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2_Input,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,,,GSM3290685
SRR7535563,35134191,2648398449,75,1143,SRX4403380,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557854,SAMN09688276,simple,9606,Homo sapiens,GSM3290686,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2_Mono,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,,,GSM3290686
SRR7535564,33931329,2557805114,75,1104,SRX4403381,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557855,SAMN09688275,simple,9606,Homo sapiens,GSM3290687,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2_Poly,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,,,GSM3290687
SRR7535565,21980229,1658115325,75,718,SRX4403382,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557856,SAMN09688274,simple,9606,Homo sapiens,GSM3290688,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3_Input,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,,,GSM3290688
SRR7535566,23910913,1803899342,75,781,SRX4403383,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557857,SAMN09688271,simple,9606,Homo sapiens,GSM3290689,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3_Mono,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,,,GSM3290689
SRR7535567,61978787,4670551858,75,2017,SRX4403384,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557858,SAMN09688270,simple,9606,Homo sapiens,GSM3290690,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3_Poly,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,,,GSM3290690
SRR7535568,23160146,1712995543,73,639,SRX4403385,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557860,SAMN09688269,simple,9606,Homo sapiens,GSM3290691,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa-A0h,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,0h,control,GSM3290691
SRR7535569,21539952,1591839293,73,607,SRX4403386,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557859,SAMN09688268,simple,9606,Homo sapiens,GSM3290692,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP-A0h,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,0h,ShGFP,GSM3290692
SRR7535570,23526677,1740420585,73,647,SRX4403387,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557861,SAMN09688267,simple,9606,Homo sapiens,GSM3290693,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2-A0h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,0h,ShML3-2,GSM3290693
