Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,plasmid,treatment,GEO Accession
SRR14605917,50025938,1281017332,25,621,SRX10949048,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027921,SAMN19287229,simple,9606,Homo sapiens,GSM5326922,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_vec_DMSO1,HEK293 T-REx,HEK293 T-REx,naive,pI.18-3xFLAG,DMSO,GSM5326922
SRR14605918,16946552,434797062,25,210,SRX10949049,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027922,SAMN19287234,simple,9606,Homo sapiens,GSM5326923,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_vec_DMSO2,HEK293 T-REx,HEK293 T-REx,naive,pI.18-3xFLAG,DMSO,GSM5326923
SRR14605919,23893610,618751000,25,281,SRX10949050,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027920,SAMN19287238,simple,9606,Homo sapiens,GSM5326924,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_vec_Tg50,HEK293 T-REx,HEK293 T-REx,naive,pI.18-3xFLAG,Thapsigargin 50 nM,GSM5326924
SRR14605920,25039753,656795844,26,296,SRX10949051,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027923,SAMN19287237,simple,9606,Homo sapiens,GSM5326925,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_vec_Tg500,HEK293 T-REx,HEK293 T-REx,naive,pI.18-3xFLAG,Thapsigargin 500 nM,GSM5326925
SRR14605921,20058029,521751862,26,251,SRX10949052,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027924,SAMN19287236,simple,9606,Homo sapiens,GSM5326926,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_NSs_DMSO1,HEK293 T-REx,HEK293 T-REx,naive,pI.18-SFSVNSs-3xFLAG,DMSO,GSM5326926
SRR14605922,24844148,645117036,25,311,SRX10949053,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027925,SAMN19287235,simple,9606,Homo sapiens,GSM5326927,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_NSs_DMSO2,HEK293 T-REx,HEK293 T-REx,naive,pI.18-SFSVNSs-3xFLAG,DMSO,GSM5326927
SRR14605923,37285699,976528032,26,443,SRX10949054,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027926,SAMN19287233,simple,9606,Homo sapiens,GSM5326928,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_NSs_Tg50,HEK293 T-REx,HEK293 T-REx,naive,pI.18-SFSVNSs-3xFLAG,Thapsigargin 50 nM,GSM5326928
SRR14605924,30562385,797891524,26,363,SRX10949055,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027927,SAMN19287232,simple,9606,Homo sapiens,GSM5326929,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_NSs_Tg500,HEK293 T-REx,HEK293 T-REx,naive,pI.18-SFSVNSs-3xFLAG,Thapsigargin 500 nM,GSM5326929
SRR14605925,22509524,583330066,25,282,SRX10949056,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027928,SAMN19287231,simple,9606,Homo sapiens,GSM5326930,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_mut_DMSO1,HEK293 T-REx,HEK293 T-REx,naive,pI.18-SFSVNSs-c1+2-Ala-mut-3xFLAG,DMSO,GSM5326930
SRR14605926,20103302,519234643,25,253,SRX10949057,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027929,SAMN19287230,simple,9606,Homo sapiens,GSM5326931,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_mut_DMSO2,HEK293 T-REx,HEK293 T-REx,naive,pI.18-SFSVNSs-c1+2-Ala-mut-3xFLAG,DMSO,GSM5326931
SRR14605927,23298426,616740422,26,280,SRX10949058,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027930,SAMN19287228,simple,9606,Homo sapiens,GSM5326932,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_mut_Tg50,HEK293 T-REx,HEK293 T-REx,naive,pI.18-SFSVNSs-c1+2-Ala-mut-3xFLAG,Thapsigargin 50 nM,GSM5326932
SRR14605928,23876136,648087755,27,288,SRX10949059,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027931,SAMN19287274,simple,9606,Homo sapiens,GSM5326933,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,Ribo_mut_Tg500,HEK293 T-REx,HEK293 T-REx,naive,pI.18-SFSVNSs-c1+2-Ala-mut-3xFLAG,Thapsigargin 500 nM,GSM5326933
SRR14605929,34273868,1747726519,50,636,SRX10949060,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027932,SAMN19287273,simple,9606,Homo sapiens,GSM5326934,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,RNA_vec_DMSO1,HEK293 T-REx,HEK293 T-REx,naive,pI.18-3xFLAG,DMSO,GSM5326934
SRR14605930,28500650,1453325119,50,526,SRX10949061,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027933,SAMN19287272,simple,9606,Homo sapiens,GSM5326935,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,RNA_vec_DMSO2,HEK293 T-REx,HEK293 T-REx,naive,pI.18-3xFLAG,DMSO,GSM5326935
SRR14605931,33989096,1733204439,50,630,SRX10949062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320683,PRJNA731488,34876589,"",SRS9027934,SAMN19287271,simple,9606,Homo sapiens,GSM5326936,GEO,SRA1234845,11,2021,Kashiwagi,HEK293 T-REx,RNA_vec_Tg50,HEK293 T-REx,HEK293 T-REx,naive,pI.18-3xFLAG,Thapsigargin 50 nM,GSM5326936
