Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genetic background,cell treatment,assay type,cell lysis conditions,GEO Accession
SRR9659371,29813668,1520497068,51,550,SRX6420387,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077322,SAMN12236604,simple,10090,Mus musculus,GSM3933414,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Aven_CHX30,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Aven3xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),TN150+NP40,GSM3933414
SRR9659372,148718660,7584651660,51,2839,SRX6420388,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077323,SAMN12236603,simple,10090,Mus musculus,GSM3933415,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Aven_1,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Aven3xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),RIPA,GSM3933415
SRR9659373,35416363,1806234513,51,657,SRX6420389,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077324,SAMN12236602,simple,10090,Mus musculus,GSM3933416,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Aven_2,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Aven3xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),TN150+NP40,GSM3933416
SRR9659374,24173340,1232840340,51,456,SRX6420390,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077325,SAMN12236601,simple,10090,Mus musculus,GSM3933417,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Aven_3,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Aven3xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),TN150+NP40,GSM3933417
SRR9659375,33279466,1697252766,51,615,SRX6420391,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077326,SAMN12236600,simple,10090,Mus musculus,GSM3933418,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Mtr4_5,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V5 Mtr43xFlag-Avi/3xFlag-Avi,none,CRAC (long protocol),RIPA,GSM3933418
SRR9659376,28291818,1442882718,51,557,SRX6420392,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077327,SAMN12236599,simple,10090,Mus musculus,GSM3933419,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Mtr4_3,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V5 Mtr43xFlag-Avi/3xFlag-Avi,none,CRAC (long protocol),RIPA,GSM3933419
SRR9659377,33566786,1711906086,51,649,SRX6420393,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077328,SAMN12236598,simple,10090,Mus musculus,GSM3933420,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Mtr4_6,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V5 Mtr43xFlag-Avi/3xFlag-Avi,none,CRAC (long protocol),RIPA,GSM3933420
SRR9659378,122161106,6230216406,51,2325,SRX6420394,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077329,SAMN12236597,simple,10090,Mus musculus,GSM3933421,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Rps10_1,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Rps103xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),TN150+NP40,GSM3933421
SRR9659379,70002391,3570121941,51,1356,SRX6420395,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077330,SAMN12236596,simple,10090,Mus musculus,GSM3933422,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_CHX30,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,CRAC (long protocol),RIPA,GSM3933422
SRR9659380,73682911,3757828461,51,1524,SRX6420395,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077330,SAMN12236596,simple,10090,Mus musculus,GSM3933422,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_CHX30,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,CRAC (long protocol),RIPA,GSM3933423
