Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,collected_by,collection_date,geo_loc_name,isolation_source,lat_lon,BioSampleModel
SRR14532580,122818517,12281851700,100,3629,SRX10877281,Fusarium graminearum 1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319789,PRJNA729812,1,"",SRS8970774,SAMN19104712,simple,5518,Fusarium graminearum,Fusarium graminearum,commonwealth scientific industrial research organisation,SRA1232153,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14532579,118839439,11883943900,100,3997,SRX10877282,Fusarium graminearum 2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319789,PRJNA729812,1,"",SRS8970774,SAMN19104712,simple,5518,Fusarium graminearum,Fusarium graminearum,commonwealth scientific industrial research organisation,SRA1232153,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14532578,139148179,13914817900,100,4092,SRX10877283,Fusarium graminearum 3,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319789,PRJNA729812,1,"",SRS8970774,SAMN19104712,simple,5518,Fusarium graminearum,Fusarium graminearum,commonwealth scientific industrial research organisation,SRA1232153,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14532577,138512477,13851247700,100,3922,SRX10877284,Fusarium graminearum 4,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319789,PRJNA729812,1,"",SRS8970774,SAMN19104712,simple,5518,Fusarium graminearum,Fusarium graminearum,commonwealth scientific industrial research organisation,SRA1232153,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14532576,110390288,11039028800,100,3677,SRX10877285,Fusarium graminearum 5,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319789,PRJNA729812,1,"",SRS8970774,SAMN19104712,simple,5518,Fusarium graminearum,Fusarium graminearum,commonwealth scientific industrial research organisation,SRA1232153,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14532575,108423988,10842398800,100,3188,SRX10877286,Fusarium graminearum 6,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319789,PRJNA729812,1,"",SRS8970774,SAMN19104712,simple,5518,Fusarium graminearum,Fusarium graminearum,commonwealth scientific industrial research organisation,SRA1232153,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14532574,122434725,12243472500,100,3661,SRX10877287,Fusarium graminearum 7,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319789,PRJNA729812,1,"",SRS8970774,SAMN19104712,simple,5518,Fusarium graminearum,Fusarium graminearum,commonwealth scientific industrial research organisation,SRA1232153,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14532573,137215324,13721532400,100,4188,SRX10877288,Fusarium graminearum 8,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319789,PRJNA729812,1,"",SRS8970774,SAMN19104712,simple,5518,Fusarium graminearum,Fusarium graminearum,commonwealth scientific industrial research organisation,SRA1232153,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14532572,143281273,14328127300,100,4721,SRX10877289,Fusarium graminearum 9,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319789,PRJNA729812,1,"",SRS8970774,SAMN19104712,simple,5518,Fusarium graminearum,Fusarium graminearum,commonwealth scientific industrial research organisation,SRA1232153,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14532571,143264374,14326437400,100,4198,SRX10877290,Fusarium graminearum 10,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319789,PRJNA729812,1,"",SRS8970774,SAMN19104712,simple,5518,Fusarium graminearum,Fusarium graminearum,commonwealth scientific industrial research organisation,SRA1232153,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
