Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cultivar,line,tissue,experiment type,molecule subtype,GEO Accession
SRR8763264,1895602,94780100,50,40,SRX5554177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518072,SAMN11191744,simple,4081,Solanum lycopersicum,GSM3682208,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TOTCONHAIRYROOTT6A [A17_TOTAL],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,polyA RNA,GSM3682208
SRR8763265,1862453,94985103,51,40,SRX5554177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518072,SAMN11191744,simple,4081,Solanum lycopersicum,GSM3682208,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TOTCONHAIRYROOTT6A [A17_TOTAL],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,TRAP RNA,GSM3682209
SRR8763266,2282136,116388936,51,47,SRX5554177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518072,SAMN11191744,simple,4081,Solanum lycopersicum,GSM3682208,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TOTCONHAIRYROOTT6A [A17_TOTAL],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,polyA RNA,GSM3682210
SRR8763267,1746191,89055741,51,38,SRX5554177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518072,SAMN11191744,simple,4081,Solanum lycopersicum,GSM3682208,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TOTCONHAIRYROOTT6A [A17_TOTAL],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,TRAP RNA,GSM3682211
SRR8763268,1730246,88242546,51,40,SRX5554177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518072,SAMN11191744,simple,4081,Solanum lycopersicum,GSM3682208,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TOTCONHAIRYROOTT6A [A17_TOTAL],7 days-old seedling shoot apical meristem,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling shoot apical meristem,Random primed libraries,polyA RNA,GSM3682212
SRR8763269,2923630,146181500,50,63,SRX5554178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518074,SAMN11191733,simple,4081,Solanum lycopersicum,GSM3682209,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRACONHAIRYROOTT6A [A17_TRAP],7 days-old seedling shoot apical meristem,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling shoot apical meristem,Random primed libraries,TRAP RNA,GSM3682213
SRR8763270,4314508,220039908,51,90,SRX5554178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518074,SAMN11191733,simple,4081,Solanum lycopersicum,GSM3682209,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRACONHAIRYROOTT6A [A17_TRAP],7 days-old seedling shoot apical meristem,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling shoot apical meristem,Random primed libraries,polyA RNA,GSM3682214
SRR8763271,4019905,205015155,51,83,SRX5554178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518074,SAMN11191733,simple,4081,Solanum lycopersicum,GSM3682209,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRACONHAIRYROOTT6A [A17_TRAP],7 days-old seedling shoot apical meristem,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling shoot apical meristem,Random primed libraries,TRAP RNA,GSM3682215
SRR8763272,7585558,386863458,51,138,SRX5554178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518074,SAMN11191733,simple,4081,Solanum lycopersicum,GSM3682209,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRACONHAIRYROOTT6A [A17_TRAP],7 days-old seedling shoot apical meristem,Solanum pennellii LA0716,35S:His6:FLAG-GFP-AtRPL18-1,7 days-old seedling shoot apical meristem,Random primed libraries,polyA RNA,GSM3682216
SRR8763273,2912382,148531482,51,63,SRX5554178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518074,SAMN11191733,simple,4081,Solanum lycopersicum,GSM3682209,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRACONHAIRYROOTT6A [A17_TRAP],7 days-old seedling shoot apical meristem,Solanum pennellii LA0716,35S:His6:FLAG-GFP-AtRPL18-1,7 days-old seedling shoot apical meristem,Random primed libraries,TRAP RNA,GSM3682217
