Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,GEO Accession
SRR6515945,17771082,888554100,50,557,SRX3603915,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871804,SAMN08407889,simple,4932,Saccharomyces cerevisiae,GSM2958756,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1 (D208A) mRNA, replicate 1",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0 xrn1D208A (HIS marker),GSM2958756
SRR6515946,16096316,804815800,50,504,SRX3603916,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871805,SAMN08407895,simple,4932,Saccharomyces cerevisiae,GSM2958759,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1 (D208A) mRNA, replicate 2",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0 xrn1D208A (HIS marker),GSM2958759
SRR6515947,16558307,827915350,50,550,SRX3603917,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871806,SAMN08407894,simple,4932,Saccharomyces cerevisiae,GSM2958761,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1-degron T0 mRNA, replicate 1",whole cell,"BY25598; MATa ura3-1::ADH1-OsTIR1-9Myc(URA3) ade2-1 his3-11,15 leu2-3,112 trp1-1 can1-100 XRN1-AID (HIS)",GSM2958761
SRR6515948,10418090,520904500,50,349,SRX3603918,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871807,SAMN08407893,simple,4932,Saccharomyces cerevisiae,GSM2958762,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1-degron T0 mRNA, replicate 2",whole cell,"BY25598; MATa ura3-1::ADH1-OsTIR1-9Myc(URA3) ade2-1 his3-11,15 leu2-3,112 trp1-1 can1-100 XRN1-AID (HIS)",GSM2958762
SRR6515949,16610412,830520600,50,551,SRX3603919,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871808,SAMN08407892,simple,4932,Saccharomyces cerevisiae,GSM2958764,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1-degron T30 mRNA, replicate 1",whole cell,"BY25598; MATa ura3-1::ADH1-OsTIR1-9Myc(URA3) ade2-1 his3-11,15 leu2-3,112 trp1-1 can1-100 XRN1-AID (HIS)",GSM2958764
SRR6515950,18580082,929004100,50,614,SRX3603920,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871810,SAMN08407891,simple,4932,Saccharomyces cerevisiae,GSM2958765,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1-degron T30 mRNA, replicate 2",whole cell,"BY25598; MATa ura3-1::ADH1-OsTIR1-9Myc(URA3) ade2-1 his3-11,15 leu2-3,112 trp1-1 can1-100 XRN1-AID (HIS)",GSM2958765
SRR6515951,10935113,546755650,50,347,SRX3603921,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871809,SAMN08407890,simple,4932,Saccharomyces cerevisiae,GSM2958767,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"WT mRNA, replicate 1",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0,GSM2958767
SRR6515952,11621987,581099350,50,372,SRX3603922,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871811,SAMN08407888,simple,4932,Saccharomyces cerevisiae,GSM2958768,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"WT mRNA, replicate 2",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0,GSM2958768
SRR6515953,13861670,693083500,50,546,SRX3603923,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871812,SAMN08407886,simple,4932,Saccharomyces cerevisiae,GSM2958770,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"WT mRNA, replicate 3",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0,GSM2958770
SRR6515954,12174886,373033327,30,240,SRX3603924,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871813,SAMN08407905,simple,4932,Saccharomyces cerevisiae,GSM2958771,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1 (D208A) RPF, replicate 1",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0 xrn1D208A (HIS marker),GSM2958771
SRR6515955,11027987,336522722,30,216,SRX3603925,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871814,SAMN08407904,simple,4932,Saccharomyces cerevisiae,GSM2958773,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1 (D208A) RPF, replicate 2",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0 xrn1D208A (HIS marker),GSM2958773
SRR6515956,15046214,458986801,30,298,SRX3603926,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871815,SAMN08407903,simple,4932,Saccharomyces cerevisiae,GSM2958774,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1 (D208A) RPF, replicate 3",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0 xrn1D208A (HIS marker),GSM2958774
SRR6515957,16969483,517971217,30,336,SRX3603927,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871816,SAMN08407902,simple,4932,Saccharomyces cerevisiae,GSM2958776,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1-degron T0 RPF, replicate 1",whole cell,"BY25598; MATa ura3-1::ADH1-OsTIR1-9Myc(URA3) ade2-1 his3-11,15 leu2-3,112 trp1-1 can1-100 XRN1-AID (HIS)",GSM2958776
SRR6515958,30149333,922722819,30,597,SRX3603928,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871817,SAMN08407901,simple,4932,Saccharomyces cerevisiae,GSM2958777,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1-degron T0 RPF, replicate 2",whole cell,"BY25598; MATa ura3-1::ADH1-OsTIR1-9Myc(URA3) ade2-1 his3-11,15 leu2-3,112 trp1-1 can1-100 XRN1-AID (HIS)",GSM2958777
SRR6515959,22934125,684797712,29,441,SRX3603929,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871818,SAMN08407900,simple,4932,Saccharomyces cerevisiae,GSM2958779,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1-degron T30 RPF, replicate 1",whole cell,"BY25598; MATa ura3-1::ADH1-OsTIR1-9Myc(URA3) ade2-1 his3-11,15 leu2-3,112 trp1-1 can1-100 XRN1-AID (HIS)",GSM2958779
SRR6515960,18624411,557770865,29,359,SRX3603930,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871819,SAMN08407899,simple,4932,Saccharomyces cerevisiae,GSM2958780,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"Xrn1-degron T30 RPF, replicate 2",whole cell,"BY25598; MATa ura3-1::ADH1-OsTIR1-9Myc(URA3) ade2-1 his3-11,15 leu2-3,112 trp1-1 can1-100 XRN1-AID (HIS)",GSM2958780
SRR6515961,28905052,855004779,29,554,SRX3603931,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871820,SAMN08407898,simple,4932,Saccharomyces cerevisiae,GSM2958782,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"WT RPF, replicate 1",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0,GSM2958782
SRR6515962,37334344,1095851943,29,708,SRX3603932,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871821,SAMN08407897,simple,4932,Saccharomyces cerevisiae,GSM2958783,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"WT RPF, replicate 2",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0,GSM2958783
SRR6515963,17505437,525959616,30,351,SRX3603933,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP131527,PRJNA431807,30899024,"",SRS2871822,SAMN08407896,simple,4932,Saccharomyces cerevisiae,GSM2958784,GEO,SRA652877,02,2019,Blasco-Moreno,whole cell,"WT RPF, replicate 3",whole cell,MATa his3<delta>1 leu2<delta>0 met15<delta>0 ura3<delta>0,GSM2958784
