Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,GEO Accession
SRR8449577,64994325,3314710575,51,1190,SRX5256543,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258049,SAMN10760872,simple,9606,Homo sapiens,GSM3566408,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_Ribo_HiRes_rep1,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3,Human Cervix Adenocarcinoma,,GSM3566408
SRR8449566,104449069,5326902519,51,1890,SRX5256544,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258050,SAMN10760883,simple,9606,Homo sapiens,GSM3566397,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_Ribo_LoRes,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,,GSM3566397
SRR8449567,153726961,7840075011,51,2603,SRX5256545,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258051,SAMN10760882,simple,9606,Homo sapiens,GSM3566398,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_Ribo_MedRes,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,,GSM3566398
SRR8449568,64728104,3301133304,51,1113,SRX5256546,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258052,SAMN10760881,simple,9606,Homo sapiens,GSM3566399,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_Ribo_HiRes,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,,GSM3566399
SRR8449569,53308725,2718744975,51,919,SRX5256547,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258053,SAMN10760880,simple,9606,Homo sapiens,GSM3566400,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_Ribo_DMSO_rep1,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,DMSO,GSM3566400
SRR8449570,133337372,6800205972,51,2219,SRX5256548,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258054,SAMN10760879,simple,9606,Homo sapiens,GSM3566401,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_Ribo_DMSO_rep2,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,DMSO,GSM3566401
SRR8449571,85916794,4381756494,51,1510,SRX5256549,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258055,SAMN10760878,simple,9606,Homo sapiens,GSM3566402,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_Ribo_TM_rep1,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Tunicamycin,GSM3566402
SRR8449572,132296016,6747096816,51,2204,SRX5256550,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258056,SAMN10760877,simple,9606,Homo sapiens,GSM3566403,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_Ribo_TM_rep2,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Tunicamycin,GSM3566403
SRR8449573,61573604,3140253804,51,1086,SRX5256551,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258057,SAMN10760876,simple,9606,Homo sapiens,GSM3566404,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_Ribo_TG_rep1,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Thapsigargin,GSM3566404
SRR8449574,141905485,7237179735,51,2330,SRX5256552,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258058,SAMN10760875,simple,9606,Homo sapiens,GSM3566405,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_Ribo_TG_rep2,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Thapsigargin,GSM3566405
