Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,antibody,GEO Accession
SRR5886303,35435420,8929725840,126,2758,SRX3052223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS2398651,SAMN07431141,simple,9606,Homo sapiens,GSM2724023,GEO,SRA595098,11,2018,Arango,"HeLa cells, total RNA",NAT10_RNA-Seq_Rep1,"HeLa cells, total RNA",HeLa cells,NAT10-/-,,GSM2724023
SRR5886304,32052780,8077300560,126,2633,SRX3052224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS2398652,SAMN07431172,simple,9606,Homo sapiens,GSM2724024,GEO,SRA595098,11,2018,Arango,"HeLa cells, total RNA",NAT10_RNA-Seq_Rep2,"HeLa cells, total RNA",HeLa cells,NAT10-/-,,GSM2724024
SRR5886305,31030987,7819808724,126,2413,SRX3052225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS2398653,SAMN07431171,simple,9606,Homo sapiens,GSM2724025,GEO,SRA595098,11,2018,Arango,"HeLa cells, total RNA",HeLa_RNA-Seq_Rep1,"HeLa cells, total RNA",HeLa cells,WT,,GSM2724025
SRR5886306,26327360,6634494720,,2051,SRX3052226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS2398654,SAMN07431170,simple,9606,Homo sapiens,GSM2724026,GEO,SRA595098,11,2018,Arango,"HeLa cells, total RNA",HeLa_RNA-Seq_Rep2,"HeLa cells, total RNA",HeLa cells,WT,,GSM2724026
SRR5886307,58661418,14782677336,126,4888,SRX3052227,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS2398655,SAMN07431169,simple,9606,Homo sapiens,GSM2724027,GEO,SRA595098,11,2018,Arango,"HeLa cells, polyA RNA",HeLa_IgG_RIP,"HeLa cells, polyA RNA",HeLa cells,WT,anti-rabbit IgG (Cell signaling),GSM2724027
SRR5886308,46096566,11616334632,126,3763,SRX3052228,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS2398656,SAMN07431168,simple,9606,Homo sapiens,GSM2724028,GEO,SRA595098,11,2018,Arango,"HeLa cells, polyA RNA",NAT10_Input,"HeLa cells, polyA RNA",HeLa cells,NAT10-/-,None,GSM2724028
SRR5886309,54078450,13627769400,126,4518,SRX3052229,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS2398657,SAMN07431167,simple,9606,Homo sapiens,GSM2724029,GEO,SRA595098,11,2018,Arango,"HeLa cells, polyA RNA",HeLa_ac4C_RIP,"HeLa cells, polyA RNA",HeLa cells,WT,"anti-ac4C (Abcam, lot#H09131602)",GSM2724029
SRR5886310,47471745,11962879740,126,3933,SRX3052230,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS2398658,SAMN07431166,simple,9606,Homo sapiens,GSM2724030,GEO,SRA595098,11,2018,Arango,"HeLa cells, polyA RNA",NAT10_ac4C_RIP,"HeLa cells, polyA RNA",HeLa cells,NAT10-/-,"anti-ac4C (Abcam, lot#H09131602)",GSM2724030
SRR5886311,44810183,11292166116,,3675,SRX3052231,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS2398659,SAMN07431165,simple,9606,Homo sapiens,GSM2724031,GEO,SRA595098,11,2018,Arango,"HeLa cells, polyA RNA",HeLa_Input,"HeLa cells, polyA RNA",HeLa cells,WT,None,GSM2724031
SRR5886312,81676459,6207410884,76,2044,SRX3052232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398660,SAMN07431149,simple,9606,Homo sapiens,GSM2724032,GEO,SRA595098,11,2018,Arango,"HeLa cells, total RNA",WT_Ribo-seq_BioRep_1 (total RNA),"HeLa cells, total RNA",HeLa cells,WT,,GSM2724032
SRR5886313,75982588,5774676688,76,1895,SRX3052233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398661,SAMN07431148,simple,9606,Homo sapiens,GSM2724033,GEO,SRA595098,11,2018,Arango,"HeLa cells, total RNA",WT_Ribo-seq_BioRep_2 (total RNA),"HeLa cells, total RNA",HeLa cells,WT,,GSM2724033
SRR5886314,74935693,5695112668,76,1896,SRX3052234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398662,SAMN07431147,simple,9606,Homo sapiens,GSM2724034,GEO,SRA595098,11,2018,Arango,"HeLa cells, total RNA",NAT10_KO_Ribo-seq_BioRep_1 (total RNA),"HeLa cells, total RNA",HeLa cells,NAT10-/-,,GSM2724034
SRR5886315,84636027,6432338052,76,2141,SRX3052235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398663,SAMN07431146,simple,9606,Homo sapiens,GSM2724035,GEO,SRA595098,11,2018,Arango,"HeLa cells, total RNA",NAT10_KO_Ribo-seq_BioRep_2 (total RNA),"HeLa cells, total RNA",HeLa cells,NAT10-/-,,GSM2724035
SRR5886316,74275875,5644966500,76,2023,SRX3052236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398664,SAMN07431145,simple,9606,Homo sapiens,GSM2724036,GEO,SRA595098,11,2018,Arango,"HeLa cells, Ribosome Protected RNA",WT_Ribo-seq_BioRep_1 (protected RNA),"HeLa cells, Ribosome Protected RNA",HeLa cells,WT,,GSM2724036
SRR5886317,73508643,5586656868,76,1922,SRX3052236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398664,SAMN07431145,simple,9606,Homo sapiens,GSM2724036,GEO,SRA595098,11,2018,Arango,"HeLa cells, Ribosome Protected RNA",WT_Ribo-seq_BioRep_1 (protected RNA),"HeLa cells, Ribosome Protected RNA",HeLa cells,WT,,GSM2724037
SRR5886318,78424335,5960249460,76,2119,SRX3052237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398665,SAMN07431144,simple,9606,Homo sapiens,GSM2724037,GEO,SRA595098,11,2018,Arango,"HeLa cells, Ribosome Protected RNA",WT_Ribo-seq_BioRep_2 (protected RNA),"HeLa cells, Ribosome Protected RNA",HeLa cells,NAT10-/-,,GSM2724038
SRR5886319,77904165,5920716540,76,2020,SRX3052237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398665,SAMN07431144,simple,9606,Homo sapiens,GSM2724037,GEO,SRA595098,11,2018,Arango,"HeLa cells, Ribosome Protected RNA",WT_Ribo-seq_BioRep_2 (protected RNA),"HeLa cells, Ribosome Protected RNA",HeLa cells,NAT10-/-,,GSM2724039
SRR5886320,90616093,6886823068,76,2470,SRX3052238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398666,SAMN07431143,simple,9606,Homo sapiens,GSM2724038,GEO,SRA595098,11,2018,Arango,"HeLa cells, Ribosome Protected RNA",NAT10_KO_Ribo-seq_BioRep_1 (protected RNA),HeLa cells,,WT,None,GSM3415496
SRR5886321,89601931,6809746756,76,2338,SRX3052238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398666,SAMN07431143,simple,9606,Homo sapiens,GSM2724038,GEO,SRA595098,11,2018,Arango,"HeLa cells, Ribosome Protected RNA",NAT10_KO_Ribo-seq_BioRep_1 (protected RNA),HeLa cells,,WT,"anti-ac4C (Abcam, lot#H09131602)",GSM3415497
SRR5886322,89926731,6834431556,76,2437,SRX3052239,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398667,SAMN07431142,simple,9606,Homo sapiens,GSM2724039,GEO,SRA595098,11,2018,Arango,"HeLa cells, Ribosome Protected RNA",NAT10_KO_Ribo-seq_BioRep_2 (protected RNA),HeLa cells,,NAT10-/-,None,GSM3415498
SRR5886323,88773976,6746822176,76,2306,SRX3052239,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP114504,PRJNA396698,30449621,"",SRS2398667,SAMN07431142,simple,9606,Homo sapiens,GSM2724039,GEO,SRA595098,11,2018,Arango,"HeLa cells, Ribosome Protected RNA",NAT10_KO_Ribo-seq_BioRep_2 (protected RNA),HeLa cells,,NAT10-/-,"anti-ac4C (Abcam, lot#H09131602)",GSM3415499
