Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,crispri targeting,oe construct,molecule subtype,GEO Accession
SRR14275235,27447738,925447982,33,397,SRX10636529,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP315393,PRJNA723012,36510010,"",SRS8732445,SAMN18797416,simple,9606,Homo sapiens,GSM5253065,GEO,SRA1220379,04,2023,Earnest-Noble,Xenograft Cell Line,RPF MDA CRISPRi eGFP Ctrl R1,Xenograft Cell Line,MDA MB 231,eGFP,Control,Ribosome protected fragments (RPF),GSM5253065
SRR14275236,23355451,803343214,34,344,SRX10636530,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP315393,PRJNA723012,36510010,"",SRS8732446,SAMN18797415,simple,9606,Homo sapiens,GSM5253066,GEO,SRA1220379,04,2023,Earnest-Noble,Xenograft Cell Line,RPF MDA CRISPRi eGFP Ctrl R2,Xenograft Cell Line,MDA MB 231,eGFP,Control,Ribosome protected fragments (RPF),GSM5253066
SRR14275237,27971711,880062152,31,387,SRX10636531,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP315393,PRJNA723012,36510010,"",SRS8732447,SAMN18797405,simple,9606,Homo sapiens,GSM5253067,GEO,SRA1220379,04,2023,Earnest-Noble,Xenograft Cell Line,RPF MDA CRISPRi eGFP OE Ile TAT R1,Xenograft Cell Line,MDA MB 231,eGFP,tRNAIleUAU,Ribosome protected fragments (RPF),GSM5253067
SRR14275238,32956496,1110753432,33,479,SRX10636532,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP315393,PRJNA723012,36510010,"",SRS8732448,SAMN18797404,simple,9606,Homo sapiens,GSM5253068,GEO,SRA1220379,04,2023,Earnest-Noble,Xenograft Cell Line,RPF MDA CRISPRi eGFP OE Ile TAT R2,Xenograft Cell Line,MDA MB 231,eGFP,tRNAIleUAU,Ribosome protected fragments (RPF),GSM5253068
SRR14275239,29926933,985441709,32,426,SRX10636533,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP315393,PRJNA723012,36510010,"",SRS8732449,SAMN18797403,simple,9606,Homo sapiens,GSM5253069,GEO,SRA1220379,04,2023,Earnest-Noble,Xenograft Cell Line,RPF MDA CRISPRI Ile GAT Ctrl R1,Xenograft Cell Line,MDA MB 231,Ile GAU,Control,Ribosome protected fragments (RPF),GSM5253069
SRR14275240,52546904,1731412481,32,751,SRX10636534,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP315393,PRJNA723012,36510010,"",SRS8732450,SAMN18797402,simple,9606,Homo sapiens,GSM5253070,GEO,SRA1220379,04,2023,Earnest-Noble,Xenograft Cell Line,RPF MDA CRISPRI Ile GAT Ctrl R2,Xenograft Cell Line,MDA MB 231,Ile GAU,Control,Ribosome protected fragments (RPF),GSM5253070
SRR14275241,38736516,1318748073,34,564,SRX10636535,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP315393,PRJNA723012,36510010,"",SRS8732451,SAMN18797401,simple,9606,Homo sapiens,GSM5253071,GEO,SRA1220379,04,2023,Earnest-Noble,Xenograft Cell Line,RPF MDA CRISPRI Ile GAT OE Ile TAT R1,Xenograft Cell Line,MDA MB 231,Ile GAU,tRNAIleUAU,Ribosome protected fragments (RPF),GSM5253071
SRR14275242,42786882,1402878791,32,606,SRX10636536,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP315393,PRJNA723012,36510010,"",SRS8732452,SAMN18797400,simple,9606,Homo sapiens,GSM5253072,GEO,SRA1220379,04,2023,Earnest-Noble,Xenograft Cell Line,RPF MDA CRISPRi Ile GAT OE Ile TAT R2,Xenograft Cell Line,MDA MB 231,Ile GAU,tRNAIleUAU,Ribosome protected fragments (RPF),GSM5253072
SRR14275243,48713055,3702192180,76,1474,SRX10636537,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP315393,PRJNA723012,36510010,"",SRS8732453,SAMN18797399,simple,9606,Homo sapiens,GSM5253073,GEO,SRA1220379,04,2023,Earnest-Noble,Xenograft Cell Line,Total RNA MDA CRISPRi eGFP Ctrl R1,Xenograft Cell Line,MDA MB 231,eGFP,Control,Total RNA,GSM5253073
SRR14275244,60921118,4630004968,76,1810,SRX10636538,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP315393,PRJNA723012,36510010,"",SRS8732454,SAMN18797398,simple,9606,Homo sapiens,GSM5253074,GEO,SRA1220379,04,2023,Earnest-Noble,Xenograft Cell Line,Total RNA MDA CRISPRi eGFP Ctrl R2,Xenograft Cell Line,MDA MB 231,eGFP,Control,Total RNA,GSM5253074
