Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,ecotype,growth conditions,GEO Accession
SRR11150219,133783283,27024223166,101,10923,SRX7786289,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP250465,PRJNA608263,33289138,"",SRS6201788,SAMN14168519,simple,3702,Arabidopsis thaliana,GSM4333063,GEO,SRA1047241,12,2020,Poidevin,WT Col-0 pollen germinated in vitro at 35°C,RPF.35.2,WT Col-0 pollen germinated in vitro at 35°C,Pollen,Col-0,35degreeC,GSM4333063
SRR11150209,117376040,23709960080,101,7964,SRX7786290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP250465,PRJNA608263,33289138,"",SRS6201789,SAMN14168529,simple,3702,Arabidopsis thaliana,GSM4333053,GEO,SRA1047241,12,2020,Poidevin,WT Col-0 pollen germinated in vitro at 24°C,RNA.24.1,WT Col-0 pollen germinated in vitro at 24°C,Pollen,Col-0,24degreeC,GSM4333053
SRR11150210,131646361,26592564922,101,8818,SRX7786291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP250465,PRJNA608263,33289138,"",SRS6201790,SAMN14168528,simple,3702,Arabidopsis thaliana,GSM4333054,GEO,SRA1047241,12,2020,Poidevin,WT Col-0 pollen germinated in vitro at 24°C,RNA.24.2,WT Col-0 pollen germinated in vitro at 24°C,Pollen,Col-0,24degreeC,GSM4333054
SRR11150211,108106854,21837584508,101,7307,SRX7786292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP250465,PRJNA608263,33289138,"",SRS6201791,SAMN14168527,simple,3702,Arabidopsis thaliana,GSM4333055,GEO,SRA1047241,12,2020,Poidevin,WT Col-0 pollen germinated in vitro at 24°C,RNA.24.3,WT Col-0 pollen germinated in vitro at 24°C,Pollen,Col-0,24degreeC,GSM4333055
SRR11150212,137560900,27787301800,101,9223,SRX7786293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP250465,PRJNA608263,33289138,"",SRS6201792,SAMN14168526,simple,3702,Arabidopsis thaliana,GSM4333056,GEO,SRA1047241,12,2020,Poidevin,WT Col-0 pollen germinated in vitro at 35°C,RNA.35.1,WT Col-0 pollen germinated in vitro at 35°C,Pollen,Col-0,35degreeC,GSM4333056
SRR11150213,114934109,23216690018,101,7724,SRX7786294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP250465,PRJNA608263,33289138,"",SRS6201793,SAMN14168525,simple,3702,Arabidopsis thaliana,GSM4333057,GEO,SRA1047241,12,2020,Poidevin,WT Col-0 pollen germinated in vitro at 35°C,RNA.35.2,WT Col-0 pollen germinated in vitro at 35°C,Pollen,Col-0,35degreeC,GSM4333057
SRR11150214,129248191,26108134582,101,8653,SRX7786295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP250465,PRJNA608263,33289138,"",SRS6201794,SAMN14168524,simple,3702,Arabidopsis thaliana,GSM4333058,GEO,SRA1047241,12,2020,Poidevin,WT Col-0 pollen germinated in vitro at 35°C,RNA.35.3,WT Col-0 pollen germinated in vitro at 35°C,Pollen,Col-0,35degreeC,GSM4333058
SRR11150215,184044181,37176924562,101,15839,SRX7786296,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP250465,PRJNA608263,33289138,"",SRS6201795,SAMN14168523,simple,3702,Arabidopsis thaliana,GSM4333059,GEO,SRA1047241,12,2020,Poidevin,WT Col-0 pollen germinated in vitro at 24°C,RPF.24.1,WT Col-0 pollen germinated in vitro at 24°C,Pollen,Col-0,24degreeC,GSM4333059
SRR11150216,144437049,29176283898,101,10070,SRX7786297,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP250465,PRJNA608263,33289138,"",SRS6201796,SAMN14168522,simple,3702,Arabidopsis thaliana,GSM4333060,GEO,SRA1047241,12,2020,Poidevin,WT Col-0 pollen germinated in vitro at 24°C,RPF.24.2,WT Col-0 pollen germinated in vitro at 24°C,Pollen,Col-0,24degreeC,GSM4333060
SRR11150217,172400235,34824847470,101,14855,SRX7786298,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP250465,PRJNA608263,33289138,"",SRS6201797,SAMN14168521,simple,3702,Arabidopsis thaliana,GSM4333061,GEO,SRA1047241,12,2020,Poidevin,WT Col-0 pollen germinated in vitro at 24°C,RPF.24.3,WT Col-0 pollen germinated in vitro at 24°C,Pollen,Col-0,24degreeC,GSM4333061
