Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,GEO Accession
SRR6234818,14003740,714190740,51,237,SRX3343230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644384,SAMN07947871,simple,4932,Saccharomyces cerevisiae,GSM2836139,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin0_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836139
SRR6234819,14809675,755293425,51,251,SRX3343230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644384,SAMN07947871,simple,4932,Saccharomyces cerevisiae,GSM2836139,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin0_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836140
SRR6234820,21086900,1075431900,51,349,SRX3343230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644384,SAMN07947871,simple,4932,Saccharomyces cerevisiae,GSM2836139,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin0_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836141
SRR6234821,15867034,809218734,51,264,SRX3343231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644387,SAMN07947870,simple,4932,Saccharomyces cerevisiae,GSM2836140,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin0_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836142
SRR6234822,17010501,867535551,51,288,SRX3343231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644387,SAMN07947870,simple,4932,Saccharomyces cerevisiae,GSM2836140,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin0_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836143
SRR6234823,11543269,588706719,51,191,SRX3343231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644387,SAMN07947870,simple,4932,Saccharomyces cerevisiae,GSM2836140,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin0_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836144
SRR6234824,67032032,3418633632,51,1124,SRX3343232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644385,SAMN07947869,simple,4932,Saccharomyces cerevisiae,GSM2836141,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin15_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836145
SRR6234825,70884632,3615116232,51,1197,SRX3343232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644385,SAMN07947869,simple,4932,Saccharomyces cerevisiae,GSM2836141,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin15_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836146
SRR6234826,100979932,5149976532,51,1670,SRX3343232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644385,SAMN07947869,simple,4932,Saccharomyces cerevisiae,GSM2836141,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin15_2minCHX_2minBiotin_input,S288C,srp72::SRP72-AID-HA::LEU2 his3::pSEC63-BirA-mVenus-UBC6tailachor:OsTIR1-V5::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836147
SRR6234827,48194103,2457899253,51,799,SRX3343233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644386,SAMN07947868,simple,4932,Saccharomyces cerevisiae,GSM2836142,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin15_2minCHX_2minBiotin_pulldown,S288C,srp72::SRP72-AID-HA::LEU2 his3::pSEC63-BirA-mVenus-UBC6tailachor:OsTIR1-V5::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836148
