Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,BioSampleModel
SRR19142918,41172191,4083182733,,1980,SRX15209744,npc_rn_001,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948269,SAMN28100475,simple,9606,Homo sapiens,NPC_RNA-seq_rep01,University of Campinas,SRA1417139,06,2022,Makar,"","",Neural progenitor cells replicate 01 RNA sequencing,Embryonic-NPC_0_days,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142917,56209268,4948210680,,2545,SRX15209745,npc_rn_002,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948270,SAMN28100476,simple,9606,Homo sapiens,NPC_RNA-seq_rep02,University of Campinas,SRA1417139,06,2022,Makar,"","",Neural progenitor cells replicate 02 RNA sequencing,Embryonic-NPC_0_days,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142916,218141929,15321691880,70,7749,SRX15209746,neu_ribo_001,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948271,SAMN28100485,simple,9606,Homo sapiens,Neu_Ribo-seq_rep01,University of Campinas,SRA1417139,06,2022,Makar,"","",Neuronal cells replicate 01 Ribosome footprints,Embryonic-NPC_30_days diff,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142915,62724682,4281705662,68,2176,SRX15209747,neu_ribo_002,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948272,SAMN28100486,simple,9606,Homo sapiens,Neu_Ribo-seq_rep02,University of Campinas,SRA1417139,06,2022,Makar,"","",Neuronal cells replicate 02 Ribosome footprints,Embryonic-NPC_30_days diff,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142914,115370056,10698434695,,5142,SRX15209748,ed_rn_001,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948273,SAMN28100477,simple,9606,Homo sapiens,ED_RNA-seq_rep01,University of Campinas,SRA1417139,06,2022,Makar,"","",Early differentiation cells replicate 01 RNA sequencing,Embryonic-NPC-_3_days diff,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142913,41518049,3586891148,,1831,SRX15209749,ed_rn_002,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948274,SAMN28100478,simple,9606,Homo sapiens,ED_RNA-seq_rep02,University of Campinas,SRA1417139,06,2022,Makar,"","",Early differentiation cells replicate 02 RNA sequencing,Embryonic-NPC-_3_days diff,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142912,66623390,5639651374,84,2817,SRX15209750,neu_rn_001,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948275,SAMN28100479,simple,9606,Homo sapiens,Neu_RNA-seq_rep01,University of Campinas,SRA1417139,06,2022,Makar,"","",Neuronal cells replicate 01 RNA sequencing,Embryonic-NPC_30_days diff,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142911,119352339,10585234985,88,5235,SRX15209751,neu_rn_002,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948276,SAMN28100480,simple,9606,Homo sapiens,Neu_RNA-seq_rep02,University of Campinas,SRA1417139,06,2022,Makar,"","",Neuronal cells replicate 02 RNA sequencing,Embryonic-NPC_30_days diff,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142910,97410314,6633625225,68,4999,SRX15209752,npc_ribo_001,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948277,SAMN28100481,simple,9606,Homo sapiens,NPC_Ribo-seq_rep01,University of Campinas,SRA1417139,06,2022,Makar,"","",Neural progenitor cells replicate 01 Ribosome footprints,Embryonic-NPC_0_days,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142909,120769490,8960061594,,4675,SRX15209753,npc_ribo_002,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948278,SAMN28100482,simple,9606,Homo sapiens,NPC_Ribo-seq_rep02,University of Campinas,SRA1417139,06,2022,Makar,"","",Neural progenitor cells replicate 02 Ribosome footprints,Embryonic-NPC_0_days,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142908,86963867,5619672940,64,4340,SRX15209754,ed_ribo_001,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948279,SAMN28100483,simple,9606,Homo sapiens,ED_Ribo-seq_rep01,University of Campinas,SRA1417139,06,2022,Makar,"","",Early differentiation cells replicate 01 Ribosome footprints,Embryonic-NPC-_3_days diff,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
SRR19142907,128247504,8770318373,,4604,SRX15209755,ed_ribo_002,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP374303,PRJNA835330,1,"",SRS12948280,SAMN28100484,simple,9606,Homo sapiens,ED_Ribo-seq_rep02,University of Campinas,SRA1417139,06,2022,Makar,"","",Early differentiation cells replicate 02 Ribosome footprints,Embryonic-NPC-_3_days diff,"Mario Henrique Bengtson (R. Monteiro Lobato, 255 - Baro Geraldo, Campinas - SP, 13083-862, Brazil)",female,Embryonic stem cells,Human
