Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,sample type,GEO Accession
SRR7235643,37940716,3149079428,83,1378,SRX4141978,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355788,SAMN09283398,simple,10090,Mus musculus,GSM3165342,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_wt_input1,BMDCs,BMDC,wt,Ribo_INPUT,GSM3165342
SRR7235644,36432741,3023917503,83,1324,SRX4141979,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355789,SAMN09283397,simple,10090,Mus musculus,GSM3165343,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_wt_input2,BMDCs,BMDC,wt,Ribo_INPUT,GSM3165343
SRR7235645,31277398,2596024034,83,1137,SRX4141980,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355790,SAMN09283396,simple,10090,Mus musculus,GSM3165344,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_ko_input1,BMDCs,BMDC,ythdf1-/-,Ribo_INPUT,GSM3165344
SRR7235646,39400548,3270245484,83,1432,SRX4141981,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355791,SAMN09283395,simple,10090,Mus musculus,GSM3165345,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_ko_input2,BMDCs,BMDC,ythdf1-/-,Ribo_INPUT,GSM3165345
SRR7235647,45773542,3799203986,83,1666,SRX4141982,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355793,SAMN09283394,simple,10090,Mus musculus,GSM3165346,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_wt_monosome1,BMDCs,BMDC,wt,Ribo,GSM3165346
SRR7235648,39980554,3318385982,83,1451,SRX4141983,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355792,SAMN09283393,simple,10090,Mus musculus,GSM3165347,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_wt_monosome2,BMDCs,BMDC,wt,Ribo,GSM3165347
SRR7235649,22679423,1882392109,83,830,SRX4141984,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355794,SAMN09283392,simple,10090,Mus musculus,GSM3165348,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_ko_monosome1,BMDCs,BMDC,ythdf1-/-,Ribo,GSM3165348
SRR7235650,24711684,2051069772,83,899,SRX4141985,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355795,SAMN09283391,simple,10090,Mus musculus,GSM3165349,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_ko_monosome2,BMDCs,BMDC,ythdf1-/-,Ribo,GSM3165349
SRR7235651,22155307,1838890481,83,811,SRX4141986,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355796,SAMN09283390,simple,10090,Mus musculus,GSM3165350,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_wt_polysome1,BMDCs,BMDC,wt,Ribo,GSM3165350
SRR7235652,20963508,1739971164,83,767,SRX4141987,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355797,SAMN09283389,simple,10090,Mus musculus,GSM3165351,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_wt_polysome2,BMDCs,BMDC,wt,Ribo,GSM3165351
SRR7235653,23817514,1976853662,83,872,SRX4141988,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355798,SAMN09283388,simple,10090,Mus musculus,GSM3165352,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_ko_polysome1,BMDCs,BMDC,ythdf1-/-,Ribo,GSM3165352
SRR7235654,22042880,1829559040,83,805,SRX4141989,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355799,SAMN09283387,simple,10090,Mus musculus,GSM3165353,GEO,SRA712566,01,2019,Han,BMDCs,Ribo_ko_polysome2,BMDCs,BMDC,ythdf1-/-,Ribo,GSM3165353
SRR7235655,28551565,1427578250,50,530,SRX4141990,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355800,SAMN09283386,simple,10090,Mus musculus,GSM3165354,GEO,SRA712566,01,2019,Han,BMDCs,MeRIP_wt_input1,BMDCs,BMDC,wt,m6A_INPUT,GSM3165354
SRR7235656,28528986,1426449300,50,532,SRX4141991,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355801,SAMN09283385,simple,10090,Mus musculus,GSM3165355,GEO,SRA712566,01,2019,Han,BMDCs,MeRIP_wt_input2,BMDCs,BMDC,wt,m6A_INPUT,GSM3165355
SRR7235657,29030942,1451547100,50,536,SRX4141992,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355802,SAMN09283384,simple,10090,Mus musculus,GSM3165356,GEO,SRA712566,01,2019,Han,BMDCs,MeRIP_ko_input1,BMDCs,BMDC,ythdf1-/-,m6A_INPUT,GSM3165356
SRR7235658,27169760,1358488000,50,504,SRX4141993,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355803,SAMN09283383,simple,10090,Mus musculus,GSM3165357,GEO,SRA712566,01,2019,Han,BMDCs,MeRIP_ko_input2,BMDCs,BMDC,ythdf1-/-,m6A_INPUT,GSM3165357
SRR7235659,28291093,1414554650,50,532,SRX4141994,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355804,SAMN09283382,simple,10090,Mus musculus,GSM3165358,GEO,SRA712566,01,2019,Han,BMDCs,MeRIP_wt_IP1,BMDCs,BMDC,wt,m6A_IP,GSM3165358
SRR7235660,34180741,1709037050,50,639,SRX4141995,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355805,SAMN09283381,simple,10090,Mus musculus,GSM3165359,GEO,SRA712566,01,2019,Han,BMDCs,MeRIP_wt_IP2,BMDCs,BMDC,wt,m6A_IP,GSM3165359
SRR7235661,22708693,1135434650,50,418,SRX4141996,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355806,SAMN09283380,simple,10090,Mus musculus,GSM3165360,GEO,SRA712566,01,2019,Han,BMDCs,MeRIP_ko_IP1,BMDCs,BMDC,ythdf1-/-,m6A_IP,GSM3165360
SRR7235662,26732331,1336616550,50,503,SRX4141997,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP149359,PRJNA473808,30728504,"",SRS3355807,SAMN09283379,simple,10090,Mus musculus,GSM3165361,GEO,SRA712566,01,2019,Han,BMDCs,MeRIP_ko_IP2,BMDCs,BMDC,ythdf1-/-,m6A_IP,GSM3165361
