Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,dev_stage,sex,tissue,sample_type,BioSampleModel
SRR18488814,52311829,15693548700,150,5537,SRX14620349,RNAseqAC3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP365987,PRJNA819566,1,"",SRS12387630,SAMN26935146,simple,6239,Caenorhabditis elegans,sAC3,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 0639,L4,hermaphrodite,Whole animal,RNA-seq,Model organism or animal
SRR18488813,52481197,15744359100,150,5551,SRX14620350,RNAseqAC4,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP365987,PRJNA819566,1,"",SRS12387631,SAMN26935147,simple,6239,Caenorhabditis elegans,sAC4,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 0027,L4,hermaphrodite,Whole animal,RNA-seq,Model organism or animal
SRR18488812,14674820,2201223000,0,701,SRX14620351,Ribo-seqMM12,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387632,SAMN26935156,simple,6239,Caenorhabditis elegans,sMM12,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 0639,L4,hermaphrodite,Whole animal,20-30 Ribo-seq,Model organism or animal
SRR18488811,91550973,13732645950,0,4385,SRX14620352,Ribo-seqMM13,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387633,SAMN26935157,simple,6239,Caenorhabditis elegans,sMM13,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 0639,L4,hermaphrodite,Whole animal,20-30 Ribo-seq(rep of sMM12),Model organism or animal
SRR18488810,104314737,15647210550,0,4917,SRX14620353,Ribo-seqJK40,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387635,SAMN26935158,simple,6239,Caenorhabditis elegans,SJK40,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 0043,L4,hermaphrodite,Whole animal,15-18nt Ribo-seq,Model organism or animal
SRR18488809,29388371,4408255650,0,1386,SRX14620354,Ribo-seqJK41,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387634,SAMN26935159,simple,6239,Caenorhabditis elegans,SJK41,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 0043,L4,hermaphrodite,Whole animal,~21nt Ribo-seq,Model organism or animal
SRR18488808,11159987,1673998050,0,534,SRX14620355,Ribo-seqJK42,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387636,SAMN26935160,simple,6239,Caenorhabditis elegans,SJK42,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 0043,L4,hermaphrodite,Whole animal,28-30nt Ribo-seq,Model organism or animal
SRR18488807,106169132,15925369800,0,5063,SRX14620356,Ribo-seqJK43,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387637,SAMN26935161,simple,6239,Caenorhabditis elegans,SJK43,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 5106,L4,hermaphrodite,Whole animal,15-18nt Ribo-seq,Model organism or animal
SRR18488806,26761761,4014264150,0,1235,SRX14620357,Ribo-seqJK44,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387640,SAMN26935162,simple,6239,Caenorhabditis elegans,SJK44,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 5106,L4,hermaphrodite,Whole animal,~21nt Ribo-seq,Model organism or animal
SRR18488805,17981190,2697178500,0,849,SRX14620358,Ribo-seqJK45,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387638,SAMN26935163,simple,6239,Caenorhabditis elegans,SJK45,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 5106,L4,hermaphrodite,Whole animal,28-30nt Ribo-seq,Model organism or animal
