Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,host,collection_date,geo_loc_name,sample_type,dev_stage,growth_protocol,treatment,replicate,BioSampleModel
SRR7119577,54104542,2759331642,51,1862,SRX4041211,lacZ_unind_mRNA_r2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144594,PRJNA459526,31053575,"",SRS3258696,SAMN09069665,simple,83333,Escherichia coli K-12,lacZ2_unind_mRNA,University of Hamburg,SRA699552,04,2019,Gorochowski,"","","[K-12, recA1 (pro - lac) thi ara F:lacIq1 lacZ::Tn5 proAB+] harbours a pBR322-derived plasmid containing lacZ with a fragment insert that contains a truncated lac operon with the lac promoter and the wildtype lacZ under lacI control",not applicable,not applicable,not applicable,RNA-seq,exponential phase,"MOPS minimal medium supplemented with 0.4% glycerol, 2.5 g/ml B1, 100 g/ml ampicillin, 20 g/ml kanamycin and additionally 50 g/ml arginine for the lacZ strain",control,replicate2,"Microbe, viral or environmental"
SRR7119576,56365739,2874652689,51,1962,SRX4041212,lacZ_unind_RPF_r2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144594,PRJNA459526,31053575,"",SRS3258694,SAMN09069664,simple,83333,Escherichia coli K-12,lacZ2_unind_RPF,University of Hamburg,SRA699552,04,2019,Gorochowski,"","","[K-12, recA1 (pro - lac) thi ara F:lacIq1 lacZ::Tn5 proAB+] harbours a pBR322-derived plasmid containing lacZ with a fragment insert that contains a truncated lac operon with the lac promoter and the wildtype lacZ under lacI control",not applicable,not applicable,not applicable,Ribo-seq,exponential phase,"MOPS minimal medium supplemented with 0.4% glycerol, 2.5 g/ml B1, 100 g/ml ampicillin, 20 g/ml kanamycin and additionally 50 g/ml arginine for the lacZ strain",control,replicate2,"Microbe, viral or environmental"
SRR7119575,52742095,2689846845,51,1867,SRX4041213,lacZ_ind_mRNA_r2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144594,PRJNA459526,31053575,"",SRS3258695,SAMN09069663,simple,83333,Escherichia coli K-12,lacZ2_ind_mRNA,University of Hamburg,SRA699552,04,2019,Gorochowski,"","","[K-12, recA1 (pro - lac) thi ara F:lacIq1 lacZ::Tn5 proAB+] harbours a pBR322-derived plasmid containing lacZ with a fragment insert that contains a truncated lac operon with the lac promoter and the wildtype lacZ under lacI control",not applicable,not applicable,not applicable,RNA-seq,exponential phase,"MOPS minimal medium supplemented with 0.4% glycerol, 2.5 g/ml B1, 100 g/ml ampicillin, 20 g/ml kanamycin and additionally 50 g/ml arginine for the lacZ strain",LacZ expression was induced with Isopropyl -D-1-thiogalactopyranoside (IPTG),replicate2,"Microbe, viral or environmental"
SRR7119574,43847994,2236247694,51,1497,SRX4041214,lacZ_ind_RPF_r2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144594,PRJNA459526,31053575,"",SRS3258697,SAMN09069662,simple,83333,Escherichia coli K-12,lacZ2_ind_RPF,University of Hamburg,SRA699552,04,2019,Gorochowski,"","","[K-12, recA1 (pro - lac) thi ara F:lacIq1 lacZ::Tn5 proAB+] harbours a pBR322-derived plasmid containing lacZ with a fragment insert that contains a truncated lac operon with the lac promoter and the wildtype lacZ under lacI control",not applicable,not applicable,not applicable,Ribo-seq,exponential phase,"MOPS minimal medium supplemented with 0.4% glycerol, 2.5 g/ml B1, 100 g/ml ampicillin, 20 g/ml kanamycin and additionally 50 g/ml arginine for the lacZ strain",LacZ expression was induced with Isopropyl -D-1-thiogalactopyranoside (IPTG),replicate2,"Microbe, viral or environmental"
SRR7119573,194220694,9711034700,50,5929,SRX4041215,lacZ_unind_mRNA_r1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144594,PRJNA459526,31053575,"",SRS3258698,SAMN09069661,simple,83333,Escherichia coli K-12,lacZ_unind_mRNA,University of Hamburg,SRA699552,04,2019,Gorochowski,"","","[K-12, recA1 (pro - lac) thi ara F:lacIq1 lacZ::Tn5 proAB+] harbours a pBR322-derived plasmid containing lacZ with a fragment insert that contains a truncated lac operon with the lac promoter and the wildtype lacZ under lacI control",not applicable,not applicable,not applicable,RNA-seq,exponential phase,"MOPS minimal medium supplemented with 0.4% glycerol, 2.5 g/ml B1, 100 g/ml ampicillin, 20 g/ml kanamycin and additionally 50 g/ml arginine for the lacZ strain",control,replicate1,"Microbe, viral or environmental"
SRR7119572,192849918,9642495900,50,5906,SRX4041216,lacZ_unind_RPF_r1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144594,PRJNA459526,31053575,"",SRS3258700,SAMN09069660,simple,83333,Escherichia coli K-12,lacZ_unind_RPF,University of Hamburg,SRA699552,04,2019,Gorochowski,"","","[K-12, recA1 (pro - lac) thi ara F:lacIq1 lacZ::Tn5 proAB+] harbours a pBR322-derived plasmid containing lacZ with a fragment insert that contains a truncated lac operon with the lac promoter and the wildtype lacZ under lacI control",not applicable,not applicable,not applicable,Ribo-seq,exponential phase,"MOPS minimal medium supplemented with 0.4% glycerol, 2.5 g/ml B1, 100 g/ml ampicillin, 20 g/ml kanamycin and additionally 50 g/ml arginine for the lacZ strain",control,replicate1,"Microbe, viral or environmental"
SRR7119571,66959468,3414932868,51,1999,SRX4041217,PK_unind_mRNA_r1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144594,PRJNA459526,31053575,"",SRS3258699,SAMN09069653,simple,83333,Escherichia coli K-12,PK_unind_mRNA,University of Hamburg,SRA699552,04,2019,Gorochowski,"","","[K-12, recA1 (pro - lac) thi ara F:lacIq1 lacZ::Tn5 proAB+] harbours a pBR322-derived plasmid containing either a gene10-lacZ fusion with the viral derived RNA pseudoknot, 22/6a",not applicable,not applicable,not applicable,RNA-seq,exponential phase,"MOPS minimal medium supplemented with 0.4% glycerol, 2.5 g/ml B1, 100 g/ml ampicillin, 20 g/ml kanamycin and additionally 50 g/ml arginine for the lacZ strain",control,replicate1,"Microbe, viral or environmental"
SRR7119570,59448215,3031858965,51,1765,SRX4041218,PK_unind_RPF_r1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144594,PRJNA459526,31053575,"",SRS3258701,SAMN09069652,simple,83333,Escherichia coli K-12,PK_unind_RPF,University of Hamburg,SRA699552,04,2019,Gorochowski,"","","[K-12, recA1 (pro - lac) thi ara F:lacIq1 lacZ::Tn5 proAB+] harbours a pBR322-derived plasmid containing either a gene10-lacZ fusion with the viral derived RNA pseudoknot, 22/6a",not applicable,not applicable,not applicable,Ribo-seq,exponential phase,"MOPS minimal medium supplemented with 0.4% glycerol, 2.5 g/ml B1, 100 g/ml ampicillin, 20 g/ml kanamycin and additionally 50 g/ml arginine for the lacZ strain",control,replicate1,"Microbe, viral or environmental"
SRR7119569,70241344,3582308544,51,2085,SRX4041219,PK_ind_mRNA_r1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144594,PRJNA459526,31053575,"",SRS3258702,SAMN09069651,simple,83333,Escherichia coli K-12,PK_ind_mRNA,University of Hamburg,SRA699552,04,2019,Gorochowski,"","","[K-12, recA1 (pro - lac) thi ara F:lacIq1 lacZ::Tn5 proAB+] harbours a pBR322-derived plasmid containing either a gene10-lacZ fusion with the viral derived RNA pseudoknot, 22/6a",not applicable,not applicable,not applicable,RNA-seq,exponential phase,"MOPS minimal medium supplemented with 0.4% glycerol, 2.5 g/ml B1, 100 g/ml ampicillin, 20 g/ml kanamycin and additionally 50 g/ml arginine for the lacZ strain",gene10-lacZ expression was induced with Isopropyl -D-1-thiogalactopyranoside (IPTG),replicate1,"Microbe, viral or environmental"
SRR7119568,56722702,2892857802,51,1691,SRX4041220,PK_ind_RPF_r1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144594,PRJNA459526,31053575,"",SRS3258703,SAMN09069650,simple,83333,Escherichia coli K-12,PK_ind_RPF,University of Hamburg,SRA699552,04,2019,Gorochowski,"","","[K-12, recA1 (pro - lac) thi ara F:lacIq1 lacZ::Tn5 proAB+] harbours a pBR322-derived plasmid containing either a gene10-lacZ fusion with the viral derived RNA pseudoknot, 22/6a",not applicable,not applicable,not applicable,Ribo-seq,exponential phase,"MOPS minimal medium supplemented with 0.4% glycerol, 2.5 g/ml B1, 100 g/ml ampicillin, 20 g/ml kanamycin and additionally 50 g/ml arginine for the lacZ strain",gene10-lacZ expression was induced with Isopropyl -D-1-thiogalactopyranoside (IPTG),replicate1,"Microbe, viral or environmental"
