Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,passage,rna type,GEO Accession
SRR8310184,34849855,2613739125,75,987,SRX5124088,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137402,SAMN10574462,simple,9606,Homo sapiens,GSM3507209,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep1 mRNA-seq,Skin fibroblasts,6,polyA enriched mRNA-seq,GSM3507209
SRR8310185,57107649,4283073675,75,1617,SRX5124089,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137403,SAMN10574460,simple,9606,Homo sapiens,GSM3507210,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep2 mRNA-seq,Skin fibroblasts,6,polyA enriched mRNA-seq,GSM3507210
SRR8310186,62258005,4669350375,75,1754,SRX5124090,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137404,SAMN10574477,simple,9606,Homo sapiens,GSM3507211,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep3 mRNA-seq,Skin fibroblasts,6,polyA enriched mRNA-seq,GSM3507211
SRR8310187,53607606,4020570450,75,1515,SRX5124091,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137405,SAMN10574488,simple,9606,Homo sapiens,GSM3507212,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep4 mRNA-seq,Skin fibroblasts,7,polyA enriched mRNA-seq,GSM3507212
SRR8310188,56456379,4234228425,75,1597,SRX5124092,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137406,SAMN10574490,simple,9606,Homo sapiens,GSM3507213,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep5 mRNA-seq,Skin fibroblasts,7,polyA enriched mRNA-seq,GSM3507213
SRR8310189,50914389,3818579175,75,1439,SRX5124093,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137407,SAMN10574489,simple,9606,Homo sapiens,GSM3507214,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep6 mRNA-seq,Skin fibroblasts,7,polyA enriched mRNA-seq,GSM3507214
SRR8310190,56983881,4273791075,75,1620,SRX5124094,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137408,SAMN10574484,simple,9606,Homo sapiens,GSM3507215,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,healthy individual-1 rep1 mRNA-seq,Skin fibroblasts,9,polyA enriched mRNA-seq,GSM3507215
SRR8310191,48340726,3625554450,75,1375,SRX5124095,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137409,SAMN10574483,simple,9606,Homo sapiens,GSM3507216,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,healthy individual-1 rep2 mRNA-seq,Skin fibroblasts,9,polyA enriched mRNA-seq,GSM3507216
SRR8310192,50538004,3790350300,75,1437,SRX5124096,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137410,SAMN10574487,simple,9606,Homo sapiens,GSM3507217,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,healthy individual-1 rep3 mRNA-seq,Skin fibroblasts,9,polyA enriched mRNA-seq,GSM3507217
SRR8310193,13428107,1007108025,75,382,SRX5124097,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137411,SAMN10574486,simple,9606,Homo sapiens,GSM3507218,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,healthy individual-2 rep1 mRNA-seq,Skin fibroblasts,5,polyA enriched mRNA-seq,GSM3507218
SRR8310194,33572751,2517956325,75,952,SRX5124098,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137413,SAMN10574485,simple,9606,Homo sapiens,GSM3507219,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,healthy individual-2 rep2 mRNA-seq,Skin fibroblasts,5,polyA enriched mRNA-seq,GSM3507219
SRR8310195,43330730,3249804750,75,1225,SRX5124099,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137412,SAMN10574482,simple,9606,Homo sapiens,GSM3507220,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,healthy individual-2 rep3 mRNA-seq,Skin fibroblasts,5,polyA enriched mRNA-seq,GSM3507220
