Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,growth condition,sample type,genotype,GEO Accession
SRR10434807,19400484,989424684,51,573,SRX7130766,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP229607,PRJNA589056,1,"",SRS5640110,SAMN13264906,simple,4932,Saccharomyces cerevisiae,GSM4158394,GEO,SRA994628,07,2020,Makar,Yeast,TS WT rep1,Yeast,"YPD, 30 C",total mRNA,BY4741 WT,GSM4158394
SRR10434808,19231490,980805990,51,567,SRX7130766,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP229607,PRJNA589056,1,"",SRS5640110,SAMN13264906,simple,4932,Saccharomyces cerevisiae,GSM4158394,GEO,SRA994628,07,2020,Makar,Yeast,TS WT rep1,Yeast,"YPD, 30 C",total mRNA,BY4741 WT,GSM4158395
SRR10434809,19231232,980792832,51,567,SRX7130766,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP229607,PRJNA589056,1,"",SRS5640110,SAMN13264906,simple,4932,Saccharomyces cerevisiae,GSM4158394,GEO,SRA994628,07,2020,Makar,Yeast,TS WT rep1,Yeast,"YPD, 30 C",total mRNA,BY4741 naa10-delta,GSM4158396
SRR10434810,19940420,1016961420,51,592,SRX7130767,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP229607,PRJNA589056,1,"",SRS5640111,SAMN13264904,simple,4932,Saccharomyces cerevisiae,GSM4158395,GEO,SRA994628,07,2020,Makar,Yeast,TS WT rep2,Yeast,"YPD, 30 C",total mRNA,BY4741 naa10-delta,GSM4158397
SRR10434811,19706909,1005052359,51,584,SRX7130767,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP229607,PRJNA589056,1,"",SRS5640111,SAMN13264904,simple,4932,Saccharomyces cerevisiae,GSM4158395,GEO,SRA994628,07,2020,Makar,Yeast,TS WT rep2,Yeast,"YPD, 30 C",total mRNA,BY4741 naa20-delta,GSM4158398
SRR10434812,19767393,1008137043,51,586,SRX7130767,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP229607,PRJNA589056,1,"",SRS5640111,SAMN13264904,simple,4932,Saccharomyces cerevisiae,GSM4158395,GEO,SRA994628,07,2020,Makar,Yeast,TS WT rep2,Yeast,"YPD, 30 C",total mRNA,BY4741 naa20-delta,GSM4158399
SRR10434813,16578099,845483049,51,492,SRX7130768,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP229607,PRJNA589056,1,"",SRS5640112,SAMN13264903,simple,4932,Saccharomyces cerevisiae,GSM4158396,GEO,SRA994628,07,2020,Makar,Yeast,TS naa10Δ rep1,Yeast,"YPD, 30 C",ribosome footprints,BY4741 WT,GSM4158400
SRR10434814,16412183,837021333,51,487,SRX7130768,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP229607,PRJNA589056,1,"",SRS5640112,SAMN13264903,simple,4932,Saccharomyces cerevisiae,GSM4158396,GEO,SRA994628,07,2020,Makar,Yeast,TS naa10Δ rep1,Yeast,"YPD, 30 C",ribosome footprints,BY4741 WT,GSM4158401
SRR10434815,16478610,840409110,51,489,SRX7130768,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP229607,PRJNA589056,1,"",SRS5640112,SAMN13264903,simple,4932,Saccharomyces cerevisiae,GSM4158396,GEO,SRA994628,07,2020,Makar,Yeast,TS naa10Δ rep1,Yeast,"YPD, 30 C",ribosome footprints,BY4741 naa10-delta,GSM4158402
SRR10434816,14125833,720417483,51,423,SRX7130769,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP229607,PRJNA589056,1,"",SRS5640113,SAMN13264902,simple,4932,Saccharomyces cerevisiae,GSM4158397,GEO,SRA994628,07,2020,Makar,Yeast,TS naa10Δ rep2,Yeast,"YPD, 30 C",ribosome footprints,BY4741 naa10-delta,GSM4158403
