Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,assayed molecule,broker name,common name,genetic modification,growth condition,protocol,replicate,sample name,strain,Experimental Factor: strain
ERR3218426,42524298,2168739198,51,1127,ERX3245944,new1_KO_20C_riboseq_S6_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114248,PRJEB31666,1,"",ERS3222609,SAMEA5417311,simple,4932,Saccharomyces cerevisiae,SAMEA5417311,postdoc,ERA1762847,06,2019,Makar,"",new1_KO_20C_riboseq_S6,2019-05-31,2019-03-12,SAMEA5417311,postdoc,postdoc,2019-05-31T17:03:33Z,2019-03-12T10:39:30Z,public,E-MTAB-7763:new1_KO_20C_riboseq_S6,Ribosome protected fragments 18-33 nt,ArrayExpress,baker's yeast,NEW1 deletion,20 degree of Celsius; Synthetic complete medium,Ribo-Seq,1,E-MTAB-7763:new1_KO_20C_riboseq_S6,BY derivative MJY1173,BY derivative  MJY1173
ERR3218427,47049069,2399502519,51,1243,ERX3245945,new1_KO_20C_riboseq_S8_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114248,PRJEB31666,1,"",ERS3222610,SAMEA5417312,simple,4932,Saccharomyces cerevisiae,SAMEA5417312,postdoc,ERA1762847,06,2019,Makar,"",new1_KO_20C_riboseq_S8,2019-05-31,2019-03-12,SAMEA5417312,postdoc,postdoc,2019-05-31T17:03:33Z,2019-03-12T10:39:30Z,public,E-MTAB-7763:new1_KO_20C_riboseq_S8,Ribosome protected fragments 18-33 nt,ArrayExpress,baker's yeast,NEW1 deletion,20 degree of Celsius; Synthetic complete medium,Ribo-Seq,2,E-MTAB-7763:new1_KO_20C_riboseq_S8,BY derivative MJY1173,BY derivative  MJY1173
ERR3218428,19253626,981934926,51,422,ERX3245946,new1_KO_20C_rnaseq_S26_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114248,PRJEB31666,1,"",ERS3222611,SAMEA5417313,simple,4932,Saccharomyces cerevisiae,SAMEA5417313,postdoc,ERA1762847,06,2019,Makar,"",new1_KO_20C_rnaseq_S26,2019-05-31,2019-03-12,SAMEA5417313,postdoc,postdoc,2019-05-31T17:03:33Z,2019-03-12T10:39:30Z,public,E-MTAB-7763:new1_KO_20C_rnaseq_S26,rRNA depleted total RNA,ArrayExpress,baker's yeast,NEW1 deletion,20 degree of Celsius; Synthetic complete medium,RNA-Seq,1,E-MTAB-7763:new1_KO_20C_rnaseq_S26,BY derivative MJY1173,BY derivative  MJY1173
ERR3218429,17912055,913514805,51,389,ERX3245947,new1_KO_20C_rnaseq_S28_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114248,PRJEB31666,1,"",ERS3222612,SAMEA5417314,simple,4932,Saccharomyces cerevisiae,SAMEA5417314,postdoc,ERA1762847,06,2019,Makar,"",new1_KO_20C_rnaseq_S28,2019-05-31,2019-03-12,SAMEA5417314,postdoc,postdoc,2019-05-31T17:03:33Z,2019-03-12T10:39:30Z,public,E-MTAB-7763:new1_KO_20C_rnaseq_S28,rRNA depleted total RNA,ArrayExpress,baker's yeast,NEW1 deletion,20 degree of Celsius; Synthetic complete medium,RNA-Seq,2,E-MTAB-7763:new1_KO_20C_rnaseq_S28,BY derivative MJY1173,BY derivative  MJY1173
ERR3218430,41003606,2091183906,51,1080,ERX3245948,new1_KO_30C_riboseq_S2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114248,PRJEB31666,1,"",ERS3222613,SAMEA5417315,simple,4932,Saccharomyces cerevisiae,SAMEA5417315,postdoc,ERA1762847,06,2019,Makar,"",new1_KO_30C_riboseq_S2,2019-05-31,2019-03-12,SAMEA5417315,postdoc,postdoc,2019-05-31T17:03:33Z,2019-03-12T10:39:30Z,public,E-MTAB-7763:new1_KO_30C_riboseq_S2,Ribosome protected fragments 18-33 nt,ArrayExpress,baker's yeast,NEW1 deletion,30 degree of Celsius; Synthetic complete medium,Ribo-Seq,1,E-MTAB-7763:new1_KO_30C_riboseq_S2,BY derivative MJY1173,BY derivative  MJY1173
ERR3218431,46314080,2362018080,51,1224,ERX3245949,new1_KO_30C_riboseq_S4_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114248,PRJEB31666,1,"",ERS3222614,SAMEA5417316,simple,4932,Saccharomyces cerevisiae,SAMEA5417316,postdoc,ERA1762847,06,2019,Makar,"",new1_KO_30C_riboseq_S4,2019-05-31,2019-03-12,SAMEA5417316,postdoc,postdoc,2019-05-31T17:03:33Z,2019-03-12T10:39:30Z,public,E-MTAB-7763:new1_KO_30C_riboseq_S4,Ribosome protected fragments 18-33 nt,ArrayExpress,baker's yeast,NEW1 deletion,30 degree of Celsius; Synthetic complete medium,Ribo-Seq,2,E-MTAB-7763:new1_KO_30C_riboseq_S4,BY derivative MJY1173,BY derivative  MJY1173
ERR3218432,16606183,846915333,51,361,ERX3245950,new1_KO_30C_rnaseq_S22_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114248,PRJEB31666,1,"",ERS3222615,SAMEA5417317,simple,4932,Saccharomyces cerevisiae,SAMEA5417317,postdoc,ERA1762847,06,2019,Makar,"",new1_KO_30C_rnaseq_S22,2019-05-31,2019-03-12,SAMEA5417317,postdoc,postdoc,2019-05-31T17:03:33Z,2019-03-12T10:39:30Z,public,E-MTAB-7763:new1_KO_30C_rnaseq_S22,rRNA depleted total RNA,ArrayExpress,baker's yeast,NEW1 deletion,30 degree of Celsius; Synthetic complete medium,RNA-Seq,1,E-MTAB-7763:new1_KO_30C_rnaseq_S22,BY derivative MJY1173,BY derivative  MJY1173
ERR3218433,20180603,1029210753,51,440,ERX3245951,new1_KO_30C_rnaseq_S24_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114248,PRJEB31666,1,"",ERS3222616,SAMEA5417318,simple,4932,Saccharomyces cerevisiae,SAMEA5417318,postdoc,ERA1762847,06,2019,Makar,"",new1_KO_30C_rnaseq_S24,2019-05-31,2019-03-12,SAMEA5417318,postdoc,postdoc,2019-05-31T17:03:33Z,2019-03-12T10:39:30Z,public,E-MTAB-7763:new1_KO_30C_rnaseq_S24,rRNA depleted total RNA,ArrayExpress,baker's yeast,NEW1 deletion,30 degree of Celsius; Synthetic complete medium,RNA-Seq,2,E-MTAB-7763:new1_KO_30C_rnaseq_S24,BY derivative MJY1173,BY derivative  MJY1173
ERR3218434,36716398,1872536298,51,972,ERX3245952,WT_20C_riboseq_S5_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114248,PRJEB31666,1,"",ERS3222617,SAMEA5417319,simple,4932,Saccharomyces cerevisiae,SAMEA5417319,postdoc,ERA1762847,06,2019,Makar,"",WT_20C_riboseq_S5,2019-05-31,2019-03-12,SAMEA5417319,postdoc,postdoc,2019-05-31T17:03:33Z,2019-03-12T10:39:30Z,public,E-MTAB-7763:WT_20C_riboseq_S5,Ribosome protected fragments 18-33 nt,ArrayExpress,baker's yeast,wild type,20 degree of Celsius; Synthetic complete medium,Ribo-Seq,1,E-MTAB-7763:WT_20C_riboseq_S5,BY derivative MJY1171,BY derivative  MJY1171
ERR3218435,39097639,1993979589,51,1036,ERX3245953,WT_20C_riboseq_S7_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114248,PRJEB31666,1,"",ERS3222618,SAMEA5417320,simple,4932,Saccharomyces cerevisiae,SAMEA5417320,postdoc,ERA1762847,06,2019,Makar,"",WT_20C_riboseq_S7,2019-05-31,2019-03-12,SAMEA5417320,postdoc,postdoc,2019-05-31T17:03:33Z,2019-03-12T10:39:30Z,public,E-MTAB-7763:WT_20C_riboseq_S7,Ribosome protected fragments 18-33 nt,ArrayExpress,baker's yeast,wild type,20 degree of Celsius; Synthetic complete medium,Ribo-Seq,2,E-MTAB-7763:WT_20C_riboseq_S7,BY derivative MJY1171,BY derivative  MJY1171
