Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,sample name,strain,substrain
ERR3013210,690016,103956752,150,71,ERX3015662,unspecified,WGS,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP023436,PRJEB21199,1,"",ERS2994326,SAMEA5186828,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA5186828,KAIST,ERA1697443,02,2019,Makar,"","Whole Genome Resequencing, MG1655 Reference ALE, Endpoint Population 1",2019-02-25,2018-12-18,SAMEA5186828,KAIST,KAIST,2019-02-25T17:03:27Z,2018-12-18T11:48:40Z,public,"Whole Genome Resequencing, MG1655 Reference ALE, Endpoint Population 1","Whole Genome Resequencing, MG1655 Reference ALE, Endpoint Population 1",K-12,MG1655
ERR3013211,451178,67973112,150,46,ERX3015663,unspecified,WGS,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP023436,PRJEB21199,1,"",ERS2994327,SAMEA5186829,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA5186829,KAIST,ERA1697443,02,2019,Makar,"","Whole Genome Resequencing, MG1655 Reference ALE, Endpoint Population 2",2019-02-25,2018-12-18,SAMEA5186829,KAIST,KAIST,2019-02-25T17:03:27Z,2018-12-18T11:48:40Z,public,"Whole Genome Resequencing, MG1655 Reference ALE, Endpoint Population 2","Whole Genome Resequencing, MG1655 Reference ALE, Endpoint Population 2",K-12,MG1655
ERR3013212,669104,100010230,149,68,ERX3015664,unspecified,WGS,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP023436,PRJEB21199,1,"",ERS2994328,SAMEA5186830,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA5186830,KAIST,ERA1697443,02,2019,Makar,"","Whole Genome Resequencing, MG1655 Reference ALE, Endpoint Population 3",2019-02-25,2018-12-18,SAMEA5186830,KAIST,KAIST,2019-02-25T17:03:27Z,2018-12-18T11:48:40Z,public,"Whole Genome Resequencing, MG1655 Reference ALE, Endpoint Population 3","Whole Genome Resequencing, MG1655 Reference ALE, Endpoint Population 3",K-12,MG1655
ERR3013213,7776820,393468034,50,209,ERX3015665,unspecified,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP023436,PRJEB21199,1,"",ERS2994329,SAMEA5186831,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA5186831,KAIST,ERA1697443,02,2019,Makar,"",RNA-Seq_eMG1655_Rep1,2019-02-25,2018-12-18,SAMEA5186831,KAIST,KAIST,2019-02-25T17:03:27Z,2018-12-18T11:48:40Z,public,RNA-Seq_eMG1655_Rep1,RNA-Seq_eMG1655_Rep1,K-12,MG1655
ERR3013214,7187624,363673545,50,193,ERX3015666,unspecified,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP023436,PRJEB21199,1,"",ERS2994330,SAMEA5186832,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA5186832,KAIST,ERA1697443,02,2019,Makar,"",RNA-Seq_eMG1655_Rep2,2019-02-25,2018-12-18,SAMEA5186832,KAIST,KAIST,2019-02-25T17:03:27Z,2018-12-18T11:48:40Z,public,RNA-Seq_eMG1655_Rep2,RNA-Seq_eMG1655_Rep2,K-12,MG1655
ERR2001762,7896352,284268672,36,170,ERX2061631,unspecified,WGS,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP023436,PRJEB21199,1,"",ERS1779110,SAMEA104115217,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA104115217,KAIST,ERA953838,02,2019,Makar,"","Whole Genome Resequencing, ALE Day 0",2019-02-25,2017-06-07,SAMEA104115217,KAIST,KAIST,2019-02-25T17:03:14Z,2017-06-07T08:59:53Z,public,ALE Day 0,ALE Day 0,K-12,MG1655
ERR2001763,7124905,360562193,50,216,ERX2061632,unspecified,WGS,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP023436,PRJEB21199,1,"",ERS1779111,SAMEA104115218,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA104115218,KAIST,ERA953838,02,2019,Makar,"","Whole Genome Resequencing, ALE Day 5",2019-02-25,2017-06-07,SAMEA104115218,KAIST,KAIST,2019-02-25T17:03:14Z,2017-06-07T08:59:53Z,public,ALE Day 5,ALE Day 5,K-12,MG1655
ERR2001764,6704493,339257837,50,192,ERX2061633,unspecified,WGS,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP023436,PRJEB21199,1,"",ERS1779112,SAMEA104115219,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA104115219,KAIST,ERA953838,02,2019,Makar,"","Whole Genome Resequencing, ALE Day 10",2019-02-25,2017-06-07,SAMEA104115219,KAIST,KAIST,2019-02-25T17:03:14Z,2017-06-07T08:59:53Z,public,ALE Day 10,ALE Day 10,K-12,MG1655
ERR2001765,8337454,421877514,50,232,ERX2061634,unspecified,WGS,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP023436,PRJEB21199,1,"",ERS1779113,SAMEA104115220,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA104115220,KAIST,ERA953838,02,2019,Makar,"","Whole Genome Resequencing, ALE Day 15",2019-02-25,2017-06-07,SAMEA104115220,KAIST,KAIST,2019-02-25T17:03:14Z,2017-06-07T08:59:53Z,public,ALE Day 15,ALE Day 15,K-12,MG1655
ERR2001766,8321997,421061934,50,231,ERX2061635,unspecified,WGS,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP023436,PRJEB21199,1,"",ERS1779114,SAMEA104115221,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA104115221,KAIST,ERA953838,02,2019,Makar,"","Whole Genome Resequencing, ALE Day 20",2019-02-25,2017-06-07,SAMEA104115221,KAIST,KAIST,2019-02-25T17:03:14Z,2017-06-07T08:59:53Z,public,ALE Day 20,ALE Day 20,K-12,MG1655
