Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,days treatment,GEO Accession
SRR7798880,69779229,3612310296,51,1080,SRX4650721,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159962,PRJNA489713,31109297,"",SRS3748715,SAMN09986559,simple,9606,Homo sapiens,GSM3378855,GEO,SRA769302,09,2018,Rodriguez,SH-SY5Y cells,32873 Non-Diff mRNA,SH-SY5Y cells,Non-differentiated SH-SY5Y cells,0,GSM3378855
SRR7798881,65704692,3400926888,51,1028,SRX4650722,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159962,PRJNA489713,31109297,"",SRS3748716,SAMN09986558,simple,9606,Homo sapiens,GSM3378856,GEO,SRA769302,09,2018,Rodriguez,SH-SY5Y cells,32874 RA-Diff mRNA,SH-SY5Y cells,RA-differentiated SH-SY5Y cells,6,GSM3378856
SRR7798882,2957153,82920002,28,46,SRX4650723,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159962,PRJNA489713,31109297,"",SRS3748717,SAMN09986557,simple,9606,Homo sapiens,GSM3378857,GEO,SRA769302,09,2018,Rodriguez,SH-SY5Y cells,34080 Non-Diff CHX rep1,SH-SY5Y cells,Non-differentiated SH-SY5Y cells,0,GSM3378857
SRR7798883,3154859,89348555,28,48,SRX4650724,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159962,PRJNA489713,31109297,"",SRS3748718,SAMN09986556,simple,9606,Homo sapiens,GSM3378858,GEO,SRA769302,09,2018,Rodriguez,SH-SY5Y cells,34081 Non-Diff CHX rep2,SH-SY5Y cells,Non-differentiated SH-SY5Y cells,0,GSM3378858
SRR7798884,6751313,189448135,28,99,SRX4650725,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159962,PRJNA489713,31109297,"",SRS3748971,SAMN09986555,simple,9606,Homo sapiens,GSM3378859,GEO,SRA769302,09,2018,Rodriguez,SH-SY5Y cells,33310 Non-Diff HRT rep1,SH-SY5Y cells,Non-differentiated SH-SY5Y cells,0,GSM3378859
SRR7798885,3175360,89620468,28,48,SRX4650726,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159962,PRJNA489713,31109297,"",SRS3748972,SAMN09986554,simple,9606,Homo sapiens,GSM3378860,GEO,SRA769302,09,2018,Rodriguez,SH-SY5Y cells,33311 Non-Diff HRT rep2,SH-SY5Y cells,Non-differentiated SH-SY5Y cells,0,GSM3378860
SRR7798886,6277310,172096631,27,90,SRX4650727,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159962,PRJNA489713,31109297,"",SRS3748973,SAMN09986553,simple,9606,Homo sapiens,GSM3378861,GEO,SRA769302,09,2018,Rodriguez,SH-SY5Y cells,33312 RA-Diff CHX rep1,SH-SY5Y cells,RA-differentiated SH-SY5Y cells,6,GSM3378861
SRR7798887,9627402,266244233,27,143,SRX4650728,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159962,PRJNA489713,31109297,"",SRS3748974,SAMN09986552,simple,9606,Homo sapiens,GSM3378862,GEO,SRA769302,09,2018,Rodriguez,SH-SY5Y cells,33313 RA-Diff CHX rep2,SH-SY5Y cells,RA-differentiated SH-SY5Y cells,6,GSM3378862
SRR7798888,6365794,173775518,27,104,SRX4650729,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159962,PRJNA489713,31109297,"",SRS3748975,SAMN09986551,simple,9606,Homo sapiens,GSM3378863,GEO,SRA769302,09,2018,Rodriguez,SH-SY5Y cells,33314 RA-Diff HRT rep1,SH-SY5Y cells,RA-differentiated SH-SY5Y cells,6,GSM3378863
SRR7798889,5168196,142375553,27,83,SRX4650730,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159962,PRJNA489713,31109297,"",SRS3748976,SAMN09986550,simple,9606,Homo sapiens,GSM3378864,GEO,SRA769302,09,2018,Rodriguez,SH-SY5Y cells,33315 RA-Diff HRT rep2,SH-SY5Y cells,RA-differentiated SH-SY5Y cells,6,GSM3378864
