Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Sex,cell type,genotype,age
SRR19429837,43760835,8839688670,101,2644,SRX15483446,GSM6203353,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP377397,PRJNA842957,36285625,"",SRS13199219,SAMN28697599,simple,10090,Mus musculus,GSM6203353,"Medicine, University of California, San Diego",SRA1427967,10,2022,Lai,Brain,MBECsCCM3Flox_02,Brain,Brain,male,Brain Microvascular Endothelial,Pdcd10fl/fl;Aldh1l1-EGFP/Rpl10a,P75
SRR19429836,37833848,7642437296,101,2306,SRX15483447,GSM6203354,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP377397,PRJNA842957,36285625,"",SRS13199220,SAMN28697598,simple,10090,Mus musculus,GSM6203354,"Medicine, University of California, San Diego",SRA1427967,10,2022,Lai,Brain,MBECsCCM3Flox_03,Brain,Brain,male,Brain Microvascular Endothelial,Pdcd10fl/fl;Aldh1l1-EGFP/Rpl10a,P75
SRR19429835,26752330,5403970660,101,1653,SRX15483448,GSM6203355,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP377397,PRJNA842957,36285625,"",SRS13199221,SAMN28697597,simple,10090,Mus musculus,GSM6203355,"Medicine, University of California, San Diego",SRA1427967,10,2022,Lai,Brain,MBECsCCM3Flox_04,Brain,Brain,male,Brain Microvascular Endothelial,Pdcd10fl/fl;Aldh1l1-EGFP/Rpl10a,P75
SRR19429834,32842487,6634182374,101,1982,SRX15483449,GSM6203356,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP377397,PRJNA842957,36285625,"",SRS13199222,SAMN28697596,simple,10090,Mus musculus,GSM6203356,"Medicine, University of California, San Diego",SRA1427967,10,2022,Lai,Brain,MBECsCCM3KO_01,Brain,Brain,male,Brain Microvascular Endothelial,Slco1c1-iCreERT2;Pdcd10fl/fl;Aldh1l1-EGFP/Rpl10a,P75
SRR19429833,29166491,5891631182,101,1776,SRX15483450,GSM6203357,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP377397,PRJNA842957,36285625,"",SRS13199223,SAMN28697595,simple,10090,Mus musculus,GSM6203357,"Medicine, University of California, San Diego",SRA1427967,10,2022,Lai,Brain,MBECsCCM3KO_02,Brain,Brain,male,Brain Microvascular Endothelial,Slco1c1-iCreERT2;Pdcd10fl/fl;Aldh1l1-EGFP/Rpl10a,P75
SRR19429832,35594515,7190092030,101,2152,SRX15483451,GSM6203358,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP377397,PRJNA842957,36285625,"",SRS13199224,SAMN28697594,simple,10090,Mus musculus,GSM6203358,"Medicine, University of California, San Diego",SRA1427967,10,2022,Lai,Brain,MBECsCCM3KO_03,Brain,Brain,male,Brain Microvascular Endothelial,Slco1c1-iCreERT2;Pdcd10fl/fl;Aldh1l1-EGFP/Rpl10a,P75
SRR19429831,33689211,6805220622,101,2057,SRX15483452,GSM6203359,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP377397,PRJNA842957,36285625,"",SRS13199225,SAMN28697593,simple,10090,Mus musculus,GSM6203359,"Medicine, University of California, San Diego",SRA1427967,10,2022,Lai,Brain,MBECsCCM3KO_04,Brain,Brain,male,Brain Microvascular Endothelial,Slco1c1-iCreERT2;Pdcd10fl/fl;Aldh1l1-EGFP/Rpl10a,P75
SRR19429830,32254894,6515488588,101,1986,SRX15483453,GSM6203360,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP377397,PRJNA842957,36285625,"",SRS13199226,SAMN28697592,simple,10090,Mus musculus,GSM6203360,"Medicine, University of California, San Diego",SRA1427967,10,2022,Lai,Brain,AstroCCM3Flox_01,Brain,Brain,male,Astrocyte,Pdcd10fl/fl;Aldh1l1-EGFP/Rpl10a,P75
SRR19429829,40064311,8092990822,101,2515,SRX15483454,GSM6203361,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP377397,PRJNA842957,36285625,"",SRS13199227,SAMN28697591,simple,10090,Mus musculus,GSM6203361,"Medicine, University of California, San Diego",SRA1427967,10,2022,Lai,Brain,AstroCCM3Flox_02,Brain,Brain,male,Astrocyte,Pdcd10fl/fl;Aldh1l1-EGFP/Rpl10a,P75
SRR19429828,25294845,5109558690,101,1523,SRX15483455,GSM6203362,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP377397,PRJNA842957,36285625,"",SRS13199228,SAMN28697590,simple,10090,Mus musculus,GSM6203362,"Medicine, University of California, San Diego",SRA1427967,10,2022,Lai,Brain,AstroCCM3Flox_03,Brain,Brain,male,Astrocyte,Pdcd10fl/fl;Aldh1l1-EGFP/Rpl10a,P75
