Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell culture treatment,GEO Accession
SRR5564114,84174211,4292884761,51,2498,SRX2825796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP107240,PRJNA386877,28945192,"",SRS2202029,SAMN07125172,simple,4896,Schizosaccharomyces pombe,GSM2628039,GEO,SRA561843,09,2017,Guydosh,Whole cells,WT short and long footprints,Whole cells,WT,,GSM2628039
SRR5564115,80304780,4095543780,51,2371,SRX2825797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP107240,PRJNA386877,28945192,"",SRS2202031,SAMN07125207,simple,4896,Schizosaccharomyces pombe,GSM2628040,GEO,SRA561843,09,2017,Guydosh,Whole cells,ski2KO short and long footprints,Whole cells,ski2KO,,GSM2628040
SRR5564116,90835816,4632626616,51,2723,SRX2825798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP107240,PRJNA386877,28945192,"",SRS2202030,SAMN07125206,simple,4896,Schizosaccharomyces pombe,GSM2628041,GEO,SRA561843,09,2017,Guydosh,Whole cells,dom34KO short and long footprints,Whole cells,dom34KO,,GSM2628041
SRR5564117,94030759,4795568709,51,2823,SRX2825799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP107240,PRJNA386877,28945192,"",SRS2202032,SAMN07125205,simple,4896,Schizosaccharomyces pombe,GSM2628042,GEO,SRA561843,09,2017,Guydosh,Whole cells,WT short and long footprints+DTT,Whole cells,WT,DTT,GSM2628042
SRR5564118,67272426,3430893726,51,1968,SRX2825800,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP107240,PRJNA386877,28945192,"",SRS2202033,SAMN07125204,simple,4896,Schizosaccharomyces pombe,GSM2628043,GEO,SRA561843,09,2017,Guydosh,Whole cells,ski2KO short and long footprints+DTT,Whole cells,ski2KO,DTT,GSM2628043
SRR5564119,86617747,4417505097,51,2547,SRX2825801,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP107240,PRJNA386877,28945192,"",SRS2202034,SAMN07125203,simple,4896,Schizosaccharomyces pombe,GSM2628044,GEO,SRA561843,09,2017,Guydosh,Whole cells,dom34KO short and long footprints+DTT,Whole cells,dom34KO,DTT,GSM2628044
SRR5564120,119084969,5954248450,50,2999,SRX2825802,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP107240,PRJNA386877,28945192,"",SRS2202035,SAMN07125202,simple,4896,Schizosaccharomyces pombe,GSM2628045,GEO,SRA561843,09,2017,Guydosh,Whole cells,ski2KO dom34KO short and long footprints,Whole cells,ski2KO dom34KO,,GSM2628045
SRR5564121,125360299,6268014950,50,3222,SRX2825802,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP107240,PRJNA386877,28945192,"",SRS2202035,SAMN07125202,simple,4896,Schizosaccharomyces pombe,GSM2628045,GEO,SRA561843,09,2017,Guydosh,Whole cells,ski2KO dom34KO short and long footprints,Whole cells,ski2KO dom34KO,DTT,GSM2628046
SRR5564122,63633229,3181661450,50,1606,SRX2825803,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP107240,PRJNA386877,28945192,"",SRS2202036,SAMN07125201,simple,4896,Schizosaccharomyces pombe,GSM2628046,GEO,SRA561843,09,2017,Guydosh,Whole cells,ski2KO dom34KO short and long footprints+DTT,Whole cells,WT,,GSM2628047
SRR5564123,66200307,3310015350,50,1706,SRX2825803,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP107240,PRJNA386877,28945192,"",SRS2202036,SAMN07125201,simple,4896,Schizosaccharomyces pombe,GSM2628046,GEO,SRA561843,09,2017,Guydosh,Whole cells,ski2KO dom34KO short and long footprints+DTT,Whole cells,ski2KO,,GSM2628048
