Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,molecule subtype,rrna removal
SRR18686301,386942584,29020693800,75,10348,SRX14787330,GSM6035059,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546223,SAMN27479187,simple,4932,Saccharomyces cerevisiae,GSM6035059,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_timecourse_pool_-PreTreat_Rep1,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,RiboZero
SRR18686300,136657953,10386004428,76,3870,SRX14787331,GSM6035060,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546224,SAMN27479186,simple,4932,Saccharomyces cerevisiae,GSM6035060,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_timecourse_pool_-PreTreat_Rep2,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,RiboZero
SRR18686299,23135864,971706288,42,688,SRX14787332,GSM6035061,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546225,SAMN27479185,simple,4932,Saccharomyces cerevisiae,GSM6035061,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_logphase_+PreTreat_Rep1,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,RiboZero
SRR18686298,17778707,640033452,36,384,SRX14787333,GSM6035062,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546226,SAMN27479184,simple,4932,Saccharomyces cerevisiae,GSM6035062,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_logphase_+PreTreat_Rep2,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,RiboZero
SRR18686297,19360675,813148350,42,544,SRX14787334,GSM6035063,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546227,SAMN27479183,simple,4932,Saccharomyces cerevisiae,GSM6035063,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_15min_-Glu_+PreTreat_Rep1,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,RiboZero
SRR18686296,20351396,732650256,36,458,SRX14787335,GSM6035064,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546228,SAMN27479182,simple,4932,Saccharomyces cerevisiae,GSM6035064,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_15min_-Glu_+PreTreat_Rep2,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,None
SRR18686295,20161990,846803580,42,450,SRX14787336,GSM6035065,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546229,SAMN27479181,simple,4932,Saccharomyces cerevisiae,GSM6035065,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_15min_-Glu_1min_+Glu_+PreTreat,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,None
SRR18686294,18711539,785884638,42,420,SRX14787337,GSM6035066,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546230,SAMN27479180,simple,4932,Saccharomyces cerevisiae,GSM6035066,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_15min_-Glu_5min_+Glu_+PreTreat,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,None
SRR18686293,7828782,391439100,50,173,SRX14787338,GSM6035067,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546231,SAMN27479179,simple,4932,Saccharomyces cerevisiae,GSM6035067,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_logphase_-PreTreat,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,RiboZero
SRR18686292,8982041,449102050,50,197,SRX14787339,GSM6035068,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546232,SAMN27479178,simple,4932,Saccharomyces cerevisiae,GSM6035068,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_1day_-PreTreat,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,RiboZero
