Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain/background,tissue,diet,GEO Accession
SRR5640824,32245107,1612255350,50,696,SRX2879223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250546,SAMN07189056,simple,10090,Mus musculus,GSM2648066,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, vehicle",RNASeq_muscle_control1,"Quadriceps muscle, vehicle",C57Bl/6,Quadriceps muscle,Oral gavage vehicle,GSM2648066
SRR5640825,31402605,1570130250,50,676,SRX2879224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250543,SAMN07189055,simple,10090,Mus musculus,GSM2648067,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, vehicle",RNASeq_muscle_control2,"Quadriceps muscle, vehicle",C57Bl/6,Quadriceps muscle,Oral gavage vehicle,GSM2648067
SRR5640826,32963076,1648153800,50,711,SRX2879225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250545,SAMN07189054,simple,10090,Mus musculus,GSM2648068,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, vehicle",RNASeq_muscle_control3,"Quadriceps muscle, vehicle",C57Bl/6,Quadriceps muscle,Oral gavage vehicle,GSM2648068
SRR5640827,55499024,2774951200,50,1259,SRX2879226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250544,SAMN07189053,simple,10090,Mus musculus,GSM2648069,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, vehicle",RNASeq_muscle_control4,"Quadriceps muscle, vehicle",C57Bl/6,Quadriceps muscle,Oral gavage vehicle,GSM2648069
SRR5640828,53152914,2657645700,50,1206,SRX2879227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250547,SAMN07189052,simple,10090,Mus musculus,GSM2648070,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, vehicle",RNASeq_muscle_control5,"Quadriceps muscle, vehicle",C57Bl/6,Quadriceps muscle,Oral gavage vehicle,GSM2648070
SRR5640829,38967123,1948356150,50,838,SRX2879228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250551,SAMN07189051,simple,10090,Mus musculus,GSM2648071,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",RNASeq_muscle_Leu1,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648071
SRR5640830,39237183,1961859150,50,843,SRX2879229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250550,SAMN07189050,simple,10090,Mus musculus,GSM2648072,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",RNASeq_muscle_Leu2,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648072
SRR5640831,36776782,1838839100,50,792,SRX2879230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250549,SAMN07189049,simple,10090,Mus musculus,GSM2648073,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",RNASeq_muscle_Leu3,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648073
SRR5640832,50135346,2506767300,50,1138,SRX2879231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250548,SAMN07189048,simple,10090,Mus musculus,GSM2648074,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",RNASeq_muscle_Leu4,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648074
SRR5640833,52034925,2601746250,50,1180,SRX2879232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250552,SAMN07189047,simple,10090,Mus musculus,GSM2648075,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",RNASeq_muscle_Leu5,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648075
SRR5640834,56949943,2847497150,50,1288,SRX2879233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250553,SAMN07189046,simple,10090,Mus musculus,GSM2648076,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",RNASeq_muscle_Leu6,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648076
SRR5640835,90044770,4502238500,50,1846,SRX2879234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250557,SAMN07189045,simple,10090,Mus musculus,GSM2648077,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, vehicle",Ribosome_profiling_muscle_control1,"Quadriceps muscle, vehicle",C57Bl/6,Quadriceps muscle,Oral gavage vehicle,GSM2648077
