Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,GEO Accession
SRR8584329,41916309,2095815450,50,787,SRX5385005,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373536,SAMN10958710,simple,10090,Mus musculus,GSM3610679,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,Rib. Prof. Hras shEif2b5 rep 1,Epidermal basal cells,FR-HrasG12V,Epidermis,E18.5,HrasG12V,GSM3610679
SRR8584330,57376685,2868834250,50,1182,SRX5385006,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373537,SAMN10958709,simple,10090,Mus musculus,GSM3610680,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,Rib. Prof. Hras shEif2b5 rep 2,Epidermal basal cells,FR-HrasG12V,Epidermis,E18.5,HrasG12V,GSM3610680
SRR8584331,72984793,3649239650,50,1482,SRX5385007,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373538,SAMN10958708,simple,10090,Mus musculus,GSM3610681,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,Rib. Prof. Hras shEif2b5 rep 3,Epidermal basal cells,FR-HrasG12V,Epidermis,E18.5,HrasG12V,GSM3610681
SRR8584332,54971358,2748567900,50,1044,SRX5385008,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373539,SAMN10958707,simple,10090,Mus musculus,GSM3610682,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,Rib. Prof. Hras shScram rep 1,Epidermal basal cells,FR-HrasG12V,Epidermis,E18.5,HrasG12V,GSM3610682
SRR8584333,28213625,1410681250,50,525,SRX5385009,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373540,SAMN10958706,simple,10090,Mus musculus,GSM3610683,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,Rib. Prof. Hras shScram rep 2,Epidermal basal cells,FR-HrasG12V,Epidermis,E18.5,HrasG12V,GSM3610683
SRR8584334,47967421,2398371050,50,930,SRX5385010,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373541,SAMN10958705,simple,10090,Mus musculus,GSM3610684,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,Rib. Prof. Hras shScram rep 3,Epidermal basal cells,FR-HrasG12V,Epidermis,E18.5,HrasG12V,GSM3610684
SRR8584335,26498422,1324921100,50,485,SRX5385011,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373542,SAMN10958704,simple,10090,Mus musculus,GSM3610685,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,Rib. Prof. WT shScram rep 1,Epidermal basal cells,"Gt(ROSA)26Sortm4(ACTB-tdTomato,-EGFP)Luo/J",Epidermis,E18.5,Rosa26,GSM3610685
SRR8584336,40339054,2016952700,50,769,SRX5385012,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373543,SAMN10958703,simple,10090,Mus musculus,GSM3610686,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,Rib. Prof. WT shScram rep 2,Epidermal basal cells,"Gt(ROSA)26Sortm4(ACTB-tdTomato,-EGFP)Luo/J",Epidermis,E18.5,WT,GSM3610686
SRR8584337,58197796,2909889800,50,1111,SRX5385013,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373544,SAMN10958702,simple,10090,Mus musculus,GSM3610687,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,Rib. Prof. WT shScram rep 3,Epidermal basal cells,"Gt(ROSA)26Sortm4(ACTB-tdTomato,-EGFP)Luo/J",Epidermis,E18.5,WT,GSM3610687
SRR8584338,69239357,3461967850,50,1474,SRX5385014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373545,SAMN10958701,simple,10090,Mus musculus,GSM3610688,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,RNAseq Hras shEif2b5 rep 1,Epidermal basal cells,FR-HrasG12V,Epidermis,E18.5,HrasG12V,GSM3610688
SRR8584339,63371325,3168566250,50,1332,SRX5385015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373546,SAMN10958700,simple,10090,Mus musculus,GSM3610689,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,RNAseq Hras shEif2b5 rep 2,Epidermal basal cells,FR-HrasG12V,Epidermis,E18.5,HrasG12V,GSM3610689
SRR8584340,90473259,4523662950,50,1943,SRX5385016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP186092,PRJNA522866,32516567,"",SRS4373547,SAMN10958699,simple,10090,Mus musculus,GSM3610690,GEO,SRA849799,06,2020,Cai,Epidermal basal cells,RNAseq Hras shEif2b5 rep 3,Epidermal basal cells,FR-HrasG12V,Epidermis,E18.5,HrasG12V,GSM3610690
