Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,agent,time,cell type,ip antibody,GEO Accession
SRR5657127,23885701,663758514,27,402,SRX2893677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261252,SAMN07203295,simple,10090,Mus musculus,GSM2652244,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_R0A,bone marrow derived macrophage,C57BL/6,control,0hr,BMDM,,GSM2652244
SRR5657128,25310861,678413553,26,727,SRX2893678,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261253,SAMN07203294,simple,10090,Mus musculus,GSM2652245,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_R0B,bone marrow derived macrophage,C57BL/6,control,0hr,BMDM,,GSM2652245
SRR5657129,28206372,783206472,27,479,SRX2893679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261254,SAMN07203293,simple,10090,Mus musculus,GSM2652246,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_R1A,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),1hr,BMDM,,GSM2652246
SRR5657130,20272967,543788827,26,580,SRX2893680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261255,SAMN07203292,simple,10090,Mus musculus,GSM2652247,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_R1B,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),1hr,BMDM,,GSM2652247
SRR5657131,32021850,900819785,28,549,SRX2893681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261256,SAMN07203291,simple,10090,Mus musculus,GSM2652248,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_R2A,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),2hrs,BMDM,,GSM2652248
SRR5657132,16378311,435247799,26,453,SRX2893682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261257,SAMN07203290,simple,10090,Mus musculus,GSM2652249,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_R2B,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),2hrs,BMDM,,GSM2652249
SRR5657133,25940535,726999340,28,446,SRX2893683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261258,SAMN07203289,simple,10090,Mus musculus,GSM2652250,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_R4A,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),4hrs,BMDM,,GSM2652250
SRR5657134,15852765,420991856,26,440,SRX2893684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261259,SAMN07203288,simple,10090,Mus musculus,GSM2652251,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_R4B,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),4hrs,BMDM,,GSM2652251
SRR5657135,14842676,410931568,27,252,SRX2893685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261260,SAMN07203296,simple,10090,Mus musculus,GSM2652252,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_R6A,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),6hrs,BMDM,,GSM2652252
SRR5657136,19220565,512971766,26,549,SRX2893686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261261,SAMN07203298,simple,10090,Mus musculus,GSM2652253,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_R6B,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),6hrs,BMDM,,GSM2652253
