Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,na constructs,GEO Accession
SRR9737064,8693943,443391093,51,149,SRX6494010,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216083,PRJNA556267,32348767,"",SRS5142579,SAMN12346058,simple,9606,Homo sapiens,GSM3966943,GEO,SRA925389,01,2020,Groenke,Transfected HEK 293T cells,RNA from 27wt/72Lmax/27min Replicate 1,Transfected HEK 293T cells,"27wt, 72Lmax and 27min",GSM3966943
SRR9737065,15068282,768482382,51,257,SRX6494011,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216083,PRJNA556267,32348767,"",SRS5142580,SAMN12346057,simple,9606,Homo sapiens,GSM3966944,GEO,SRA925389,01,2020,Groenke,Transfected HEK 293T cells,RNA from 27wt/72Lmax/27min Replicate 2,Transfected HEK 293T cells,"27wt, 72Lmax and 27min",GSM3966944
SRR9737066,10427959,531825909,51,177,SRX6494012,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216083,PRJNA556267,32348767,"",SRS5142581,SAMN12346090,simple,9606,Homo sapiens,GSM3966945,GEO,SRA925389,01,2020,Groenke,Transfected HEK 293T cells,RNA from 72Hmax/46med Replicate 1,Transfected HEK 293T cells,72Hmax and 46med,GSM3966945
SRR9737067,17566572,895895172,51,300,SRX6494013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216083,PRJNA556267,32348767,"",SRS5142582,SAMN12346089,simple,9606,Homo sapiens,GSM3966946,GEO,SRA925389,01,2020,Groenke,Transfected HEK 293T cells,RNA from 72Hmax/46med Replicate 2,Transfected HEK 293T cells,72Hmax and 46med,GSM3966946
SRR9737068,16878174,860786874,51,290,SRX6494014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216083,PRJNA556267,32348767,"",SRS5142583,SAMN12346088,simple,9606,Homo sapiens,GSM3966947,GEO,SRA925389,01,2020,Groenke,Transfected HEK 293T cells,RNA from 72min Replicate 1,Transfected HEK 293T cells,72min,GSM3966947
SRR9737069,22194969,1131943419,51,380,SRX6494015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216083,PRJNA556267,32348767,"",SRS5142584,SAMN12346087,simple,9606,Homo sapiens,GSM3966948,GEO,SRA925389,01,2020,Groenke,Transfected HEK 293T cells,RNA from 72min Replicate 2,Transfected HEK 293T cells,72min,GSM3966948
SRR9737070,46938088,2393842488,51,728,SRX6494016,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216083,PRJNA556267,32348767,"",SRS5142585,SAMN12346086,simple,9606,Homo sapiens,GSM3966949,GEO,SRA925389,01,2020,Groenke,Transfected HEK 293T cells,Ribosome profiling from 27wt/72Lmax/27min Replicate 1,Transfected HEK 293T cells,"27wt, 72Lmax and 27min",GSM3966949
SRR9737071,51467562,2624845662,51,795,SRX6494017,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216083,PRJNA556267,32348767,"",SRS5142586,SAMN12346085,simple,9606,Homo sapiens,GSM3966950,GEO,SRA925389,01,2020,Groenke,Transfected HEK 293T cells,Ribosome profiling from 27wt/72Lmax/27min Replicate 2,Transfected HEK 293T cells,"27wt, 72Lmax and 27min",GSM3966950
SRR9737072,53236500,2715061500,51,835,SRX6494018,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216083,PRJNA556267,32348767,"",SRS5142587,SAMN12346084,simple,9606,Homo sapiens,GSM3966951,GEO,SRA925389,01,2020,Groenke,Transfected HEK 293T cells,Ribosome profiling from 72Hmax/46med Replicate 1,Transfected HEK 293T cells,72Hmax and 46med,GSM3966951
SRR9737073,46666037,2379967887,51,732,SRX6494019,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216083,PRJNA556267,32348767,"",SRS5142588,SAMN12346083,simple,9606,Homo sapiens,GSM3966952,GEO,SRA925389,01,2020,Groenke,Transfected HEK 293T cells,Ribosome profiling from 72Hmax/46med Replicate 2,Transfected HEK 293T cells,72Hmax and 46med,GSM3966952
