Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_id,strain,age,sex,tissue,BioSampleModel
SRR8165687,78001582,11700237300,75,6457,SRX4986299,52,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023221,SAMN10388096,simple,10029,Cricetulus griseus,Tissue3_B_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",52,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165686,77244423,11586663450,75,6969,SRX4986300,57,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023220,SAMN10388101,simple,10029,Cricetulus griseus,Tissue4_D_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",57,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165685,60103625,9015543750,75,5330,SRX4986301,58,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023222,SAMN10388102,simple,10029,Cricetulus griseus,Tissue5_B_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",58,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165684,83300326,12495048900,75,8532,SRX4986302,5,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023223,SAMN10388049,simple,10029,Cricetulus griseus,CellLine2_2,UCSD,SRA804036,12,2018,Makar,"","",5,CHO,missing,female,Ovary,Model organism or animal
SRR8165683,80414073,12062110950,75,8282,SRX4986303,6,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023224,SAMN10388050,simple,10029,Cricetulus griseus,CellLine2_3,UCSD,SRA804036,12,2018,Makar,"","",6,CHO,missing,female,Ovary,Model organism or animal
SRR8165682,78847004,11827050600,75,8162,SRX4986304,7,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023225,SAMN10388051,simple,10029,Cricetulus griseus,CellLine3_1,UCSD,SRA804036,12,2018,Makar,"","",7,CHO,missing,female,Ovary,Model organism or animal
SRR8165681,87928084,13189212600,75,8989,SRX4986305,8,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023227,SAMN10388052,simple,10029,Cricetulus griseus,CellLine3_2,UCSD,SRA804036,12,2018,Makar,"","",8,CHO,missing,female,Ovary,Model organism or animal
SRR8165680,72254410,10838161500,75,7490,SRX4986306,1,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023226,SAMN10388045,simple,10029,Cricetulus griseus,CellLine1_1,UCSD,SRA804036,12,2018,Makar,"","",1,CHO,missing,female,Ovary,Model organism or animal
SRR8165679,71886742,10783011300,75,7496,SRX4986307,2,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023228,SAMN10388046,simple,10029,Cricetulus griseus,CellLine1_2,UCSD,SRA804036,12,2018,Makar,"","",2,CHO,missing,female,Ovary,Model organism or animal
SRR8165678,80961071,12144160650,75,8397,SRX4986308,3,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023229,SAMN10388047,simple,10029,Cricetulus griseus,CellLine1_3,UCSD,SRA804036,12,2018,Makar,"","",3,CHO,missing,female,Ovary,Model organism or animal
SRR8165677,74571174,11185676100,75,7685,SRX4986309,4,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023230,SAMN10388048,simple,10029,Cricetulus griseus,CellLine2_1,UCSD,SRA804036,12,2018,Makar,"","",4,CHO,missing,female,Ovary,Model organism or animal
SRR8165676,38763393,5814508950,75,3475,SRX4986310,56,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023252,SAMN10388100,simple,10029,Cricetulus griseus,Tissue4_C_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",56,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165675,71680036,10752005400,75,7433,SRX4986311,9,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023231,SAMN10388053,simple,10029,Cricetulus griseus,CellLine3_3,UCSD,SRA804036,12,2018,Makar,"","",9,CHO,missing,female,Ovary,Model organism or animal
SRR8165674,145121050,21768157500,75,13254,SRX4986312,10,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023232,SAMN10388054,simple,10029,Cricetulus griseus,CellLine4_1,UCSD,SRA804036,12,2018,Makar,"","",10,CHO,missing,female,Ovary,Model organism or animal
SRR8165673,62889194,9433379100,75,5603,SRX4986313,59,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023233,SAMN10388103,simple,10029,Cricetulus griseus,Tissue5_C_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",59,tissue,missing,female,Hamster tissue,Model organism or animal
