Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,experimental condition,cell line,cell type,GEO Accession
SRR7420376,60673882,6128062082,101,1971,SRX4291234,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454396,SAMN09479557,simple,10090,Mus musculus,GSM3214179,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_denr1_1; RPF-seq; Denr shRNA1, rep1",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214179
SRR7420377,88728540,8961582540,101,2624,SRX4291235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454397,SAMN09479556,simple,10090,Mus musculus,GSM3214180,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_denr1_2; RPF-seq; Denr shRNA1, rep2",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214180
SRR7420378,154422232,15596645432,101,4774,SRX4291236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454398,SAMN09479555,simple,10090,Mus musculus,GSM3214181,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_denr1_3; RPF-seq; Denr shRNA1, rep3",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214181
SRR7420379,59885204,6048405604,101,1941,SRX4291237,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454399,SAMN09479554,simple,10090,Mus musculus,GSM3214182,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_denr2_1; RPF-seq; Denr shRNA2, rep1",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214182
SRR7420380,129103440,13039447440,101,4280,SRX4291238,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454400,SAMN09479553,simple,10090,Mus musculus,GSM3214183,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_denr2_2; RPF-seq; Denr shRNA2, rep2",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214183
SRR7420381,38645910,3903236910,101,1135,SRX4291239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454401,SAMN09479552,simple,10090,Mus musculus,GSM3214184,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_denr2_3; RPF-seq; Denr shRNA2, rep3",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214184
SRR7420382,50378475,5088225975,101,1467,SRX4291240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454402,SAMN09479551,simple,10090,Mus musculus,GSM3214185,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_gfpsh_1; RPF-seq; Gfp shRNA, rep1",Fibroblasts,control,NIH3T3,Fibroblasts,GSM3214185
SRR7420383,67801025,6847903525,101,2213,SRX4291241,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454403,SAMN09479550,simple,10090,Mus musculus,GSM3214186,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_gfpsh_2; RPF-seq; Gfp shRNA, rep2",Fibroblasts,control,NIH3T3,Fibroblasts,GSM3214186
SRR7420384,77150791,7792229891,101,2302,SRX4291242,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454404,SAMN09479549,simple,10090,Mus musculus,GSM3214187,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_scrsh_1; RPF-seq; scramble shRNA, rep1",Fibroblasts,control,NIH3T3,Fibroblasts,GSM3214187
SRR7420385,57922041,5850126141,101,1889,SRX4291243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454418,SAMN09479548,simple,10090,Mus musculus,GSM3214188,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_scrsh_2; RPF-seq; scramble shRNA, rep2",Fibroblasts,control,NIH3T3,Fibroblasts,GSM3214188
