Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,age,breed,broker name,common name,environmental history,infect,organism part,protocol,sample name,Experimental Factor: infect,Experimental Factor: protocol
ERR3276516,55053803,2331547026,42,983,ERX3303389,Sample 10_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP114760,PRJEB32121,1,"",ERS3365320,SAMEA5563290,simple,9031,Gallus gallus,SAMEA5563290,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",ERA1826088,06,2019,Makar,"",Sample 10,2019-06-18,2019-04-11,SAMEA5563290,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge","Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",2019-06-18T17:08:08Z,2019-04-11T09:40:14Z,public,E-MTAB-7849:Sample 10,2 to 3,Rhode Island Red,ArrayExpress,chicken,specific pathogen free,Avian infectious bronchitis virus (strain Beaudette),kidney,RiboSeq,E-MTAB-7849:Sample 10,Avian infectious bronchitis virus (strain Beaudette),RiboSeq
ERR3276517,26947157,1513258341,56,568,ERX3303390,Sample 5_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP114760,PRJEB32121,1,"",ERS3365321,SAMEA5563291,simple,9031,Gallus gallus,SAMEA5563291,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",ERA1826088,06,2019,Makar,"",Sample 5,2019-06-18,2019-04-11,SAMEA5563291,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge","Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",2019-06-18T17:08:08Z,2019-04-11T09:40:14Z,public,E-MTAB-7849:Sample 5,2 to 3,Rhode Island Red,ArrayExpress,chicken,specific pathogen free,Avian infectious bronchitis virus (strain Beaudette),kidney,RNASeq,E-MTAB-7849:Sample 5,Avian infectious bronchitis virus (strain Beaudette),RNASeq
ERR3276518,55020617,2287339126,41,981,ERX3303391,Sample 6_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP114760,PRJEB32121,1,"",ERS3365322,SAMEA5563292,simple,9031,Gallus gallus,SAMEA5563292,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",ERA1826088,06,2019,Makar,"",Sample 6,2019-06-18,2019-04-11,SAMEA5563292,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge","Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",2019-06-18T17:08:08Z,2019-04-11T09:40:14Z,public,E-MTAB-7849:Sample 6,2 to 3,Rhode Island Red,ArrayExpress,chicken,specific pathogen free,Avian infectious bronchitis virus (strain Beaudette),kidney,RiboSeq,E-MTAB-7849:Sample 6,Avian infectious bronchitis virus (strain Beaudette),RiboSeq
ERR3276519,26710399,1628290372,60,591,ERX3303392,Sample 9_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP114760,PRJEB32121,1,"",ERS3365323,SAMEA5563293,simple,9031,Gallus gallus,SAMEA5563293,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",ERA1826088,06,2019,Makar,"",Sample 9,2019-06-18,2019-04-11,SAMEA5563293,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge","Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",2019-06-18T17:08:08Z,2019-04-11T09:40:14Z,public,E-MTAB-7849:Sample 9,2 to 3,Rhode Island Red,ArrayExpress,chicken,specific pathogen free,Avian infectious bronchitis virus (strain Beaudette),kidney,RNASeq,E-MTAB-7849:Sample 9,Avian infectious bronchitis virus (strain Beaudette),RNASeq
ERR3276520,24759896,1470848970,59,544,ERX3303393,Sample 1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP114760,PRJEB32121,1,"",ERS3365324,SAMEA5563294,simple,9031,Gallus gallus,SAMEA5563294,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",ERA1826088,06,2019,Makar,"",Sample 1,2019-06-18,2019-04-11,SAMEA5563294,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge","Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",2019-06-18T17:08:08Z,2019-04-11T09:40:15Z,public,E-MTAB-7849:Sample 1,2 to 3,Rhode Island Red,ArrayExpress,chicken,specific pathogen free,Avian infectious bronchitis virus (strain M41),kidney,RNASeq,E-MTAB-7849:Sample 1,Avian infectious bronchitis virus (strain M41),RNASeq
ERR3276521,40743255,720199228,17,370,ERX3303394,Sample 11_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP114760,PRJEB32121,1,"",ERS3365325,SAMEA5563295,simple,9031,Gallus gallus,SAMEA5563295,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",ERA1826088,06,2019,Makar,"",Sample 11,2019-06-18,2019-04-11,SAMEA5563295,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge","Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",2019-06-18T17:08:08Z,2019-04-11T09:40:15Z,public,E-MTAB-7849:Sample 11,2 to 3,Rhode Island Red,ArrayExpress,chicken,specific pathogen free,Avian infectious bronchitis virus (strain M41),kidney,RNASeq,E-MTAB-7849:Sample 11,Avian infectious bronchitis virus (strain M41),RNASeq
ERR3276522,51225481,2179088593,42,868,ERX3303395,Sample 12_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP114760,PRJEB32121,1,"",ERS3365326,SAMEA5563296,simple,9031,Gallus gallus,SAMEA5563296,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",ERA1826088,06,2019,Makar,"",Sample 12,2019-06-18,2019-04-11,SAMEA5563296,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge","Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",2019-06-18T17:08:08Z,2019-04-11T09:40:15Z,public,E-MTAB-7849:Sample 12,2 to 3,Rhode Island Red,ArrayExpress,chicken,specific pathogen free,Avian infectious bronchitis virus (strain M41),kidney,RiboSeq,E-MTAB-7849:Sample 12,Avian infectious bronchitis virus (strain M41),RiboSeq
ERR3276523,46244710,1870162578,40,818,ERX3303396,Sample 2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP114760,PRJEB32121,1,"",ERS3365327,SAMEA5563297,simple,9031,Gallus gallus,SAMEA5563297,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",ERA1826088,06,2019,Makar,"",Sample 2,2019-06-18,2019-04-11,SAMEA5563297,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge","Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",2019-06-18T17:08:08Z,2019-04-11T09:40:15Z,public,E-MTAB-7849:Sample 2,2 to 3,Rhode Island Red,ArrayExpress,chicken,specific pathogen free,Avian infectious bronchitis virus (strain M41),kidney,RiboSeq,E-MTAB-7849:Sample 2,Avian infectious bronchitis virus (strain M41),RiboSeq
ERR3276524,24691642,1389875907,56,517,ERX3303397,Sample 3_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP114760,PRJEB32121,1,"",ERS3365328,SAMEA5563298,simple,9031,Gallus gallus,SAMEA5563298,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",ERA1826088,06,2019,Makar,"",Sample 3,2019-06-18,2019-04-11,SAMEA5563298,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge","Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",2019-06-18T17:08:08Z,2019-04-11T09:40:15Z,public,E-MTAB-7849:Sample 3,2 to 3,Rhode Island Red,ArrayExpress,chicken,specific pathogen free,,kidney,RNASeq,E-MTAB-7849:Sample 3,none,RNASeq
ERR3276525,45214219,1852094222,40,741,ERX3303398,Sample 4_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP114760,PRJEB32121,1,"",ERS3365329,SAMEA5563299,simple,9031,Gallus gallus,SAMEA5563299,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",ERA1826088,06,2019,Makar,"",Sample 4,2019-06-18,2019-04-11,SAMEA5563299,"Department of Pathology, Department of Pathology Division of Virology, University of Cambridge","Department of Pathology, Department of Pathology Division of Virology, University of Cambridge",2019-06-18T17:08:08Z,2019-04-11T09:40:15Z,public,E-MTAB-7849:Sample 4,2 to 3,Rhode Island Red,ArrayExpress,chicken,specific pathogen free,,kidney,RiboSeq,E-MTAB-7849:Sample 4,none,RiboSeq
