Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,host,isolation_source,collection_date,geo_loc_name,sample_type,BioSampleModel
SRR6826895,33698914,3201396830,45,1571,SRX3783039,Spliceosome RNA-Seq (Round II)/TT DBE_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826882,27772211,2777221100,50,965,SRX3783040,5'-P/TT DBE+_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826894,33279889,3161589455,45,1574,SRX3783041,Spliceosome RNA-Seq (Round II)/TT_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826893,93002777,9300277700,50,3795,SRX3783042,3'-OH/TT dbr1 _1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826892,24937303,2015799049,80,746,SRX3783043,Footprint (Round I)/TT RNase T1 DBE+_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826891,64898928,6489892800,50,2661,SRX3783044,3'-OH/TT dbr1 _2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826890,31575761,2552913757,80,929,SRX3783045,Footprint (Round I)/TT RNase T1 DBE+_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826889,41625075,4162507500,50,1713,SRX3783046,3'-OH/TT dbr1  DBE+_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826887,20990138,1712358192,81,641,SRX3783047,Footprint (Round I)/TT RNase T1_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826886,45297703,4529770300,50,1549,SRX3783048,5'-P/TT_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826885,27144479,2211766916,81,820,SRX3783049,Footprint (Round I)/TT RNase T1_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826884,36548923,3654892300,50,1248,SRX3783050,5'-P/TT dbr1 _1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826883,30181614,2448269118,81,901,SRX3783051,Footprint (Round I)/TT MNase DBE+_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
