Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,dev_stage,sex,tissue,genotype,growth_protocol,sample_type,BioSampleModel,component organism,component organism
SRR8295900,1344118,189344551,70,75,SRX5110373,ESC_2018_LIB20,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP172974,PRJNA509065,1,"",SRS4119560,SAMN10536296,simple,6239,Caenorhabditis elegans,"mc6(male)/My14 L4 larvae RNAseq, biological replicate 2",STANFORD UNIVERSITY,SRA820584,12,2018,Makar,"","",PD3323/PD2186,L4 larva,hermaphrodite,whole organism,mc6(male)/My14,"160C, bleached eggs were allowed to develop for 96 hours in the presence of food","mc6(male)/My14 L4 larvae RNAseq, biological replicate 2",Model organism or animal,,
SRR8295899,1481656,211613133,71,81,SRX5110374,ESC_2018_LIB19,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP172974,PRJNA509065,1,"",SRS4119558,SAMN10536295,simple,6239,Caenorhabditis elegans,"mc6(male)/My14 L4 larvae RNAseq, biological replicate 1",STANFORD UNIVERSITY,SRA820584,12,2018,Makar,"","",PD3323/PD2186,L4 larva,hermaphrodite,whole organism,mc6(male)/My14,"160C, bleached eggs were allowed to develop for 96 hours in the presence of food","mc6(male)/My14 L4 larvae RNAseq, biological replicate 1",Model organism or animal,,
SRR8295898,1441335,213957606,74,72,SRX5110375,ESC_2018_LIB18,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP172974,PRJNA509065,1,"",SRS4119559,SAMN10536294,simple,6239,Caenorhabditis elegans,My14(male)/tra-2 (q122) L4 larvae RNAseq,STANFORD UNIVERSITY,SRA820584,12,2018,Makar,"","",PD2186/PD4709,L4 larva,hermaphrodite,whole organism,My14(male)/tra-2 (q122),"160C, bleached eggs were allowed to develop for 96 hours in the presence of food",My14(male)/tra-2 (q122) L4 larvae RNAseq,Model organism or animal,,
SRR8295897,2910470,412983265,70,173,SRX5110376,ESC_2018_LIB17,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP172974,PRJNA509065,1,"",SRS4119561,SAMN10536293,simple,6239,Caenorhabditis elegans,mc6(male)/My14 L1 larvae RNAseq  biological replicate 2,STANFORD UNIVERSITY,SRA820584,12,2018,Makar,"","",PD3323/PD2186,L1 larva,not determined,whole organism,mc6(male)/My14,"160C, bleached eggs were allowed to develop for 16 hours in the presence of food",mc6(male)/My14 L1 larvae RNAseq biological replicate 2,Model organism or animal,,
SRR8295896,1803271,249801329,69,107,SRX5110377,ESC_2018_LIB16,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP172974,PRJNA509065,1,"",SRS4119564,SAMN10536292,simple,6239,Caenorhabditis elegans,mc6(male)/My14 L1 larvae RNAseq  biological replicate 1,STANFORD UNIVERSITY,SRA820584,12,2018,Makar,"","",PD3323/PD2186,L1 larva,not determined,whole organism,mc6(male)/My14,"160C, bleached eggs were allowed to develop for 16 hours in the presence of food",mc6(male)/My14 L1 larvae RNAseq biological replicate 1,Model organism or animal,,
SRR8295895,3841,573376,74,0,SRX5110378,ESC_2018_LIB15,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP172974,PRJNA509065,1,"",SRS4119562,SAMN10536291,simple,6239,Caenorhabditis elegans,My14(male)/tra-2 (q122) L1 larvae RNAseq  biological replicate 2,STANFORD UNIVERSITY,SRA820584,12,2018,Makar,"","",PD2186/PD4709,L1 larva,not determined,whole organism,My14(male)/tra-2 tra-2 (q122),"160C, bleached eggs were allowed to develop for 16 hours in the presence of food",My14(male)/tra-2 (q122) L1 larvae RNAseq biological replicate 2,Model organism or animal,,
SRR8295894,222525,33457370,75,11,SRX5110379,ESC_2018_LIB14,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP172974,PRJNA509065,1,"",SRS4119563,SAMN10536290,simple,6239,Caenorhabditis elegans,My14(male)/tra-2 (q122) L1 larvae RNAseq biological replicate 1,STANFORD UNIVERSITY,SRA820584,12,2018,Makar,"","",PD2186/PD4709,L1 larva,not determined,whole organism,My14(male)/tra-2 (q122),"160C, bleached eggs were allowed to develop for 16 hours in the presence of food",My14(male)/tra-2 (q122) L1 larvae RNAseq biological replicate 1,Model organism or animal,,
SRR8295893,2261902,65036605,28,44,SRX5110380,ESC_2018_LIB13,OTHER,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP172974,PRJNA509065,1,"",SRS4119565,SAMN10536289,simple,6239,Caenorhabditis elegans,wild-type Ribo-seq  biological replicate 2,STANFORD UNIVERSITY,SRA820584,12,2018,Makar,"","",PD1074,L1 larva,hermaphrodite,whole organism,N2,"160C, bleached eggs were allowed to develop for 16 hours in the presence of food",wild-type Ribo-seq biological replicate 2,Model organism or animal,,
SRR8295892,1412980,38213894,27,44,SRX5110381,ESC_2018_LIB12,OTHER,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP172974,PRJNA509065,1,"",SRS4121013,SAMN10536288,simple,6239,Caenorhabditis elegans,wild-type Ribo-seq  biological replicate 1,STANFORD UNIVERSITY,SRA820584,12,2018,Makar,"","",PD1074,L1 larva,hermaphrodite,whole organism,N2,"160C, bleached eggs were allowed to develop for 16 hours in the presence of food",wild-type Ribo-seq biological replicate 1,Model organism or animal,,
SRR8295891,331913,9169632,27,6,SRX5110382,ESC_2018_LIB11,OTHER,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP172974,PRJNA509065,1,"",SRS4121014,SAMN10536287,simple,6239,Caenorhabditis elegans,rpl-5(0) larvae Ribo-seq,STANFORD UNIVERSITY,SRA820584,12,2018,Makar,"","",PD5998,L1 larva,hermaphrodite,whole organism,rpl-5(0),"160C, bleached eggs were allowed to develop for 16 hours in the presence of food",rpl-5(0) larvae Ribo-seq,Model organism or animal,,
