Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sample type,cell line,tissue,GEO Accession
SRR6904845,53306021,4424399743,83,1621,SRX3853517,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097645,SAMN08801822,simple,9606,Homo sapiens,GSM3069536,GEO,SRA672251,04,2019,Zhang,cell,HEK293T-eIF4E-PARCLIP1 (dataset 1),cell,cell culture,,,GSM3069536
SRR6904846,40789411,3385521113,83,1247,SRX3853518,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097646,SAMN08801821,simple,9606,Homo sapiens,GSM3069537,GEO,SRA672251,04,2019,Zhang,cell,HEK293T-eIF4E-PARCLIP2 (dataset 1),cell,cell culture,,,GSM3069537
SRR6904847,53407614,4432831962,83,1561,SRX3853519,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097647,SAMN08801820,simple,9606,Homo sapiens,GSM3069538,GEO,SRA672251,04,2019,Zhang,cell,HEK293T-RNMT-PARCLIP1 (dataset 1),cell,cell culture,,,GSM3069538
SRR6904848,53050852,4403220716,83,1557,SRX3853520,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097652,SAMN08801819,simple,9606,Homo sapiens,GSM3069539,GEO,SRA672251,04,2019,Zhang,cell,HEK293T-RNMT-PARCLIP2 (dataset 1),cell,cell culture,,,GSM3069539
SRR6904849,26524128,1326206400,50,439,SRX3853521,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097648,SAMN08801835,simple,9606,Homo sapiens,GSM3069540,GEO,SRA672251,04,2019,Zhang,cell,HEK293T-METTL1-PARCLIP1 (dataset 1),cell,cell culture,,,GSM3069540
SRR6904850,27481263,1374063150,50,454,SRX3853522,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097649,SAMN08801841,simple,9606,Homo sapiens,GSM3069541,GEO,SRA672251,04,2019,Zhang,cell,HEK293T-METTL1-PARCLIP2 (dataset 1),cell,cell culture,,,GSM3069541
SRR6904851,41972274,2098613700,50,680,SRX3853523,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097650,SAMN08801842,simple,9606,Homo sapiens,GSM3069542,GEO,SRA672251,04,2019,Zhang,cell,HEK293T-WDR4-PARCLIP1 (dataset 1),cell,cell culture,,,GSM3069542
SRR6904852,36578288,1828914400,50,591,SRX3853524,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097651,SAMN08801845,simple,9606,Homo sapiens,GSM3069543,GEO,SRA672251,04,2019,Zhang,cell,HEK293T-WDR4-PARCLIP2 (dataset 1),cell,cell culture,,,GSM3069543
SRR6904853,25340841,1267042050,50,426,SRX3853525,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097653,SAMN08801844,simple,9606,Homo sapiens,GSM3069544,GEO,SRA672251,04,2019,Zhang,cell,HeLa-METTL1-PARCLIP1 (dataset 1),cell,cell culture,,,GSM3069544
SRR6904854,21651746,1082587300,50,364,SRX3853526,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097654,SAMN08801843,simple,9606,Homo sapiens,GSM3069545,GEO,SRA672251,04,2019,Zhang,cell,HeLa-METTL1-PARCLIP2 (dataset 1),cell,cell culture,,,GSM3069545
SRR6904855,31519139,1575956950,50,492,SRX3853527,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097656,SAMN08801840,simple,9606,Homo sapiens,GSM3069546,GEO,SRA672251,04,2019,Zhang,cell,HeLa-WDR4-PARCLIP1 (dataset 1),cell,cell culture,,,GSM3069546
SRR6904856,33058431,1652921550,50,516,SRX3853528,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097655,SAMN08801839,simple,9606,Homo sapiens,GSM3069547,GEO,SRA672251,04,2019,Zhang,cell,HeLa-WDR4-PARCLIP2 (dataset 1),cell,cell culture,,,GSM3069547
SRR6904857,43531926,2176596300,50,697,SRX3853529,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097657,SAMN08801838,simple,9606,Homo sapiens,GSM3069548,GEO,SRA672251,04,2019,Zhang,cell,Ribo_seq-siControl-input1 (dataset 2),cell,cell culture,,,GSM3069548
SRR6904858,54385341,2719267050,50,871,SRX3853530,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097658,SAMN08801837,simple,9606,Homo sapiens,GSM3069549,GEO,SRA672251,04,2019,Zhang,cell,Ribo_seq-siControl-input2 (dataset 2),cell,cell culture,,,GSM3069549
SRR6904859,69861852,3493092600,50,1118,SRX3853531,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097659,SAMN08801836,simple,9606,Homo sapiens,GSM3069550,GEO,SRA672251,04,2019,Zhang,cell,Ribo_seq-siMETTL1-input1 (dataset 2),cell,cell culture,,,GSM3069550
SRR6904860,52079353,2603967650,50,835,SRX3853532,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097660,SAMN08801850,simple,9606,Homo sapiens,GSM3069551,GEO,SRA672251,04,2019,Zhang,cell,Ribo_seq-siMETTL1-input2 (dataset 2),cell,cell culture,,,GSM3069551
SRR6904861,38398557,1919927850,50,565,SRX3853533,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097661,SAMN08801849,simple,9606,Homo sapiens,GSM3069552,GEO,SRA672251,04,2019,Zhang,cell,Ribo_seq-siControl-riboBound1 (dataset 2),cell,cell culture,,,GSM3069552
SRR6904862,58788671,2939433550,50,860,SRX3853534,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097663,SAMN08801848,simple,9606,Homo sapiens,GSM3069553,GEO,SRA672251,04,2019,Zhang,cell,Ribo_seq-siControl-riboBound2 (dataset 2),cell,cell culture,,,GSM3069553
SRR6904863,51602200,2580110000,50,739,SRX3853535,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097662,SAMN08801847,simple,9606,Homo sapiens,GSM3069554,GEO,SRA672251,04,2019,Zhang,cell,Ribo_seq-siMETTL1-riboBound1 (dataset 2),cell,cell culture,,,GSM3069554
SRR6904864,48986363,2449318150,50,700,SRX3853536,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136352,PRJNA445453,31031084,"",SRS3097664,SAMN08801846,simple,9606,Homo sapiens,GSM3069555,GEO,SRA672251,04,2019,Zhang,cell,Ribo_seq-siMETTL1-riboBound2 (dataset 2),cell,cell culture,,,GSM3069555
SRR8113920,112782285,4785354006,42,2127,SRX4940286,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136352,PRJNA445453,31031084,"",SRS3984080,SAMN10320318,simple,9606,Homo sapiens,GSM3447822,GEO,SRA672251,04,2019,Zhang,mRNA-HeLa-input-rep1,mRNA-HeLa-input-rep1 (dataset 3),mRNA-HeLa-input-rep1,,HeLa,,GSM3447822
SRR8113921,106547491,4492613062,42,1991,SRX4940287,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136352,PRJNA445453,31031084,"",SRS3984081,SAMN10320317,simple,9606,Homo sapiens,GSM3447823,GEO,SRA672251,04,2019,Zhang,mRNA-HeLa-input-rep2,mRNA-HeLa-input-rep2 (dataset 3),mRNA-HeLa-input-rep2,,HeLa,,GSM3447823
SRR8113922,101718743,4345436744,42,1928,SRX4940288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136352,PRJNA445453,31031084,"",SRS3984082,SAMN10320316,simple,9606,Homo sapiens,GSM3447824,GEO,SRA672251,04,2019,Zhang,mRNA-HepG2-input-rep1,mRNA-HepG2-input-rep1 (dataset 3),mRNA-HepG2-input-rep1,,HepG2,,GSM3447824
