Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,cell_type,sample_type,treatment,time point,replicate,BioSampleModel
SRR7451201,36225710,2898056800,40,583,SRX4321687,D17-5061,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484154,SAMN09516458,simple,9606,Homo sapiens,ME60-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_EGF_60_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,EGF,60 min,Rep 2,Human
SRR7451200,33835456,2706836480,40,541,SRX4321688,D17-5062,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484155,SAMN09516459,simple,9606,Homo sapiens,ME90-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_EGF_90_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,EGF,90 min,Rep 2,Human
SRR7451199,31305132,2504410560,40,502,SRX4321689,D17-5059,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484156,SAMN09516456,simple,9606,Homo sapiens,MP90-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_PBS_90_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,PBS,90 min,Rep 2,Human
SRR7451198,34207261,2736580880,40,553,SRX4321690,D17-5060,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484157,SAMN09516457,simple,9606,Homo sapiens,ME30-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_EGF_30_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,EGF,30 min,Rep 2,Human
SRR7451197,85268977,4263448850,50,1452,SRX4321691,D17-4826,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484158,SAMN09516443,simple,9606,Homo sapiens,RP60-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_PBS_60_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,PBS,60 min,Rep 2,Human
SRR7451196,80332903,4016645150,50,1374,SRX4321692,D17-4825,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484159,SAMN09516442,simple,9606,Homo sapiens,RP30-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_PBS_30_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,PBS,30 min,Rep 2,Human
SRR7451195,77213773,3860688650,50,1376,SRX4321693,D17-4824,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484160,SAMN09516441,simple,9606,Homo sapiens,RE90-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_EGF_90_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,EGF,90 min,Rep 1,Human
SRR7451194,67740044,3387002200,50,1218,SRX4321694,D17-4823,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484161,SAMN09516440,simple,9606,Homo sapiens,RE60-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_EGF_60_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,EGF,60 min,Rep 1,Human
SRR7451193,67580663,3379033150,50,1199,SRX4321695,D17-4822,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484162,SAMN09516439,simple,9606,Homo sapiens,RE30-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_EGF_30_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,EGF,30 min,Rep 1,Human
SRR7451192,72088070,3604403500,50,1279,SRX4321696,D17-4821,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484163,SAMN09516438,simple,9606,Homo sapiens,RP90-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_PBS_90_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,PBS,90 min,Rep 1,Human
