Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,subject status,subject id,tissue type,molecule subtype,GEO Accession
SRR6939924,10078984,300789045,29,290,SRX3884275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123547,SAMN08864564,simple,9606,Homo sapiens,GSM3081736,GEO,SRA681490,06,2019,Zou,normal_RPF,LC001_normal_RPF,normal_RPF,HCC patient,LC001,adjacent normal liver tissue,ribosome-protected mRNA fragment (RPF),GSM3081736
SRR6939925,23726967,770598594,32,629,SRX3884276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123548,SAMN08864563,simple,9606,Homo sapiens,GSM3081737,GEO,SRA681490,06,2019,Zou,normal_totalRNA,LC001_normal_totalRNA,normal_totalRNA,HCC patient,LC001,adjacent normal liver tissue,"rRNA-depleted, fragmented total RNA",GSM3081737
SRR6939926,22052489,667259883,30,486,SRX3884277,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123549,SAMN08864588,simple,9606,Homo sapiens,GSM3081738,GEO,SRA681490,06,2019,Zou,tumor_RPF,LC001_tumor_RPF,tumor_RPF,HCC patient,LC001,liver tumor,ribosome-protected mRNA fragment (RPF),GSM3081738
SRR6939927,32471651,1123323876,34,756,SRX3884278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123551,SAMN08864587,simple,9606,Homo sapiens,GSM3081739,GEO,SRA681490,06,2019,Zou,tumor_totalRNA,LC001_tumor_totalRNA,tumor_totalRNA,HCC patient,LC001,liver tumor,"rRNA-depleted, fragmented total RNA",GSM3081739
SRR6939928,23673033,736379952,31,498,SRX3884280,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123552,SAMN08864586,simple,9606,Homo sapiens,GSM3081740,GEO,SRA681490,06,2019,Zou,normal_RPF,LC033_normal_RPF,normal_RPF,HCC patient,LC033,adjacent normal liver tissue,ribosome-protected mRNA fragment (RPF),GSM3081740
SRR6939929,31608993,852194183,26,623,SRX3884281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123553,SAMN08864585,simple,9606,Homo sapiens,GSM3081741,GEO,SRA681490,06,2019,Zou,normal_totalRNA,LC033_normal_totalRNA,normal_totalRNA,HCC patient,LC033,adjacent normal liver tissue,"rRNA-depleted, fragmented total RNA",GSM3081741
SRR6939930,22844062,690644053,30,569,SRX3884282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123555,SAMN08864584,simple,9606,Homo sapiens,GSM3081742,GEO,SRA681490,06,2019,Zou,tumor_RPF,LC033_tumor_RPF,tumor_RPF,HCC patient,LC033,liver tumor,ribosome-protected mRNA fragment (RPF),GSM3081742
SRR6939931,17825800,496083842,27,488,SRX3884283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123554,SAMN08864583,simple,9606,Homo sapiens,GSM3081743,GEO,SRA681490,06,2019,Zou,tumor_totalRNA,LC033_tumor_totalRNA,tumor_totalRNA,HCC patient,LC033,liver tumor,"rRNA-depleted, fragmented total RNA",GSM3081743
SRR6939932,18431424,539037269,29,516,SRX3884284,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123557,SAMN08864582,simple,9606,Homo sapiens,GSM3081744,GEO,SRA681490,06,2019,Zou,normal_RPF,LC034_normal_RPF,normal_RPF,HCC patient,LC034,adjacent normal liver tissue,ribosome-protected mRNA fragment (RPF),GSM3081744
SRR6939933,32060852,873575429,27,758,SRX3884285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123556,SAMN08864581,simple,9606,Homo sapiens,GSM3081745,GEO,SRA681490,06,2019,Zou,normal_totalRNA,LC034_normal_totalRNA,normal_totalRNA,HCC patient,LC034,adjacent normal liver tissue,"rRNA-depleted, fragmented total RNA",GSM3081745
