Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,status,ercc,treatment,time,GEO Accession
SRR5750314,54521384,11013319568,101,6826,SRX2950538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308979,SAMN07271402,simple,10090,Mus musculus,GSM2680090,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_004,adrenal gland,C57BL/6,ZFP36L2 WT,,,,GSM2680090
SRR5750315,55541707,11219424814,101,7096,SRX2950539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308980,SAMN07271401,simple,10090,Mus musculus,GSM2680091,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_005,adrenal gland,C57BL/6,ZFP36L2 WT,,,,GSM2680091
SRR5750316,42726648,8630782896,101,5562,SRX2950540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308981,SAMN07271400,simple,10090,Mus musculus,GSM2680092,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_006,adrenal gland,C57BL/6,ZFP36L2 WT,,,,GSM2680092
SRR5750317,46681272,9429616944,101,6015,SRX2950541,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308982,SAMN07271399,simple,10090,Mus musculus,GSM2680093,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_007,adrenal gland,C57BL/6,ZFP36L2 WT,,,,GSM2680093
SRR5750318,48015028,9699035656,101,6243,SRX2950542,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308983,SAMN07271398,simple,10090,Mus musculus,GSM2680094,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_008,adrenal gland,C57BL/6,ZFP36L2 WT,,,,GSM2680094
SRR5750319,48374930,9771735860,101,6061,SRX2950543,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308984,SAMN07271397,simple,10090,Mus musculus,GSM2680095,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_009,adrenal gland,C57BL/6,ZFP36L2 KO,,,,GSM2680095
SRR5750320,56619208,11437080016,101,7219,SRX2950544,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308986,SAMN07271396,simple,10090,Mus musculus,GSM2680096,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_010,adrenal gland,C57BL/6,ZFP36L2 KO,,,,GSM2680096
SRR5750321,40845326,8250755852,101,5307,SRX2950545,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308985,SAMN07271395,simple,10090,Mus musculus,GSM2680097,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_011,adrenal gland,C57BL/6,ZFP36L2 KO,,,,GSM2680097
SRR5750322,43681653,8823693906,101,5617,SRX2950546,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308987,SAMN07271394,simple,10090,Mus musculus,GSM2680098,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_012,adrenal gland,C57BL/6,ZFP36L2 KO,,,,GSM2680098
SRR5750323,44409514,8970721828,101,5781,SRX2950547,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308988,SAMN07271393,simple,10090,Mus musculus,GSM2680099,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_013,adrenal gland,C57BL/6,ZFP36L2 KO,,,,GSM2680099
SRR5750324,36658947,7405107294,101,4595,SRX2950548,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308989,SAMN07271392,simple,10090,Mus musculus,GSM2680100,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_014,adrenal gland,C57BL/6,ZFP36L2 WT,y,,,GSM2680100
SRR5750325,36087358,7289646316,101,4630,SRX2950549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308990,SAMN07271391,simple,10090,Mus musculus,GSM2680101,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_015,adrenal gland,C57BL/6,ZFP36L2 WT,y,,,GSM2680101
SRR5750326,69303264,13999259328,101,8966,SRX2950550,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308991,SAMN07271390,simple,10090,Mus musculus,GSM2680102,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_016,adrenal gland,C57BL/6,ZFP36L2 WT,y,,,GSM2680102
SRR5750327,52435982,10592068364,101,6724,SRX2950551,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308992,SAMN07271389,simple,10090,Mus musculus,GSM2680103,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_017,adrenal gland,C57BL/6,ZFP36L2 WT,y,,,GSM2680103
SRR5750328,60778418,12277240436,101,7854,SRX2950552,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308993,SAMN07271388,simple,10090,Mus musculus,GSM2680104,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_018,adrenal gland,C57BL/6,ZFP36L2 WT,y,,,GSM2680104
SRR5750329,42192689,8522923178,101,5277,SRX2950553,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308994,SAMN07271387,simple,10090,Mus musculus,GSM2680105,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_019,adrenal gland,C57BL/6,ZFP36L2 KO,y,,,GSM2680105
SRR5750330,40177629,8115881058,101,5158,SRX2950554,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308995,SAMN07271386,simple,10090,Mus musculus,GSM2680106,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_020,adrenal gland,C57BL/6,ZFP36L2 KO,y,,,GSM2680106
SRR5750331,39294372,7937463144,101,5097,SRX2950555,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308996,SAMN07271385,simple,10090,Mus musculus,GSM2680107,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_021,adrenal gland,C57BL/6,ZFP36L2 KO,y,,,GSM2680107
SRR5750332,45020879,9094217558,101,5774,SRX2950556,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308997,SAMN07271384,simple,10090,Mus musculus,GSM2680108,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_022,adrenal gland,C57BL/6,ZFP36L2 KO,y,,,GSM2680108
