Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,GEO Accession
SRR13769790,39875390,1993769500,50,638,SRX10155901,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307852,SAMN18037350,simple,10090,Mus musculus,GSM5101920,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_DMSO 2hrs,N2a ctrl vehicle RNA-seq rep1,Neuro-2a_WT_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,WT,DMSO 2hrs,GSM5101920
SRR13769791,32691660,1634583000,50,523,SRX10155902,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307853,SAMN18037349,simple,10090,Mus musculus,GSM5101921,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_DMSO 2hrs,N2a ctrl vehicle RNA-seq rep2,Neuro-2a_WT_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,WT,DMSO 2hrs,GSM5101921
SRR13769792,28781538,1439076900,50,457,SRX10155903,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307854,SAMN18037348,simple,10090,Mus musculus,GSM5101922,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_DMSO 2hrs,N2a ctrl vehicle RNA-seq rep3,Neuro-2a_WT_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,WT,DMSO 2hrs,GSM5101922
SRR13769793,35387304,1769365200,50,567,SRX10155904,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307855,SAMN18037347,simple,10090,Mus musculus,GSM5101923,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_Torin1 2hrs,N2a ctrl Torin1 RNA-seq rep1,Neuro-2a_WT_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,WT,Torin1 2hrs,GSM5101923
SRR13769794,34623985,1731199250,50,553,SRX10155905,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307856,SAMN18037346,simple,10090,Mus musculus,GSM5101924,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_Torin1 2hrs,N2a ctrl Torin1 RNA-seq rep2,Neuro-2a_WT_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,WT,Torin1 2hrs,GSM5101924
SRR13769795,25087072,1254353600,50,404,SRX10155906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307857,SAMN18037345,simple,10090,Mus musculus,GSM5101925,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_Torin1 2hrs,N2a ctrl Torin1 RNA-seq rep3,Neuro-2a_WT_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,WT,Torin1 2hrs,GSM5101925
SRR13769796,31226143,1561307150,50,500,SRX10155907,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307858,SAMN18037344,simple,10090,Mus musculus,GSM5101926,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_DMSO 2hrs,N2a KO vehicle RNA-seq rep1,Neuro-2a_eIF4E3 KO_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,DMSO 2hrs,GSM5101926
SRR13769797,26859645,1342982250,50,431,SRX10155908,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307859,SAMN18037343,simple,10090,Mus musculus,GSM5101927,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_DMSO 2hrs,N2a KO vehicle RNA-seq rep2,Neuro-2a_eIF4E3 KO_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,DMSO 2hrs,GSM5101927
SRR13769798,36448339,1822416950,50,590,SRX10155909,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307860,SAMN18037342,simple,10090,Mus musculus,GSM5101928,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_DMSO 2hrs,N2a KO vehicle RNA-seq rep3,Neuro-2a_eIF4E3 KO_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,DMSO 2hrs,GSM5101928
SRR13769799,38966128,1948306400,50,623,SRX10155910,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307861,SAMN18037341,simple,10090,Mus musculus,GSM5101929,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_Torin1 2hrs,N2a KO Torin1 RNA-seq rep1,Neuro-2a_eIF4E3 KO_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,Torin1 2hrs,GSM5101929
