Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line background,microrna-inducible cell line,time,micrornainduction,libraryprepmethod,GEO Accession
SRR9730122,7884628,315385120,40,114,SRX6487381,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136333,SAMN12337958,simple,10090,Mus musculus,GSM3962834,GEO,SRA924646,01,2020,Eisen,3T3,actD_0hr_eluate,3T3,3T3,miR-1,0h,FALSE,RNA prepared with NEXT-flex kit,GSM3962834
SRR9730123,23272255,6981676500,50,3325,SRX6487382,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136332,SAMN12337988,simple,10090,Mus musculus,GSM3962835,GEO,SRA924646,01,2020,Eisen,3T3,PAL-seq_actD_0hr_eluate_PAL_read1,3T3,3T3,miR-1,0h,FALSE,PAL-seq,GSM3962835
SRR9730124,22270233,1113511650,50,743,SRX6487383,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136334,SAMN12337987,simple,10090,Mus musculus,GSM3962836,GEO,SRA924646,01,2020,Eisen,3T3,actD_0hr_input,3T3,3T3,miR-1,0h,FALSE,RNA prepared with NEXT-flex kit,GSM3962836
SRR9730125,7860569,2358170700,50,1085,SRX6487384,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136335,SAMN12337986,simple,10090,Mus musculus,GSM3962837,GEO,SRA924646,01,2020,Eisen,3T3,actD_0hr_input_PAL_read1,3T3,3T3,miR-1,0h,FALSE,PAL-seq,GSM3962837
SRR9730126,14539925,581597000,40,210,SRX6487385,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136336,SAMN12337985,simple,10090,Mus musculus,GSM3962838,GEO,SRA924646,01,2020,Eisen,3T3,actD_15hr_eluate,3T3,3T3,miR-1,15h,FALSE,RNA prepared with NEXT-flex kit,GSM3962838
SRR9730127,7672429,2301728700,50,1014,SRX6487386,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136337,SAMN12337984,simple,10090,Mus musculus,GSM3962839,GEO,SRA924646,01,2020,Eisen,3T3,actD_15hr_eluate_PAL_read1,3T3,3T3,miR-1,15h,FALSE,PAL-seq,GSM3962839
SRR9730128,21851915,1092595750,50,731,SRX6487387,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136338,SAMN12337983,simple,10090,Mus musculus,GSM3962840,GEO,SRA924646,01,2020,Eisen,3T3,actD_15hr_input,3T3,3T3,miR-1,15h,FALSE,RNA prepared with NEXT-flex kit,GSM3962840
SRR9730129,3503846,1051153800,50,481,SRX6487388,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136339,SAMN12337982,simple,10090,Mus musculus,GSM3962841,GEO,SRA924646,01,2020,Eisen,3T3,actD_15hr_input_PAL_read1,3T3,3T3,miR-1,15h,FALSE,PAL-seq,GSM3962841
SRR9730186,8011005,320440200,40,118,SRX6487389,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136340,SAMN12337656,simple,10090,Mus musculus,GSM3962898,GEO,SRA924646,01,2020,Eisen,3T3,miR155_40minInducedRNA,3T3,3T3,miR-155,40min,TRUE,RNAseq matched to RPF,GSM3962898
SRR9730187,158035420,6321416800,40,2809,SRX6487390,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136341,SAMN12337655,simple,10090,Mus musculus,GSM3962899,GEO,SRA924646,01,2020,Eisen,3T3,miR155_40minInducedRPF,3T3,3T3,miR-155,40min,TRUE,RPF,GSM3962899
