Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,library type,GEO Accession
SRR16999833,5086889,638729686,125,299,SRX13190091,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118465,SAMN23382952,simple,4932,Saccharomyces cerevisiae,GSM5698679,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"wild-type RNA-seq, young, replicate 1",Whole cells,wild-type (MEP strain UCC8773),young,RNA-seq,GSM5698679
SRR16999834,7459750,937404199,125,449,SRX13190092,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118466,SAMN23382953,simple,4932,Saccharomyces cerevisiae,GSM5698680,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"wild-type RNA-seq, young, replicate 2",Whole cells,wild-type (MEP strain UCC8773),young,RNA-seq,GSM5698680
SRR16999835,6242870,784836783,125,367,SRX13190093,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118467,SAMN23382954,simple,4932,Saccharomyces cerevisiae,GSM5698681,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"wild-type RNA-seq, old, replicate 1",Whole cells,wild-type (MEP strain UCC8773),old,RNA-seq,GSM5698681
SRR16999836,4803889,603415643,125,331,SRX13190094,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118468,SAMN23382955,simple,4932,Saccharomyces cerevisiae,GSM5698682,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"wild-type RNA-seq, old, replicate 2",Whole cells,wild-type (MEP strain UCC8773),old,RNA-seq,GSM5698682
SRR16999837,10533533,1326792674,125,662,SRX13190095,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118469,SAMN23382956,simple,4932,Saccharomyces cerevisiae,GSM5698683,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"wild-type Ribo-seq, young, replicate 1",Whole cells,wild-type (MEP strain UCC8773),young,ribosome profiling,GSM5698683
SRR16999838,10472821,1318077276,125,615,SRX13190096,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118470,SAMN23382957,simple,4932,Saccharomyces cerevisiae,GSM5698684,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"wild-type Ribo-seq, young, replicate 2",Whole cells,wild-type (MEP strain UCC8773),young,ribosome profiling,GSM5698684
SRR16999839,17917598,2255440311,125,1068,SRX13190097,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118471,SAMN23382958,simple,4932,Saccharomyces cerevisiae,GSM5698685,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"wild-type Ribo-seq, old, replicate 1",Whole cells,wild-type (MEP strain UCC8773),old,ribosome profiling,GSM5698685
SRR16999840,18878033,2376200232,125,1114,SRX13190098,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118472,SAMN23382959,simple,4932,Saccharomyces cerevisiae,GSM5698686,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"wild-type Ribo-seq, old, replicate 2",Whole cells,wild-type (MEP strain UCC8773),old,ribosome profiling,GSM5698686
SRR16999841,5269292,661816759,125,313,SRX13190099,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118473,SAMN23382960,simple,4932,Saccharomyces cerevisiae,GSM5698687,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"cth2Δ RNA-seq, young, replicate 1",Whole cells,cth2<delta> (UCC8773 derivative),young,RNA-seq,GSM5698687
SRR16999842,4847438,608797662,125,285,SRX13190100,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118474,SAMN23382961,simple,4932,Saccharomyces cerevisiae,GSM5698688,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"cth2Δ RNA-seq, young, replicate 2",Whole cells,cth2<delta> (UCC8773 derivative),young,RNA-seq,GSM5698688
SRR16999843,4400938,552956194,125,259,SRX13190101,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118475,SAMN23382962,simple,4932,Saccharomyces cerevisiae,GSM5698689,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"cth2Δ RNA-seq, old, replicate 1",Whole cells,cth2<delta> (UCC8773 derivative),old,RNA-seq,GSM5698689
SRR16999844,8279150,1042197419,125,493,SRX13190102,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118476,SAMN23382963,simple,4932,Saccharomyces cerevisiae,GSM5698690,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"cth2Δ Ribo-seq, young, replicate 1",Whole cells,cth2<delta> (UCC8773 derivative),young,ribosome profiling,GSM5698690
SRR16999845,18594215,2340403368,125,1097,SRX13190103,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118477,SAMN23382964,simple,4932,Saccharomyces cerevisiae,GSM5698691,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"cth2Δ Ribo-seq, young, replicate 2",Whole cells,cth2<delta> (UCC8773 derivative),young,ribosome profiling,GSM5698691
SRR16999846,10325617,1299852905,125,618,SRX13190104,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118478,SAMN23382965,simple,4932,Saccharomyces cerevisiae,GSM5698692,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"cth2Δ Ribo-seq, old, replicate 1",Whole cells,cth2<delta> (UCC8773 derivative),old,ribosome profiling,GSM5698692
SRR16999847,11914040,1499538351,125,702,SRX13190105,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP347195,PRJNA782500,35858543,"",SRS11118479,SAMN23382966,simple,4932,Saccharomyces cerevisiae,GSM5698693,GEO,SRA1332763,07,2022,Patnaik,Whole cells,"cth2Δ Ribo-seq, old, replicate 2",Whole cells,cth2<delta> (UCC8773 derivative),old,ribosome profiling,GSM5698693
