Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,strain,GEO Accession
SRR10072555,43892604,1268861568,28,607,SRX6806071,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350388,SAMN12700078,simple,9606,Homo sapiens,GSM4062072,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_plus_plus_1,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,"Pre-treated with CHX, lyzed in buffer containing CHX",,GSM4062072
SRR10072556,50223116,1448760898,28,699,SRX6806072,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350389,SAMN12700077,simple,9606,Homo sapiens,GSM4062073,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_plus_plus_2,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,"Pre-treated with CHX, lyzed in buffer containing CHX",,GSM4062073
SRR10072557,62345288,1690907635,27,773,SRX6806073,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350390,SAMN12700076,simple,9606,Homo sapiens,GSM4062074,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_plus_plus_3,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,"Pre-treated with CHX, lyzed in buffer containing CHX",,GSM4062074
SRR10072558,55302254,1561044558,28,758,SRX6806074,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350391,SAMN12700075,simple,9606,Homo sapiens,GSM4062075,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_minus_plus_1,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,"Not pre-treated with CHX, lyzed in buffer containing CHX",,GSM4062075
SRR10072559,45859288,1346594738,29,611,SRX6806075,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350392,SAMN12700074,simple,9606,Homo sapiens,GSM4062076,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_minus_plus_2,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,"Not pre-treated with CHX, lyzed in buffer containing CHX",,GSM4062076
SRR10072560,40432415,1174970331,29,510,SRX6806076,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350393,SAMN12700073,simple,9606,Homo sapiens,GSM4062077,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_minus_plus_3,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,"Not pre-treated with CHX, lyzed in buffer containing CHX",,GSM4062077
SRR10072561,52718015,1544312058,29,700,SRX6806077,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350394,SAMN12700072,simple,9606,Homo sapiens,GSM4062078,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_minus_minus_1,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,"Not pre-treated with CHX, not lyzed in buffer containing CHX",,GSM4062078
SRR10072562,54761766,1563185405,28,753,SRX6806078,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350395,SAMN12700071,simple,9606,Homo sapiens,GSM4062079,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_minus_minus_2,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,"Not pre-treated with CHX, not lyzed in buffer containing CHX",,GSM4062079
SRR10072563,51828911,1513523294,29,727,SRX6806079,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350396,SAMN12700070,simple,9606,Homo sapiens,GSM4062080,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_minus_minus_3,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,"Not pre-treated with CHX, not lyzed in buffer containing CHX",,GSM4062080
SRR10072564,7486254,203857799,27,127,SRX6806080,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350397,SAMN12700069,simple,9606,Homo sapiens,GSM4062081,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_2min_100ugCHX,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,2min 100ug CHX,,GSM4062081
