Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR21803836,22849174,1165307874,51,336,SRX17797434,GSM6616245,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP401018,PRJNA887109,37636056,"",SRS15322895,SAMN31155140,simple,10090,Mus musculus,GSM6616245,NIEHS,SRA1513647,08,2023,Baptissart,P19,D0_1_RNA,P19,P19,Embryonal carcinoma,WT,Undifferentiated,missing,missing
SRR21803835,17574959,896322909,51,263,SRX17797435,GSM6616246,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP401018,PRJNA887109,37636056,"",SRS15322896,SAMN31155139,simple,10090,Mus musculus,GSM6616246,NIEHS,SRA1513647,08,2023,Baptissart,P19,D0_2_RNA,P19,P19,Embryonal carcinoma,WT,Undifferentiated,missing,missing
SRR21803834,14693510,749369010,51,216,SRX17797436,GSM6616247,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP401018,PRJNA887109,37636056,"",SRS15322897,SAMN31155138,simple,10090,Mus musculus,GSM6616247,NIEHS,SRA1513647,08,2023,Baptissart,P19,D6_1_RNA,P19,P19,Embryonal carcinoma,WT,Neuronal differentiation,missing,missing
SRR21803833,14768615,753199365,51,219,SRX17797437,GSM6616248,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP401018,PRJNA887109,37636056,"",SRS15322898,SAMN31155137,simple,10090,Mus musculus,GSM6616248,NIEHS,SRA1513647,08,2023,Baptissart,P19,D6_2_RNA,P19,P19,Embryonal carcinoma,WT,Neuronal differentiation,missing,missing
SRR21803832,20619568,1051597968,51,306,SRX17797438,GSM6616249,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP401018,PRJNA887109,37636056,"",SRS15322899,SAMN31155136,simple,10090,Mus musculus,GSM6616249,NIEHS,SRA1513647,08,2023,Baptissart,P19,D0_3_RNA,P19,P19,Embryonal carcinoma,WT,Undifferentiated,missing,missing
SRR21803831,19724103,1005929253,51,291,SRX17797439,GSM6616250,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP401018,PRJNA887109,37636056,"",SRS15322900,SAMN31155135,simple,10090,Mus musculus,GSM6616250,NIEHS,SRA1513647,08,2023,Baptissart,P19,D0_4_RNA,P19,P19,Embryonal carcinoma,WT,Undifferentiated,missing,missing
SRR21803830,18690143,953197293,51,279,SRX17797440,GSM6616251,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP401018,PRJNA887109,37636056,"",SRS15322901,SAMN31155134,simple,10090,Mus musculus,GSM6616251,NIEHS,SRA1513647,08,2023,Baptissart,P19,D6_3_RNA,P19,P19,Embryonal carcinoma,WT,Neuronal differentiation,missing,missing
SRR21803829,18688752,953126352,51,274,SRX17797441,GSM6616252,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP401018,PRJNA887109,37636056,"",SRS15322902,SAMN31155133,simple,10090,Mus musculus,GSM6616252,NIEHS,SRA1513647,08,2023,Baptissart,P19,D6_4_RNA,P19,P19,Embryonal carcinoma,WT,Neuronal differentiation,missing,missing
SRR21803828,24401808,1244492208,51,482,SRX17797442,GSM6616253,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP401018,PRJNA887109,37636056,"",SRS15322903,SAMN31155132,simple,10090,Mus musculus,GSM6616253,NIEHS,SRA1513647,08,2023,Baptissart,P19,D0_1_RPF,P19,P19,Embryonal carcinoma,WT,Undifferentiated,missing,missing
SRR21803827,37460009,1910460459,51,726,SRX17797443,GSM6616254,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP401018,PRJNA887109,37636056,"",SRS15322904,SAMN31155131,simple,10090,Mus musculus,GSM6616254,NIEHS,SRA1513647,08,2023,Baptissart,P19,D0_2_RPF,P19,P19,Embryonal carcinoma,WT,Undifferentiated,missing,missing
