Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cycloheximide,time point,sample type,GEO Accession
SRR931814,25957798,1105612389,42,752,SRX320143,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027015,PRJNA211752,24171104,"",SRS456533,SAMN02231207,simple,9606,Homo sapiens,GSM1184591,GEO,SRA092789,07,2015,Wiita,MM1.S myeloma cell line,0h_MM1S_untreated_polyA_mRNA,MM1.S myeloma cell line,none,0h (untreated),poly(A) mRNA,GSM1184591
SRR931815,93826407,2844048300,30,2053,SRX320144,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027015,PRJNA211752,24171104,"",SRS456534,SAMN02231209,simple,9606,Homo sapiens,GSM1184592,GEO,SRA092789,10,2013,Wiita,MM1.S myeloma cell line,0h_MM1S_untreated_ribosome_footprint,MM1.S myeloma cell line,0.1 mg/mL cycloheximide,0h (untreated),ribosome footprint,GSM1184592
SRR931816,29708117,1334802654,44,796,SRX320145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027015,PRJNA211752,24171104,"",SRS456535,SAMN02231208,simple,9606,Homo sapiens,GSM1184593,GEO,SRA092789,07,2015,Wiita,MM1.S myeloma cell line,1.5h_MM1S_20nM_bortezomib_polyA_mRNA,MM1.S myeloma cell line,none,1.5h,poly(A) mRNA,GSM1184593
SRR931817,127399109,3780789479,29,2724,SRX320146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027015,PRJNA211752,24171104,"",SRS456536,SAMN02231210,simple,9606,Homo sapiens,GSM1184594,GEO,SRA092789,10,2013,Wiita,MM1.S myeloma cell line,1.5h_MM1S_20nM_bortezomib_ribosome_footprint,MM1.S myeloma cell line,0.1 mg/mL cycloheximide,1.5h,ribosome footprint,GSM1184594
SRR931818,30793989,1391674842,45,830,SRX320147,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027015,PRJNA211752,24171104,"",SRS456537,SAMN02231212,simple,9606,Homo sapiens,GSM1184595,GEO,SRA092789,07,2015,Wiita,MM1.S myeloma cell line,3h_MM1S_20nM_bortezomib_polyA_mRNA,MM1.S myeloma cell line,none,3h,poly(A) mRNA,GSM1184595
SRR931819,67026629,2062154899,30,1415,SRX320148,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027015,PRJNA211752,24171104,"",SRS456538,SAMN02231211,simple,9606,Homo sapiens,GSM1184596,GEO,SRA092789,10,2013,Wiita,MM1.S myeloma cell line,3h_MM1S_20nM_bortezomib_ribosome_footprint,MM1.S myeloma cell line,0.1 mg/mL cycloheximide,3h,ribosome footprint,GSM1184596
SRR931820,30838305,1400871108,45,827,SRX320149,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027015,PRJNA211752,24171104,"",SRS456539,SAMN02231214,simple,9606,Homo sapiens,GSM1184597,GEO,SRA092789,07,2015,Wiita,MM1.S myeloma cell line,6h_MM1S_20nM_bortezomib_polyA_mRNA,MM1.S myeloma cell line,none,6h,poly(A) mRNA,GSM1184597
SRR931821,90077819,2894172979,32,2042,SRX320150,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027015,PRJNA211752,24171104,"",SRS456540,SAMN02231216,simple,9606,Homo sapiens,GSM1184598,GEO,SRA092789,10,2013,Wiita,MM1.S myeloma cell line,6h_MM1S_20nM_bortezomib_ribosome_footprint,MM1.S myeloma cell line,0.1 mg/mL cycloheximide,6h,ribosome footprint,GSM1184598
SRR931822,21612006,989365541,45,640,SRX320151,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027015,PRJNA211752,24171104,"",SRS456541,SAMN02231215,simple,9606,Homo sapiens,GSM1184599,GEO,SRA092789,07,2015,Wiita,MM1.S myeloma cell line,9h_MM1S_20nM_bortezomib_polyA_mRNA,MM1.S myeloma cell line,none,9h,poly(A) mRNA,GSM1184599
SRR931823,93512729,3007628087,32,2010,SRX320152,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027015,PRJNA211752,24171104,"",SRS456542,SAMN02231219,simple,9606,Homo sapiens,GSM1184600,GEO,SRA092789,10,2013,Wiita,MM1.S myeloma cell line,9h_MM1S_20nM_bortezomib_ribosome_footprint,MM1.S myeloma cell line,0.1 mg/mL cycloheximide,9h,ribosome footprint,GSM1184600
