Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,treatment,GEO Accession
SRR15906252,19406417,2910962550,150,1090,SRX12196691,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP337255,PRJNA763584,35482917,"",SRS10173116,SAMN21443843,simple,6239,Caenorhabditis elegans,GSM5580277,GEO,SRA1295096,03,2022,Wu,larvae,Non-starved WT rep1 Ribo-Seq,larvae,N2,wide-type,non-starved,GSM5580277
SRR15906253,19467837,2920175550,150,1091,SRX12196692,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP337255,PRJNA763584,35482917,"",SRS10173115,SAMN21443844,simple,6239,Caenorhabditis elegans,GSM5580278,GEO,SRA1295096,03,2022,Wu,larvae,Non-starved WT rep2 Ribo-Seq,larvae,N2,wide-type,non-starved,GSM5580278
SRR15906254,4409347,661402050,150,252,SRX12196693,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP337255,PRJNA763584,35482917,"",SRS10173118,SAMN21443845,simple,6239,Caenorhabditis elegans,GSM5580279,GEO,SRA1295096,03,2022,Wu,larvae,Starved WT rep1 Ribo-Seq,larvae,N2,wide-type,starved for 6 days,GSM5580279
SRR15906255,34886447,5232967050,150,1964,SRX12196694,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP337255,PRJNA763584,35482917,"",SRS10173117,SAMN21443846,simple,6239,Caenorhabditis elegans,GSM5580280,GEO,SRA1295096,03,2022,Wu,larvae,Starved WT rep2 Ribo-Seq,larvae,N2,wide-type,starved for 6 days,GSM5580280
SRR15906256,29678543,4451781450,150,1752,SRX12196695,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP337255,PRJNA763584,35482917,"",SRS10173119,SAMN21443847,simple,6239,Caenorhabditis elegans,GSM5580281,GEO,SRA1295096,03,2022,Wu,larvae,Refed 10 min WT rep1 Ribo-Seq,larvae,N2,wide-type,starved for 6 days and refed with food for 10 min,GSM5580281
SRR15906257,20724491,3108673650,150,1199,SRX12196696,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP337255,PRJNA763584,35482917,"",SRS10173120,SAMN21443848,simple,6239,Caenorhabditis elegans,GSM5580282,GEO,SRA1295096,03,2022,Wu,larvae,Refed 10 min WT rep2 Ribo-Seq,larvae,N2,wide-type,starved for 6 days and refed with food for 10 min,GSM5580282
SRR15906258,21911532,3286729800,150,1309,SRX12196697,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP337255,PRJNA763584,35482917,"",SRS10173121,SAMN21443849,simple,6239,Caenorhabditis elegans,GSM5580283,GEO,SRA1295096,03,2022,Wu,larvae,Refed 30 min WT rep1 Ribo-Seq,larvae,N2,wide-type,starved for 6 days and refed with food for 30 min,GSM5580283
SRR15906259,22054014,3308102100,150,1317,SRX12196698,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP337255,PRJNA763584,35482917,"",SRS10173122,SAMN21443850,simple,6239,Caenorhabditis elegans,GSM5580284,GEO,SRA1295096,03,2022,Wu,larvae,Refed 30 min WT rep2 Ribo-Seq,larvae,N2,wide-type,starved for 6 days and refed with food for 30 min,GSM5580284
SRR15906260,27230580,4084587000,150,1527,SRX12196699,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP337255,PRJNA763584,35482917,"",SRS10173123,SAMN21443851,simple,6239,Caenorhabditis elegans,GSM5580285,GEO,SRA1295096,03,2022,Wu,larvae,Refed 60 min WT rep1 Ribo-Seq,larvae,N2,wide-type,starved for 6 days and refed with food for 60 min,GSM5580285
SRR15906261,12883026,1932453900,150,722,SRX12196700,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP337255,PRJNA763584,35482917,"",SRS10173124,SAMN21443822,simple,6239,Caenorhabditis elegans,GSM5580286,GEO,SRA1295096,03,2022,Wu,larvae,Refed 60 min WT rep2 Ribo-Seq,larvae,N2,wide-type,starved for 6 days and refed with food for 60 min,GSM5580286
