Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,GEO Accession
SRR6181530,22710498,1463772543,64,1134,SRX3292086,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601265,SAMN07795661,simple,9606,Homo sapiens,GSM2817677,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,iCLIP-DHX9-1,ATCC Cell Lines,HeLa,none,GSM2817677
SRR6181531,21425855,1380470354,64,1066,SRX3292086,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601265,SAMN07795661,simple,9606,Homo sapiens,GSM2817677,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,iCLIP-DHX9-1,ATCC Cell Lines,HeLa,none,GSM2817678
SRR6181532,22832800,1471270423,64,1126,SRX3292086,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601265,SAMN07795661,simple,9606,Homo sapiens,GSM2817677,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,iCLIP-DHX9-1,ATCC Cell Lines,HeLa,untreated,GSM2817679
SRR6181533,22125707,1425984781,64,1094,SRX3292086,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601265,SAMN07795661,simple,9606,Homo sapiens,GSM2817677,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,iCLIP-DHX9-1,ATCC Cell Lines,HeLa,untreated,GSM2817680
SRR6181534,25518389,1649866395,64,1261,SRX3292087,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601266,SAMN07795660,simple,9606,Homo sapiens,GSM2817678,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,iCLIP-DHX9-2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817681
SRR6181535,23294207,1505575345,64,1149,SRX3292087,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601266,SAMN07795660,simple,9606,Homo sapiens,GSM2817678,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,iCLIP-DHX9-2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817682
SRR6181536,24929425,1611456348,64,1216,SRX3292087,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601266,SAMN07795660,simple,9606,Homo sapiens,GSM2817678,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,iCLIP-DHX9-2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817683
SRR6181537,24789403,1602647363,64,1213,SRX3292087,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601266,SAMN07795660,simple,9606,Homo sapiens,GSM2817678,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,iCLIP-DHX9-2,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817684
SRR6181538,10007854,750589050,75,246,SRX3292088,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601267,SAMN07795659,simple,9606,Homo sapiens,GSM2817679,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-NT-1,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817685
SRR6181539,21838231,1637867325,75,532,SRX3292088,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601267,SAMN07795659,simple,9606,Homo sapiens,GSM2817679,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-NT-1,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817686
SRR6181540,22618870,1696415250,75,563,SRX3292089,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601268,SAMN07795658,simple,9606,Homo sapiens,GSM2817680,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-NT-2,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817687
SRR6181541,26156283,1961721225,75,644,SRX3292089,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601268,SAMN07795658,simple,9606,Homo sapiens,GSM2817680,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-NT-2,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817688
SRR6181542,21199342,1589950650,75,641,SRX3292090,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601269,SAMN07795657,simple,9606,Homo sapiens,GSM2817681,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_sc_2,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817689
SRR6181543,20204752,1515356400,75,628,SRX3292090,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601269,SAMN07795657,simple,9606,Homo sapiens,GSM2817681,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_sc_2,ATCC Cell Lines,HeLa,untreated,GSM2817690
SRR6181544,21265012,1594875900,75,636,SRX3292090,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601269,SAMN07795657,simple,9606,Homo sapiens,GSM2817681,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_sc_2,ATCC Cell Lines,HeLa,untreated,GSM2817691
SRR6181545,21572733,1617954975,75,635,SRX3292090,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601269,SAMN07795657,simple,9606,Homo sapiens,GSM2817681,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_sc_2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817692
SRR6181546,16630092,1247256900,75,452,SRX3292090,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601269,SAMN07795657,simple,9606,Homo sapiens,GSM2817681,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_sc_2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817693
SRR6181547,11776628,883247100,75,293,SRX3292091,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601270,SAMN07795656,simple,9606,Homo sapiens,GSM2817682,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-sc-3,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817694
SRR6181548,35958073,2696855475,75,889,SRX3292091,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601270,SAMN07795656,simple,9606,Homo sapiens,GSM2817682,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-sc-3,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817695
SRR6181549,20988519,1574138925,75,526,SRX3292092,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601271,SAMN07795663,simple,9606,Homo sapiens,GSM2817683,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-sc-4,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817696
