Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name,sex,strain,sub strain
ERR653356,57099282,2225739923,38,1457,ERX609906,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566273,SAMEA2813905,simple,10116,Rattus norvegicus,SAMEA2813905,MDC,ERA367853,05,2015,Makar,"",BN-01_heart_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813905,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:23Z,public,BN-01_heart_tot_trimmed,Norway rat,BN-01_heart_tot_trimmed,male,BN,BN-Lx
ERR653357,60751551,2312708457,38,1663,ERX609907,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566274,SAMEA2813906,simple,10116,Rattus norvegicus,SAMEA2813906,MDC,ERA367853,05,2015,Makar,"",BN-02_heart_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813906,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:23Z,public,BN-02_heart_tot_trimmed,Norway rat,BN-02_heart_tot_trimmed,male,BN,BN-Lx
ERR653358,91623786,3637419281,39,2591,ERX609908,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566275,SAMEA2813907,simple,10116,Rattus norvegicus,SAMEA2813907,MDC,ERA367853,05,2015,Makar,"",BN-03_heart_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813907,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:23Z,public,BN-03_heart_tot_trimmed,Norway rat,BN-03_heart_tot_trimmed,male,BN,BN-Lx
ERR653359,63601214,2485594435,39,1773,ERX609909,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566276,SAMEA2813908,simple,10116,Rattus norvegicus,SAMEA2813908,MDC,ERA367853,05,2015,Makar,"",BN-04_heart_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813908,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:23Z,public,BN-04_heart_tot_trimmed,Norway rat,BN-04_heart_tot_trimmed,male,BN,BN-Lx
ERR653360,49802427,1971364694,39,1400,ERX609910,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566277,SAMEA2813909,simple,10116,Rattus norvegicus,SAMEA2813909,MDC,ERA367853,05,2015,Makar,"",BN-05_heart_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813909,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:23Z,public,BN-05_heart_tot_trimmed,Norway rat,BN-05_heart_tot_trimmed,male,BN,BN-Lx
ERR653362,56938698,1648790410,28,1227,ERX609912,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566279,SAMEA2813911,simple,10116,Rattus norvegicus,SAMEA2813911,MDC,ERA367853,05,2015,Makar,"",BN-02_heart_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813911,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:23Z,public,BN-02_heart_rpf_trimmed,Norway rat,BN-02_heart_rpf_trimmed,male,BN,BN-Lx
ERR653363,58443014,1717740802,29,1275,ERX609913,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566280,SAMEA2813912,simple,10116,Rattus norvegicus,SAMEA2813912,MDC,ERA367853,05,2015,Makar,"",BN-03_heart_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813912,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:23Z,public,BN-03_heart_rpf_trimmed,Norway rat,BN-03_heart_rpf_trimmed,male,BN,BN-Lx
ERR653366,69610815,2681805152,38,1739,ERX609916,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566283,SAMEA2813915,simple,10116,Rattus norvegicus,SAMEA2813915,MDC,ERA367853,05,2015,Makar,"",SHR-01_heart_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813915,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:24Z,public,SHR-01_heart_tot_trimmed,Norway rat,SHR-01_heart_tot_trimmed,male,SHR,SHR/Ola
ERR653367,60979684,2377919159,39,1702,ERX609917,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566284,SAMEA2813916,simple,10116,Rattus norvegicus,SAMEA2813916,MDC,ERA367853,05,2015,Makar,"",SHR-02_heart_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813916,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:24Z,public,SHR-02_heart_tot_trimmed,Norway rat,SHR-02_heart_tot_trimmed,male,SHR,SHR/Ola
ERR653369,59423535,2231514166,37,1603,ERX609919,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566286,SAMEA2813918,simple,10116,Rattus norvegicus,SAMEA2813918,MDC,ERA367853,05,2015,Makar,"",SHR-04_heart_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813918,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:24Z,public,SHR-04_heart_tot_trimmed,Norway rat,SHR-04_heart_tot_trimmed,male,SHR,SHR/Ola
