Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,donor,infection status,molecule subtype
SRR19918553,16629293,831464650,50,419,SRX15961064,GSM6284784,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP384536,PRJNA854905,35891396,"",SRS13647406,SAMN29472424,simple,9606,Homo sapiens,GSM6284784,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1447869,07,2022,Singh,primary hNPC,A1_ribo,primary hNPC,primary hNPC,A,uninfected,Ribosome protected RNA
SRR19918554,16318344,815917200,50,410,SRX15961064,GSM6284784,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP384536,PRJNA854905,35891396,"",SRS13647406,SAMN29472424,simple,9606,Homo sapiens,GSM6284784,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1447869,07,2022,Singh,primary hNPC,A1_ribo,primary hNPC,primary hNPC,B,uninfected,Ribosome protected RNA
SRR19918555,16338112,816905600,50,414,SRX15961064,GSM6284784,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP384536,PRJNA854905,35891396,"",SRS13647406,SAMN29472424,simple,9606,Homo sapiens,GSM6284784,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1447869,07,2022,Singh,primary hNPC,A1_ribo,primary hNPC,primary hNPC,A,ZIKV infected,Ribosome protected RNA
SRR19918556,16475473,823773650,50,418,SRX15961064,GSM6284784,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP384536,PRJNA854905,35891396,"",SRS13647406,SAMN29472424,simple,9606,Homo sapiens,GSM6284784,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1447869,07,2022,Singh,primary hNPC,A1_ribo,primary hNPC,primary hNPC,B,ZIKV infected,Ribosome protected RNA
SRR19918557,16486629,824331450,50,418,SRX15961064,GSM6284784,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP384536,PRJNA854905,35891396,"",SRS13647406,SAMN29472424,simple,9606,Homo sapiens,GSM6284784,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1447869,07,2022,Singh,primary hNPC,A1_ribo,primary hNPC,primary hNPC,B,DENV infected,Ribosome protected RNA
SRR19918558,16339020,816951000,50,416,SRX15961064,GSM6284784,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP384536,PRJNA854905,35891396,"",SRS13647406,SAMN29472424,simple,9606,Homo sapiens,GSM6284784,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1447869,07,2022,Singh,primary hNPC,A1_ribo,primary hNPC,primary hNPC,A,uninfected,RNA
SRR19918559,16594031,829701550,50,420,SRX15961064,GSM6284784,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP384536,PRJNA854905,35891396,"",SRS13647406,SAMN29472424,simple,9606,Homo sapiens,GSM6284784,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1447869,07,2022,Singh,primary hNPC,A1_ribo,primary hNPC,primary hNPC,B,uninfected,RNA
SRR19918560,16507948,825397400,50,421,SRX15961064,GSM6284784,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP384536,PRJNA854905,35891396,"",SRS13647406,SAMN29472424,simple,9606,Homo sapiens,GSM6284784,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1447869,07,2022,Singh,primary hNPC,A1_ribo,primary hNPC,primary hNPC,A,ZIKV infected,RNA
SRR19918545,12681124,634056200,50,322,SRX15961065,GSM6284785,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP384536,PRJNA854905,35891396,"",SRS13647407,SAMN29472423,simple,9606,Homo sapiens,GSM6284785,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1447869,07,2022,Singh,primary hNPC,B1_ribo,primary hNPC,primary hNPC,A,DENV infected,Ribosome protected RNA
SRR19918546,12445585,622279250,50,315,SRX15961065,GSM6284785,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP384536,PRJNA854905,35891396,"",SRS13647407,SAMN29472423,simple,9606,Homo sapiens,GSM6284785,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1447869,07,2022,Singh,primary hNPC,B1_ribo,primary hNPC,primary hNPC,B,ZIKV infected,RNA
