Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,genotype,batch,treatment,age,GEO Accession
SRR13186890,25576032,5166358464,101,2334,SRX9621278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823197,SAMN16983159,simple,10090,Mus musculus,GSM4954377,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Pelo_MEF_2_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Pelo cKO,Batch 6,Tamoxifen,,GSM4954377
SRR13186891,36374123,7347572846,101,3322,SRX9621279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823198,SAMN16983158,simple,10090,Mus musculus,GSM4954378,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Upf2_MEF_1_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Upf2 cKO,Batch 6,Tamoxifen,,GSM4954378
SRR13186892,66027176,13337489552,101,6071,SRX9621280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823199,SAMN16983157,simple,10090,Mus musculus,GSM4954379,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Upf2_MEF_2_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Upf2 cKO,Batch 6,Tamoxifen,,GSM4954379
SRR13186893,55755298,11262570196,101,5141,SRX9621281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823200,SAMN16983156,simple,10090,Mus musculus,GSM4954380,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Upf2_MEF_3_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Upf2 cKO,Batch 6,Tamoxifen,,GSM4954380
SRR13186894,25745531,5200597262,101,2548,SRX9621282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823201,SAMN16983155,simple,10090,Mus musculus,GSM4954381,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_MEF_1_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 6,Tamoxifen,,GSM4954381
SRR13186895,27348346,5524365892,101,2523,SRX9621283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823202,SAMN16983154,simple,10090,Mus musculus,GSM4954382,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_MEF_2_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 6,Tamoxifen,,GSM4954382
SRR13186896,84839179,17137514158,101,7745,SRX9621284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823203,SAMN16983153,simple,10090,Mus musculus,GSM4954383,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_MEF_3_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 6,Tamoxifen,,GSM4954383
SRR13186858,129538636,9715397700,75,3141,SRX9621285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823204,SAMN16983114,simple,10090,Mus musculus,GSM4954345,GEO,SRA1166266,03,2021,Terrey,Whole embryo,Hbs1l_embryo_3_ribo,Whole embryo,C57BL/6NJ,Whole embryo,Hbs1l -/-,Batch 1,,E8.5,GSM4954345
SRR13186859,127614031,9571052325,75,3080,SRX9621286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823205,SAMN16983113,simple,10090,Mus musculus,GSM4954346,GEO,SRA1166266,03,2021,Terrey,Whole embryo,Control_embryo_1_ribo,Whole embryo,C57BL/6NJ,Whole embryo,Wildtype,Batch 1,,E8.5,GSM4954346
SRR13186860,104948823,7871161725,75,2542,SRX9621287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823206,SAMN16983112,simple,10090,Mus musculus,GSM4954347,GEO,SRA1166266,03,2021,Terrey,Whole embryo,Control_embryo_2_ribo,Whole embryo,C57BL/6NJ,Whole embryo,Wildtype,Batch 1,,E8.5,GSM4954347
SRR13186861,132618452,9946383900,75,3225,SRX9621288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823207,SAMN16983111,simple,10090,Mus musculus,GSM4954348,GEO,SRA1166266,03,2021,Terrey,Whole embryo,Control_embryo_3_ribo,Whole embryo,C57BL/6NJ,Whole embryo,Wildtype,Batch 1,,E8.5,GSM4954348
SRR13186862,186370028,18637002800,100,6619,SRX9621289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823208,SAMN16983110,simple,10090,Mus musculus,GSM4954349,GEO,SRA1166266,03,2021,Terrey,Cerebellum,Hbs1l_cerebellum_1_ribo,Cerebellum,C57BL/6J,Cerebellum,Atoh-Cre;Hbs1l cKO,Batch 2,,P14,GSM4954349
SRR13186863,154911702,15491170200,100,5518,SRX9621290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823209,SAMN16983109,simple,10090,Mus musculus,GSM4954350,GEO,SRA1166266,03,2021,Terrey,Cerebellum,Hbs1l_cerebellum_2_ribo,Cerebellum,C57BL/6J,Cerebellum,Atoh-Cre;Hbs1l cKO,Batch 2,,P14,GSM4954350
SRR13186864,199253599,19925359900,100,7002,SRX9621291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823210,SAMN16983108,simple,10090,Mus musculus,GSM4954351,GEO,SRA1166266,03,2021,Terrey,Cerebellum,Hbs1l_cerebellum_3_ribo,Cerebellum,C57BL/6J,Cerebellum,Atoh-Cre;Hbs1l cKO,Batch 2,,P14,GSM4954351
SRR13186865,155284046,15528404600,100,5466,SRX9621292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823211,SAMN16983152,simple,10090,Mus musculus,GSM4954352,GEO,SRA1166266,03,2021,Terrey,Cerebellum,Control_cerebellum_1_ribo,Cerebellum,C57BL/6J,Cerebellum,Atoh-Cre;Hbs1l +/+,Batch 2,,P14,GSM4954352
SRR13186866,216896176,21689617600,100,7657,SRX9621293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823212,SAMN16983151,simple,10090,Mus musculus,GSM4954353,GEO,SRA1166266,03,2021,Terrey,Cerebellum,Control_cerebellum_2_ribo,Cerebellum,C57BL/6J,Cerebellum,Atoh-Cre;Hbs1l +/+,Batch 2,,P14,GSM4954353
SRR13186867,216522862,21652286200,100,7599,SRX9621294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823213,SAMN16983150,simple,10090,Mus musculus,GSM4954354,GEO,SRA1166266,03,2021,Terrey,Cerebellum,Control_cerebellum_3_ribo,Cerebellum,C57BL/6J,Cerebellum,Atoh-Cre;Hbs1l +/+,Batch 2,,P14,GSM4954354
SRR13186868,132924780,10102283280,76,3421,SRX9621295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823214,SAMN16983149,simple,10090,Mus musculus,GSM4954355,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Hbs1l_MEF_1_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Hbs1l cKO,Batch 3,Tamoxifen,,GSM4954355
SRR13186869,116791986,8876190936,76,3043,SRX9621296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823215,SAMN16983126,simple,10090,Mus musculus,GSM4954356,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Hbs1l_MEF_2_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Hbs1l cKO,Batch 3,Tamoxifen,,GSM4954356
