Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,stain,age,Sex,tissue,genotype,time,protocol,geo_loc_name,collection_date
SRR18954717,12968758,661406658,51,377,SRX15034735,GSM6070353,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781842,SAMN27921687,simple,10090,Mus musculus,GSM6070353,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A1_CT00_130516liver_8am (CT00_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954719,12861347,655928697,51,375,SRX15034735,GSM6070353,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781842,SAMN27921687,simple,10090,Mus musculus,GSM6070353,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A1_CT00_130516liver_8am (CT00_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954720,13317540,679194540,51,389,SRX15034735,GSM6070353,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781842,SAMN27921687,simple,10090,Mus musculus,GSM6070353,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A1_CT00_130516liver_8am (CT00_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954722,12951964,660550164,51,377,SRX15034735,GSM6070353,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781842,SAMN27921687,simple,10090,Mus musculus,GSM6070353,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A1_CT00_130516liver_8am (CT00_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954723,13023886,664218186,51,379,SRX15034735,GSM6070353,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781842,SAMN27921687,simple,10090,Mus musculus,GSM6070353,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A1_CT00_130516liver_8am (CT00_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954725,13040135,665046885,51,379,SRX15034735,GSM6070353,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781842,SAMN27921687,simple,10090,Mus musculus,GSM6070353,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A1_CT00_130516liver_8am (CT00_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954726,12733076,649386876,51,370,SRX15034735,GSM6070353,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781842,SAMN27921687,simple,10090,Mus musculus,GSM6070353,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A1_CT00_130516liver_8am (CT00_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954707,12888401,657308451,51,372,SRX15034736,GSM6070354,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781385,SAMN27921686,simple,10090,Mus musculus,GSM6070354,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A2_CT04_130516liver_12pm (CT04_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954708,12859756,655847556,51,372,SRX15034736,GSM6070354,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781385,SAMN27921686,simple,10090,Mus musculus,GSM6070354,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A2_CT04_130516liver_12pm (CT04_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954710,13341411,680411961,51,386,SRX15034736,GSM6070354,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781385,SAMN27921686,simple,10090,Mus musculus,GSM6070354,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A2_CT04_130516liver_12pm (CT04_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954711,12998562,662926662,51,375,SRX15034736,GSM6070354,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781385,SAMN27921686,simple,10090,Mus musculus,GSM6070354,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A2_CT04_130516liver_12pm (CT04_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954713,13124118,669330018,51,378,SRX15034736,GSM6070354,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781385,SAMN27921686,simple,10090,Mus musculus,GSM6070354,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A2_CT04_130516liver_12pm (CT04_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954714,13132723,669768873,51,379,SRX15034736,GSM6070354,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781385,SAMN27921686,simple,10090,Mus musculus,GSM6070354,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A2_CT04_130516liver_12pm (CT04_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954716,12911793,658501443,51,372,SRX15034736,GSM6070354,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781385,SAMN27921686,simple,10090,Mus musculus,GSM6070354,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A2_CT04_130516liver_12pm (CT04_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954696,13500324,688516524,51,384,SRX15034737,GSM6070355,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781386,SAMN27921685,simple,10090,Mus musculus,GSM6070355,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A3_CT08_130516liver_4pm (CT08_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954698,13429721,684915771,51,384,SRX15034737,GSM6070355,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781386,SAMN27921685,simple,10090,Mus musculus,GSM6070355,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A3_CT08_130516liver_4pm (CT08_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954699,13904562,709132662,51,398,SRX15034737,GSM6070355,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781386,SAMN27921685,simple,10090,Mus musculus,GSM6070355,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A3_CT08_130516liver_4pm (CT08_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954701,13514849,689257299,51,385,SRX15034737,GSM6070355,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781386,SAMN27921685,simple,10090,Mus musculus,GSM6070355,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A3_CT08_130516liver_4pm (CT08_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954702,13545379,690814329,51,386,SRX15034737,GSM6070355,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781386,SAMN27921685,simple,10090,Mus musculus,GSM6070355,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A3_CT08_130516liver_4pm (CT08_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954704,13585246,692847546,51,387,SRX15034737,GSM6070355,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781386,SAMN27921685,simple,10090,Mus musculus,GSM6070355,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A3_CT08_130516liver_4pm (CT08_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954705,13230141,674737191,51,376,SRX15034737,GSM6070355,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781386,SAMN27921685,simple,10090,Mus musculus,GSM6070355,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A3_CT08_130516liver_4pm (CT08_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954686,12918429,658839879,51,365,SRX15034738,GSM6070356,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781387,SAMN27921684,simple,10090,Mus musculus,GSM6070356,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A4_CT12_130516liver_8pm (CT12_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954687,12876547,656703897,51,365,SRX15034738,GSM6070356,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781387,SAMN27921684,simple,10090,Mus musculus,GSM6070356,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A4_CT12_130516liver_8pm (CT12_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954689,13380810,682421310,51,380,SRX15034738,GSM6070356,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781387,SAMN27921684,simple,10090,Mus musculus,GSM6070356,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A4_CT12_130516liver_8pm (CT12_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954690,13018646,663950946,51,368,SRX15034738,GSM6070356,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781387,SAMN27921684,simple,10090,Mus musculus,GSM6070356,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A4_CT12_130516liver_8pm (CT12_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
