Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype
SRR17073146,38039201,1901960050,50,784,SRX13261627,GSM5708601,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348610,PRJNA784790,36882085,"",SRS11183539,SAMN23509860,simple,10090,Mus musculus,GSM5708601,"Epitranscriptomics and RNA Dynamics, Center for Genomic Regulation",SRA1420574,05,2022,Milenkovic,Adult heart,RiboSeq_WT1,Adult heart,WT
SRR17073145,33963035,1698151750,50,704,SRX13261628,GSM5708602,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348610,PRJNA784790,36882085,"",SRS11183540,SAMN23509859,simple,10090,Mus musculus,GSM5708602,"Epitranscriptomics and RNA Dynamics, Center for Genomic Regulation",SRA1420574,05,2022,Milenkovic,Adult heart,RiboSeq_WT2,Adult heart,WT
SRR17073144,38835766,1941788300,50,809,SRX13261629,GSM5708603,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348610,PRJNA784790,36882085,"",SRS11183541,SAMN23509858,simple,10090,Mus musculus,GSM5708603,"Epitranscriptomics and RNA Dynamics, Center for Genomic Regulation",SRA1420574,05,2022,Milenkovic,Adult heart,RiboSeq_WT3,Adult heart,WT
SRR17073143,64822403,3241120150,50,1367,SRX13261630,GSM5708604,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348610,PRJNA784790,36882085,"",SRS11183542,SAMN23509857,simple,10090,Mus musculus,GSM5708604,"Epitranscriptomics and RNA Dynamics, Center for Genomic Regulation",SRA1420574,05,2022,Milenkovic,Adult heart,RiboSeq_KO1,Adult heart,Rpl3l-/-
SRR17073142,39407266,1970363300,50,801,SRX13261631,GSM5708605,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348610,PRJNA784790,36882085,"",SRS11183543,SAMN23509856,simple,10090,Mus musculus,GSM5708605,"Epitranscriptomics and RNA Dynamics, Center for Genomic Regulation",SRA1420574,05,2022,Milenkovic,Adult heart,RiboSeq_KO2,Adult heart,Rpl3l-/-
SRR17073141,36672887,1833644350,50,767,SRX13261632,GSM5708606,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348610,PRJNA784790,36882085,"",SRS11183544,SAMN23509855,simple,10090,Mus musculus,GSM5708606,"Epitranscriptomics and RNA Dynamics, Center for Genomic Regulation",SRA1420574,05,2022,Milenkovic,Adult heart,RiboSeq_KO3,Adult heart,Rpl3l-/-
SRR17073140,24121997,1206099850,50,559,SRX13261633,GSM5708607,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348610,PRJNA784790,36882085,"",SRS11183545,SAMN23509854,simple,10090,Mus musculus,GSM5708607,"Epitranscriptomics and RNA Dynamics, Center for Genomic Regulation",SRA1420574,05,2022,Milenkovic,Adult heart,RNASeq_WT1,Adult heart,WT
SRR17073139,23971808,1198590400,50,555,SRX13261634,GSM5708608,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348610,PRJNA784790,36882085,"",SRS11183546,SAMN23509853,simple,10090,Mus musculus,GSM5708608,"Epitranscriptomics and RNA Dynamics, Center for Genomic Regulation",SRA1420574,05,2022,Milenkovic,Adult heart,RNASeq_WT2,Adult heart,WT
SRR17073138,20605144,1030257200,50,483,SRX13261635,GSM5708609,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348610,PRJNA784790,36882085,"",SRS11183547,SAMN23509852,simple,10090,Mus musculus,GSM5708609,"Epitranscriptomics and RNA Dynamics, Center for Genomic Regulation",SRA1420574,05,2022,Milenkovic,Adult heart,RNASeq_WT3,Adult heart,WT
SRR17073137,16911370,845568500,50,394,SRX13261636,GSM5708610,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348610,PRJNA784790,36882085,"",SRS11183548,SAMN23509851,simple,10090,Mus musculus,GSM5708610,"Epitranscriptomics and RNA Dynamics, Center for Genomic Regulation",SRA1420574,05,2022,Milenkovic,Adult heart,RNASeq_KO1,Adult heart,Rpl3l-/-
