Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,collected_by,collection_date,geo_loc_name,isolation_source,lat_lon,BioSampleModel
SRR14535076,23565495,2356549500,100,705,SRX10879263,Fusarium graminearum 1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319814,PRJNA729871,1,"",SRS8972637,SAMN19184901,simple,5518,Fusarium graminearum,Fusariumgraminearum,commonwealth scientific industrial research organisation,SRA1232180,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14535075,231004274,23100427400,100,7779,SRX10879264,Fusarium graminearum 2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319814,PRJNA729871,1,"",SRS8972637,SAMN19184901,simple,5518,Fusarium graminearum,Fusariumgraminearum,commonwealth scientific industrial research organisation,SRA1232180,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14535074,145460436,14546043600,100,4298,SRX10879265,Fusarium graminearum 11,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319814,PRJNA729871,1,"",SRS8972637,SAMN19184901,simple,5518,Fusarium graminearum,Fusariumgraminearum,commonwealth scientific industrial research organisation,SRA1232180,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14535073,431141768,43114176800,100,12821,SRX10879266,Fusarium graminearum 12,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319814,PRJNA729871,1,"",SRS8972637,SAMN19184901,simple,5518,Fusarium graminearum,Fusariumgraminearum,commonwealth scientific industrial research organisation,SRA1232180,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14535072,95852925,9585292500,100,2897,SRX10879267,Fusarium graminearum 3,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319814,PRJNA729871,1,"",SRS8972637,SAMN19184901,simple,5518,Fusarium graminearum,Fusariumgraminearum,commonwealth scientific industrial research organisation,SRA1232180,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14535071,249561999,24956199900,100,8120,SRX10879268,Fusarium graminearum 4,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319814,PRJNA729871,1,"",SRS8972637,SAMN19184901,simple,5518,Fusarium graminearum,Fusariumgraminearum,commonwealth scientific industrial research organisation,SRA1232180,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14535070,279145559,27914555900,100,8362,SRX10879269,Fusarium graminearum 5,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319814,PRJNA729871,1,"",SRS8972637,SAMN19184901,simple,5518,Fusarium graminearum,Fusariumgraminearum,commonwealth scientific industrial research organisation,SRA1232180,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14535069,226704835,22670483500,100,6803,SRX10879270,Fusarium graminearum 6,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319814,PRJNA729871,1,"",SRS8972637,SAMN19184901,simple,5518,Fusarium graminearum,Fusariumgraminearum,commonwealth scientific industrial research organisation,SRA1232180,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14535068,185744633,18574463300,100,5775,SRX10879271,Fusarium graminearum 7,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319814,PRJNA729871,1,"",SRS8972637,SAMN19184901,simple,5518,Fusarium graminearum,Fusariumgraminearum,commonwealth scientific industrial research organisation,SRA1232180,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
SRR14535067,161849233,16184923300,100,4860,SRX10879272,Fusarium graminearum 8,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319814,PRJNA729871,1,"",SRS8972637,SAMN19184901,simple,5518,Fusarium graminearum,Fusariumgraminearum,commonwealth scientific industrial research organisation,SRA1232180,08,2021,Makar,"","",CS3005,CSIRO Ag and Food,2018,Australia: Brisbane,Axenic culture,27.50 S 152.99 E,Pathogen.env
