Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,passages,lentivirus 1,lentivirus 2,GEO Accession
SRR7655577,55852389,2792619450,50,1174,SRX4517981,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636496,SAMN09779021,simple,9606,Homo sapiens,GSM3323389,GEO,SRA755020,09,2018,Makar,HEK293T cells,CT RP,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,Control (CT) EIF3A,GSM3323389
SRR7655578,66693929,3334696450,50,1415,SRX4517981,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636496,SAMN09779021,simple,9606,Homo sapiens,GSM3323389,GEO,SRA755020,09,2018,Makar,HEK293T cells,CT RP,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,HLH mutant EIF3A,GSM3323390
SRR7655579,105032642,5251632100,50,3332,SRX4517981,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636496,SAMN09779021,simple,9606,Homo sapiens,GSM3323389,GEO,SRA755020,09,2018,Makar,HEK293T cells,CT RP,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,Control (CT) EIF3A,GSM3323391
SRR7655580,61232460,3061623000,50,1281,SRX4517982,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636497,SAMN09779020,simple,9606,Homo sapiens,GSM3323390,GEO,SRA755020,09,2018,Makar,HEK293T cells,HLH RP,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,HLH mutant EIF3A,GSM3323392
SRR7655581,63866690,3193334500,50,1346,SRX4517982,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636497,SAMN09779020,simple,9606,Homo sapiens,GSM3323390,GEO,SRA755020,09,2018,Makar,HEK293T cells,HLH RP,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,Control (CT) EIF3A,GSM3323389
SRR7655582,84371982,4218599100,50,2688,SRX4517982,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636497,SAMN09779020,simple,9606,Homo sapiens,GSM3323390,GEO,SRA755020,09,2018,Makar,HEK293T cells,HLH RP,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,HLH mutant EIF3A,GSM3323390
SRR7655583,25740120,1287006000,50,717,SRX4517983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636498,SAMN09779019,simple,9606,Homo sapiens,GSM3323391,GEO,SRA755020,09,2018,Makar,HEK293T cells,CT RS,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,Control (CT) EIF3A,GSM3323391
SRR7655584,28155355,1407767750,50,784,SRX4517983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636498,SAMN09779019,simple,9606,Homo sapiens,GSM3323391,GEO,SRA755020,09,2018,Makar,HEK293T cells,CT RS,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,HLH mutant EIF3A,GSM3323392
SRR7655585,29734550,1486727500,50,826,SRX4517983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636498,SAMN09779019,simple,9606,Homo sapiens,GSM3323391,GEO,SRA755020,09,2018,Makar,HEK293T cells,CT RS,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,Control (CT) EIF3A,GSM3323389
SRR7655586,31820414,1591020700,50,898,SRX4517984,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636499,SAMN09779018,simple,9606,Homo sapiens,GSM3323392,GEO,SRA755020,09,2018,Makar,HEK293T cells,HLH RS,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,HLH mutant EIF3A,GSM3323390
SRR7655587,32399108,1619955400,50,920,SRX4517984,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636499,SAMN09779018,simple,9606,Homo sapiens,GSM3323392,GEO,SRA755020,09,2018,Makar,HEK293T cells,HLH RS,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,Control (CT) EIF3A,GSM3323391
SRR7655588,33240484,1662024200,50,938,SRX4517984,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156569,PRJNA484941,1,"",SRS3636499,SAMN09779018,simple,9606,Homo sapiens,GSM3323392,GEO,SRA755020,09,2018,Makar,HEK293T cells,HLH RS,HEK293T cells,HEK293T,15-18,anti-EIF3A shRNA,HLH mutant EIF3A,GSM3323392
