Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,cell type,cell line,genotype,GEO Accession
SRR9931601,55363777,5591741477,101,1888,SRX6680458,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP217845,PRJNA559348,35899551,"",SRS5238248,SAMN12534958,simple,10090,Mus musculus,GSM4018772,GEO,SRA935952,08,2022,Schaefer,Embyronic stem cells,"ESCs, WT_1",Embyronic stem cells,129/Ola background,Blastocyst,Embyronic stem cells,E14,Wild Type,GSM4018772
SRR9931602,36672678,3703940478,101,1122,SRX6680459,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP217845,PRJNA559348,35899551,"",SRS5238249,SAMN12534998,simple,10090,Mus musculus,GSM4018773,GEO,SRA935952,08,2022,Schaefer,Embyronic stem cells,"ESCs, WT_2",Embyronic stem cells,129/Ola background,Blastocyst,Embyronic stem cells,E14,Wild Type,GSM4018773
SRR9931603,64665862,6531252062,101,2199,SRX6680460,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP217845,PRJNA559348,35899551,"",SRS5238250,SAMN12534992,simple,10090,Mus musculus,GSM4018774,GEO,SRA935952,08,2022,Schaefer,Embyronic stem cells,"ESCs, Dgcr8_KO1",Embyronic stem cells,129/Ola background,Blastocyst,Embyronic stem cells,E14,Dgcr8 knockout,GSM4018774
SRR9931604,44190625,4463253125,101,1349,SRX6680461,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP217845,PRJNA559348,35899551,"",SRS5238251,SAMN12534986,simple,10090,Mus musculus,GSM4018775,GEO,SRA935952,08,2022,Schaefer,Embyronic stem cells,"ESCs, Dgcr8_KO2",Embyronic stem cells,129/Ola background,Blastocyst,Embyronic stem cells,E14,Dgcr8 knockout,GSM4018775
SRR9931605,47736899,4821426799,101,1618,SRX6680462,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP217845,PRJNA559348,35899551,"",SRS5238252,SAMN12534982,simple,10090,Mus musculus,GSM4018776,GEO,SRA935952,08,2022,Schaefer,Embyronic stem cells,"ESCs, Drosha_KO1",Embyronic stem cells,129/Ola background,Blastocyst,Embyronic stem cells,E14,Drosha knockout,GSM4018776
SRR9931606,23726056,2396331656,101,765,SRX6680463,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP217845,PRJNA559348,35899551,"",SRS5238253,SAMN12535017,simple,10090,Mus musculus,GSM4018777,GEO,SRA935952,08,2022,Schaefer,Embyronic stem cells,"ESCs, Drosha_KO2",Embyronic stem cells,129/Ola background,Blastocyst,Embyronic stem cells,E14,Drosha knockout,GSM4018777
SRR9931607,46731115,4719842615,101,1574,SRX6680464,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP217845,PRJNA559348,35899551,"",SRS5238254,SAMN12535016,simple,10090,Mus musculus,GSM4018778,GEO,SRA935952,08,2022,Schaefer,Embyronic stem cells,"ESCs, Dicer_KO1",Embyronic stem cells,129/Ola background,Blastocyst,Embyronic stem cells,E14,Dicer knockout,GSM4018778
SRR9931608,49030181,4952048281,101,1504,SRX6680465,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP217845,PRJNA559348,35899551,"",SRS5238255,SAMN12535015,simple,10090,Mus musculus,GSM4018779,GEO,SRA935952,08,2022,Schaefer,Embyronic stem cells,"ESCs, Dicer_KO2",Embyronic stem cells,129/Ola background,Blastocyst,Embyronic stem cells,E14,Dicer knockout,GSM4018779
SRR9931609,46286906,4674977506,101,1430,SRX6680466,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP217845,PRJNA559348,35899551,"",SRS5238256,SAMN12535013,simple,10090,Mus musculus,GSM4018780,GEO,SRA935952,08,2022,Schaefer,Embyronic stem cells,"ESCs, Ago12_KO1",Embyronic stem cells,129/Ola background,Blastocyst,Embyronic stem cells,E14,Ago1&Ago2 double knockout,GSM4018780
SRR9931610,131474392,16565773392,126,5686,SRX6680467,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP217845,PRJNA559348,35899551,"",SRS5238257,SAMN12535012,simple,10090,Mus musculus,GSM4018781,GEO,SRA935952,08,2022,Schaefer,Embyronic stem cells,"ESCs, Ago12_KO2",Embyronic stem cells,129/Ola background,Blastocyst,Embyronic stem cells,E14,Ago1&Ago2 double knockout,GSM4018781
