Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,mouse id,cell type,cell subtype,treatment,GEO Accession
SRR13435518,92695629,9362258529,101,2668,SRX9849076,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301728,PRJNA692108,33973637,"",SRS8030600,SAMN17313728,simple,10090,Mus musculus,GSM5019832,GEO,SRA1183794,04,2021,Allmeroth,CD34neg,CD34neg_1 [Ribo-seq],CD34neg,C57BL/6J,AG53,HFSC organoid culture,alpha6+CD34-,,GSM5019832
SRR13435519,77203008,7797503808,101,2221,SRX9849077,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301728,PRJNA692108,33973637,"",SRS8030601,SAMN17313727,simple,10090,Mus musculus,GSM5019833,GEO,SRA1183794,04,2021,Allmeroth,CD34pos,CD34pos_1 [Ribo-seq],CD34pos,C57BL/6J,AG53,HFSC organoid culture,alpha6+CD34+,,GSM5019833
SRR13435520,72980844,7371065244,101,2188,SRX9849078,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301728,PRJNA692108,33973637,"",SRS8030602,SAMN17313726,simple,10090,Mus musculus,GSM5019834,GEO,SRA1183794,04,2021,Allmeroth,CD34neg_N1AcSpd,CD34neg_N1AcSpd_1 [Ribo-seq],CD34neg_N1AcSpd,C57BL/6J,AG53,HFSC organoid culture,alpha6+CD34-,N1-acetylspermidine for 72h,GSM5019834
SRR13435521,100161827,10116344527,101,3009,SRX9849079,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301728,PRJNA692108,33973637,"",SRS8030603,SAMN17313725,simple,10090,Mus musculus,GSM5019835,GEO,SRA1183794,04,2021,Allmeroth,CD34pos_N1AcSpd,CD34pos_N1AcSpd_1 [Ribo-seq],CD34pos_N1AcSpd,C57BL/6J,AG53,HFSC organoid culture,alpha6+CD34+,N1-acetylspermidine for 72h,GSM5019835
SRR13435522,88975072,8986482272,101,2910,SRX9849080,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301728,PRJNA692108,33973637,"",SRS8030604,SAMN17313724,simple,10090,Mus musculus,GSM5019836,GEO,SRA1183794,04,2021,Allmeroth,CD34neg,CD34neg_2 [Ribo-seq],CD34neg,C57BL/6J,AF95,HFSC organoid culture,alpha6+CD34-,,GSM5019836
SRR13435523,101714548,10273169348,101,3408,SRX9849081,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301728,PRJNA692108,33973637,"",SRS8030605,SAMN17313723,simple,10090,Mus musculus,GSM5019837,GEO,SRA1183794,04,2021,Allmeroth,CD34pos,CD34pos_2 [Ribo-seq],CD34pos,C57BL/6J,AF95,HFSC organoid culture,alpha6+CD34+,,GSM5019837
SRR13435524,83382527,8421635227,101,2401,SRX9849082,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301728,PRJNA692108,33973637,"",SRS8030606,SAMN17313722,simple,10090,Mus musculus,GSM5019838,GEO,SRA1183794,04,2021,Allmeroth,CD34neg_N1AcSpd,CD34neg_N1AcSpd_2 [Ribo-seq],CD34neg_N1AcSpd,C57BL/6J,AF95,HFSC organoid culture,alpha6+CD34-,N1-acetylspermidine for 72h,GSM5019838
SRR13435525,85127951,8597923051,101,2464,SRX9849083,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301728,PRJNA692108,33973637,"",SRS8030607,SAMN17313721,simple,10090,Mus musculus,GSM5019839,GEO,SRA1183794,04,2021,Allmeroth,CD34pos_N1AcSpd,CD34pos_N1AcSpd_2 [Ribo-seq],CD34pos_N1AcSpd,C57BL/6J,AF95,HFSC organoid culture,alpha6+CD34+,N1-acetylspermidine for 72h,GSM5019839
SRR13435526,42715717,8628574834,101,2449,SRX9849084,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301728,PRJNA692108,33973637,"",SRS8030608,SAMN17313720,simple,10090,Mus musculus,GSM5019840,GEO,SRA1183794,04,2021,Allmeroth,CD34neg,CD34neg_1 [RNA-seq],CD34neg,C57BL/6J,AG53,HFSC organoid culture,alpha6+CD34-,,GSM5019840
SRR13435527,52699053,10645208706,101,3015,SRX9849085,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301728,PRJNA692108,33973637,"",SRS8030609,SAMN17313719,simple,10090,Mus musculus,GSM5019841,GEO,SRA1183794,04,2021,Allmeroth,CD34pos,CD34pos_1 [RNA-seq],CD34pos,C57BL/6J,AG53,HFSC organoid culture,alpha6+CD34+,,GSM5019841
