Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,GEO Accession
SRR12581851,62225958,2278998766,36,916,SRX9068698,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP279969,PRJNA661275,33357414,"",SRS7317100,SAMN16049423,simple,10090,Mus musculus,GSM4764673,GEO,SRA1120934,03,2021,Kraushar,Neuro2a cell line in culture,ebp1_knockdown_riboseq_scrambled-cntrl_1,Neuro2a cell line in culture,Neuro2a,scrambled siRNA control oligo transfection,GSM4764673
SRR12581852,47817972,1722092226,36,702,SRX9068699,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP279969,PRJNA661275,33357414,"",SRS7317101,SAMN16049434,simple,10090,Mus musculus,GSM4764674,GEO,SRA1120934,03,2021,Kraushar,Neuro2a cell line in culture,ebp1_knockdown_riboseq_scrambled-cntrl_2,Neuro2a cell line in culture,Neuro2a,scrambled siRNA control oligo transfection,GSM4764674
SRR12581853,62306578,2276210863,36,924,SRX9068700,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP279969,PRJNA661275,33357414,"",SRS7317102,SAMN16049433,simple,10090,Mus musculus,GSM4764675,GEO,SRA1120934,03,2021,Kraushar,Neuro2a cell line in culture,ebp1_knockdown_riboseq_scrambled-cntrl_3,Neuro2a cell line in culture,Neuro2a,scrambled siRNA control oligo transfection,GSM4764675
SRR12581854,38445512,1365431307,35,579,SRX9068701,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP279969,PRJNA661275,33357414,"",SRS7317103,SAMN16049432,simple,10090,Mus musculus,GSM4764676,GEO,SRA1120934,03,2021,Kraushar,Neuro2a cell line in culture,ebp1_knockdown_riboseq_siEbp1_1,Neuro2a cell line in culture,Neuro2a,Ebp1 siRNA knockdown oligo transfection,GSM4764676
SRR12581855,65224693,2379783134,36,968,SRX9068702,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP279969,PRJNA661275,33357414,"",SRS7317104,SAMN16049431,simple,10090,Mus musculus,GSM4764677,GEO,SRA1120934,03,2021,Kraushar,Neuro2a cell line in culture,ebp1_knockdown_riboseq_siEbp1_2,Neuro2a cell line in culture,Neuro2a,Ebp1 siRNA knockdown oligo transfection,GSM4764677
SRR12581856,55318944,2002218577,36,815,SRX9068703,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP279969,PRJNA661275,33357414,"",SRS7317105,SAMN16049430,simple,10090,Mus musculus,GSM4764678,GEO,SRA1120934,03,2021,Kraushar,Neuro2a cell line in culture,ebp1_knockdown_riboseq_siEbp1_3,Neuro2a cell line in culture,Neuro2a,Ebp1 siRNA knockdown oligo transfection,GSM4764678
SRR12581857,19201289,970743755,50,340,SRX9068704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP279969,PRJNA661275,33357414,"",SRS7317106,SAMN16049429,simple,10090,Mus musculus,GSM4764679,GEO,SRA1120934,03,2021,Kraushar,Neuro2a cell line in culture,ebp1_knockdown_rnaseq_scrambled-cntrl_1,Neuro2a cell line in culture,Neuro2a,scrambled siRNA control oligo transfection,GSM4764679
SRR12581858,14644942,740408039,50,260,SRX9068705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP279969,PRJNA661275,33357414,"",SRS7317107,SAMN16049428,simple,10090,Mus musculus,GSM4764680,GEO,SRA1120934,03,2021,Kraushar,Neuro2a cell line in culture,ebp1_knockdown_rnaseq_scrambled-cntrl_2,Neuro2a cell line in culture,Neuro2a,scrambled siRNA control oligo transfection,GSM4764680
SRR12581859,15467574,781956301,50,275,SRX9068706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP279969,PRJNA661275,33357414,"",SRS7317108,SAMN16049427,simple,10090,Mus musculus,GSM4764681,GEO,SRA1120934,03,2021,Kraushar,Neuro2a cell line in culture,ebp1_knockdown_rnaseq_scrambled-cntrl_3,Neuro2a cell line in culture,Neuro2a,scrambled siRNA control oligo transfection,GSM4764681
SRR12581860,16463822,832320458,50,291,SRX9068707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP279969,PRJNA661275,33357414,"",SRS7317109,SAMN16049426,simple,10090,Mus musculus,GSM4764682,GEO,SRA1120934,03,2021,Kraushar,Neuro2a cell line in culture,ebp1_knockdown_rnaseq_siEbp1_1,Neuro2a cell line in culture,Neuro2a,Ebp1 siRNA knockdown oligo transfection,GSM4764682
