Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_type,disease,BioSampleModel
SRR8535424,29670410,1483520500,50,655,SRX5337871,SepticHumanPlateletRPF_3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331058,SAMN10879416,simple,9606,Homo sapiens,13596X23,University of Utah,SRA844991,09,2019,Makar,"",SepticHumanPlateletRPF_3,Septic Patient 3 RPF,77,Rondina,male,Blood,Platelet,Septic,Human
SRR8535423,57984096,2899204800,50,1270,SRX5337872,SepticHumanPlateletRPF_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331059,SAMN10879415,simple,9606,Homo sapiens,13596X19,University of Utah,SRA844991,09,2019,Makar,"",SepticHumanPlateletRPF_2,Septic Patient 2 RPF,34,Rondina,female,Blood,Platelet,Septic,Human
SRR8535422,28135045,1406752250,50,621,SRX5337873,HealthyHumanPlateletTotal_4,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331060,SAMN10879405,simple,9606,Homo sapiens,13596X26,University of Utah,SRA844991,09,2019,Makar,"",HealthyHumanPlateletTotal_4,Healthy Control Patient 4,30,Rondina,male,Blood,Platelet,Healthy,Human
SRR8535421,27109737,1355486850,50,639,SRX5337874,SepticHumanPlateletTotal_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331061,SAMN10879407,simple,9606,Homo sapiens,11950X6,University of Utah,SRA844991,09,2019,Makar,"",SepticHumanPlateletTotal_1,Septic Patient 1,63,Rondina,male,Blood,Platelet,Septic,Human
SRR8535420,28703847,1435192350,50,628,SRX5337875,SepticHumanPlateletTotal_4,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331062,SAMN10879410,simple,9606,Homo sapiens,13596X28,University of Utah,SRA844991,09,2019,Makar,"",SepticHumanPlateletTotal_4,Septic Patient 4,30,Rondina,male,Blood,Platelet,Septic,Human
SRR8535419,27659026,1382951300,50,609,SRX5337876,SepticHumanPlateletTotal_3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331063,SAMN10879409,simple,9606,Homo sapiens,13596X24,University of Utah,SRA844991,09,2019,Makar,"",SepticHumanPlateletTotal_3,Septic Patient 3,77,Rondina,male,Blood,Platelet,Septic,Human
SRR8535418,50829054,2541452700,50,1118,SRX5337877,SepticHumanPlateletTotal_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331064,SAMN10879408,simple,9606,Homo sapiens,13596X20,University of Utah,SRA844991,09,2019,Makar,"",SepticHumanPlateletTotal_2,Septic Patient 2,34,Rondina,female,Blood,Platelet,Septic,Human
SRR8535417,29282031,1464101550,50,689,SRX5337878,SepticHumanPlateletTotal_0,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331065,SAMN10879406,simple,9606,Homo sapiens,11950X2,University of Utah,SRA844991,09,2019,Makar,"",SepticHumanPlateletTotal_0,Septic Patient 0,53,Rondina,female,Blood,Platelet,Septic,Human
SRR8535416,28240726,1412036300,50,621,SRX5337879,HealthyHumanPlateletTotal_3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331066,SAMN10879404,simple,9606,Homo sapiens,13596X22,University of Utah,SRA844991,09,2019,Makar,"",HealthyHumanPlateletTotal_3,Healthy Control Patient 3,58,Rondina,male,Blood,Platelet,Healthy,Human
SRR8535415,58729341,2936467050,50,1285,SRX5337880,HealthyHumanPlateletTotal_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331067,SAMN10879403,simple,9606,Homo sapiens,13596X18,University of Utah,SRA844991,09,2019,Makar,"",HealthyHumanPlateletTotal_2,Healthy Control Patient 2,34,Rondina,female,Blood,Platelet,Healthy,Human
