Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,monosome enrichment strategy,lysis buffer ion concentrations,lysis strategy,cell line,GEO Accession
SRR942868,54857951,2742897550,50,1794,SRX327686,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028243,PRJNA213294,24302569,"",SRS464055,SAMN02264622,simple,7227,Drosophila melanogaster,GSM1195318,GEO,SRA096078,07,2015,Dunn,whole 0-2 hour Drosophila embryo,footprint 0-2 hour embryo replicate A,whole 0-2 hour Drosophila embryo,y w,whole 0-2 hour embryo,sucrose cushion,"150 mM Na+, 5 mM Mg++",Cryolysis,,GSM1195318
SRR942869,144718737,8248968009,57,5311,SRX327686,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028243,PRJNA213294,24302569,"",SRS464055,SAMN02264622,simple,7227,Drosophila melanogaster,GSM1195318,GEO,SRA096078,07,2015,Dunn,whole 0-2 hour Drosophila embryo,footprint 0-2 hour embryo replicate A,whole 0-2 hour Drosophila embryo,y w,whole 0-2 hour embryo,sucrose cushion,"150 mM Na+, 5 mM Mg++",Cryolysis,,GSM1195319
SRR942870,66618455,3330922750,50,2181,SRX327687,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028243,PRJNA213294,24302569,"",SRS464056,SAMN02264633,simple,7227,Drosophila melanogaster,GSM1195319,GEO,SRA096078,07,2015,Dunn,whole 0-2 hour Drosophila embryo,footprint 0-2 hour embryo replicate B,whole 0-2 hour Drosophila embryo,y w,whole 0-2 hour embryo,na,"150 mM Na+, 5 mM Mg++",Cryolysis,,GSM1195320
SRR942871,146555910,8353686870,57,5381,SRX327687,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028243,PRJNA213294,24302569,"",SRS464056,SAMN02264633,simple,7227,Drosophila melanogaster,GSM1195319,GEO,SRA096078,07,2015,Dunn,whole 0-2 hour Drosophila embryo,footprint 0-2 hour embryo replicate B,whole 0-2 hour Drosophila embryo,y w,whole 0-2 hour embryo,na,"150 mM Na+, 5 mM Mg++",Cryolysis,,GSM1195321
SRR942872,88948007,4447400350,50,2893,SRX327688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028243,PRJNA213294,24302569,"",SRS464057,SAMN02264630,simple,7227,Drosophila melanogaster,GSM1195320,GEO,SRA096078,07,2015,Dunn,whole 0-2 hour Drosophila embryo,mRNA 0-2 hour embryo replicate A,whole 0-2 hour Drosophila embryo,y w,whole 0-2 hour embryo,sucrose cushion,"150 mM Na+, 5 mM Mg++",Cryolysis,,GSM1195322
SRR942873,80431415,4021570750,50,2641,SRX327689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028243,PRJNA213294,24302569,"",SRS464058,SAMN02264624,simple,7227,Drosophila melanogaster,GSM1195321,GEO,SRA096078,07,2015,Dunn,whole 0-2 hour Drosophila embryo,mRNA 0-2 hour embryo replicate B,whole 0-2 hour Drosophila embryo,y w,whole 0-2 hour embryo,sucrose cushion,"150 mM Na+, 5 mM Mg++",Cryolysis,,GSM1195323
SRR942874,27730622,1386531100,50,806,SRX327690,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028243,PRJNA213294,24302569,"",SRS464059,SAMN02264623,simple,7227,Drosophila melanogaster,GSM1195322,GEO,SRA096078,07,2015,Dunn,whole 0-2 hour Drosophila embryo,footprint 0-2 hour embryo cushion replicate A,whole 0-2 hour Drosophila embryo,y w,whole 0-2 hour embryo,sucrose gradient,"150 mM Na+, 5 mM Mg++",Cryolysis,,GSM1195324
SRR942875,28089260,1404463000,50,806,SRX327691,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028243,PRJNA213294,24302569,"",SRS464060,SAMN02264625,simple,7227,Drosophila melanogaster,GSM1195323,GEO,SRA096078,07,2015,Dunn,whole 0-2 hour Drosophila embryo,footprint 0-2 hour embryo cushion replicate B,whole 0-2 hour Drosophila embryo,y w,whole 0-2 hour embryo,sucrose gradient,"150 mM Na+, 5 mM Mg++",Cryolysis,,GSM1195325
SRR942876,32237241,1611862050,50,938,SRX327692,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028243,PRJNA213294,24302569,"",SRS464061,SAMN02264626,simple,7227,Drosophila melanogaster,GSM1195324,GEO,SRA096078,07,2015,Dunn,whole 0-2 hour Drosophila embryo,footprint 0-2 hour embryo gradient replicate A,S2 cell,Oregon R,,sucrose cushion,"150 mM Na+, 5 mM Mg++",Dounce homogenizeation,S2,GSM1195326
SRR942877,40195868,2009793400,50,1163,SRX327693,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028243,PRJNA213294,24302569,"",SRS464062,SAMN02264628,simple,7227,Drosophila melanogaster,GSM1195325,GEO,SRA096078,07,2015,Dunn,whole 0-2 hour Drosophila embryo,footprint 0-2 hour embryo gradient replicate B,S2 cell,Oregon R,,sucrose cushion,"150 mM Na+, 5 mM Mg++",Dounce homogenizeation,S2,GSM1195327
