Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,ecotype,age,GEO Accession
SRR10620357,37833254,1853829446,49,660,SRX7299451,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792689,SAMN13525384,simple,3702,Arabidopsis thaliana,GSM4212879,GEO,SRA1009761,02,2022,Sotta,whole shoot,Ribo_Ctrl_rep1,whole shoot,wild type,Col-0,14 days old,GSM4212879
SRR10620358,53977204,2644882996,49,931,SRX7299452,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792690,SAMN13525383,simple,3702,Arabidopsis thaliana,GSM4212880,GEO,SRA1009761,02,2022,Sotta,whole shoot,Ribo_Bminus_rep1,whole shoot,wild type,Col-0,14 days old,GSM4212880
SRR10620359,38730358,1897787542,49,671,SRX7299453,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792692,SAMN13525388,simple,3702,Arabidopsis thaliana,GSM4212881,GEO,SRA1009761,02,2022,Sotta,whole shoot,Ribo_Bplus_rep1,whole shoot,wild type,Col-0,14 days old,GSM4212881
SRR10620360,44366576,2173962224,49,993,SRX7299454,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792693,SAMN13525387,simple,3702,Arabidopsis thaliana,GSM4212882,GEO,SRA1009761,02,2022,Sotta,whole shoot,Ribo_Ctrl_rep2,whole shoot,wild type,Col-0,14 days old,GSM4212882
SRR10620361,43598909,2136346541,49,757,SRX7299455,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792691,SAMN13525386,simple,3702,Arabidopsis thaliana,GSM4212883,GEO,SRA1009761,02,2022,Sotta,whole shoot,Ribo_Bminus_rep2,whole shoot,wild type,Col-0,14 days old,GSM4212883
SRR10620362,42848978,2099599922,49,744,SRX7299456,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792694,SAMN13525385,simple,3702,Arabidopsis thaliana,GSM4212884,GEO,SRA1009761,02,2022,Sotta,whole shoot,Ribo_Bplus_rep2,whole shoot,wild type,Col-0,14 days old,GSM4212884
SRR10620363,22675220,2267522000,100,802,SRX7299457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792695,SAMN13525382,simple,3702,Arabidopsis thaliana,GSM4212885,GEO,SRA1009761,02,2022,Sotta,whole shoot,RNA_Ctrl_rep1,whole shoot,wild type,Col-0,14 days old,GSM4212885
SRR10620364,22111444,2211144400,100,776,SRX7299458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792696,SAMN13525381,simple,3702,Arabidopsis thaliana,GSM4212886,GEO,SRA1009761,02,2022,Sotta,whole shoot,RNA_Bminus_rep1,whole shoot,wild type,Col-0,14 days old,GSM4212886
SRR10620365,19001933,1900193300,100,678,SRX7299459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792697,SAMN13525380,simple,3702,Arabidopsis thaliana,GSM4212887,GEO,SRA1009761,02,2022,Sotta,whole shoot,RNA_Bplus_rep1,whole shoot,wild type,Col-0,14 days old,GSM4212887
SRR10620366,21640837,2164083700,100,757,SRX7299460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792698,SAMN13525379,simple,3702,Arabidopsis thaliana,GSM4212888,GEO,SRA1009761,02,2022,Sotta,whole shoot,RNA_Ctrl_rep2,whole shoot,wild type,Col-0,14 days old,GSM4212888
SRR10620367,22019514,2201951400,100,948,SRX7299461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792699,SAMN13525378,simple,3702,Arabidopsis thaliana,GSM4212889,GEO,SRA1009761,02,2022,Sotta,whole shoot,RNA_Bminus_rep2,whole shoot,wild type,Col-0,14 days old,GSM4212889
SRR10620368,22931616,2293161600,100,813,SRX7299462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235569,PRJNA594648,33772920,"",SRS5792700,SAMN13525377,simple,3702,Arabidopsis thaliana,GSM4212890,GEO,SRA1009761,02,2022,Sotta,whole shoot,RNA_Bplus_rep2,whole shoot,wild type,Col-0,14 days old,GSM4212890
