Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,biological repeat,broker name,cell line,common name,compound,infect,sample name,sequencing protocol,time point,Experimental Factor: MHV-A59,Experimental Factor: cycloheximide,Experimental Factor: 1,Experimental Factor: harringtonine + cycloheximide,Experimental Factor: 8,Experimental Factor: mock,Experimental Factor: 2.5,Experimental Factor: 5
ERR1190989,38883498,1161289538,29,827,ERX1264364,Sample 1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016056,SAMEA3708907,simple,10090,Mus musculus,SAMEA3708907,ERA542783,02,2016,Makar,"",Sample 1,2016-02-08,2015-12-14,SAMEA3708907,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 1,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 1,RiboSeq,1,infect,compound,time point,,,,,
ERR1190990,55544297,1779600908,32,1257,ERX1264365,Sample 10,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016057,SAMEA3708908,simple,10090,Mus musculus,SAMEA3708908,ERA542783,02,2016,Makar,"",Sample 10,2016-02-08,2015-12-14,SAMEA3708908,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 10,1,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,MHV-A59,E-MTAB-4111:Sample 10,RiboSeq,8,infect,,,compound,time point,,,
ERR1190991,54474851,1713994365,31,1207,ERX1264366,Sample 11,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016058,SAMEA3708909,simple,10090,Mus musculus,SAMEA3708909,ERA542783,02,2016,Makar,"",Sample 11,2016-02-08,2015-12-14,SAMEA3708909,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 11,1,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,mock,E-MTAB-4111:Sample 11,RiboSeq,1,,,time point,compound,,infect,,
ERR1190992,78497711,2489092061,31,1735,ERX1264367,Sample 12,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016059,SAMEA3708910,simple,10090,Mus musculus,SAMEA3708910,ERA542783,02,2016,Makar,"",Sample 12,2016-02-08,2015-12-14,SAMEA3708910,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 12,1,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,mock,E-MTAB-4111:Sample 12,RiboSeq,8,,,,compound,time point,infect,,
ERR1190993,84955423,2627276298,30,1856,ERX1264368,Sample 13,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016060,SAMEA3708911,simple,10090,Mus musculus,SAMEA3708911,ERA542783,02,2016,Makar,"",Sample 13,2016-02-08,2015-12-14,SAMEA3708911,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 13,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 13,RNASeq,1,infect,compound,time point,,,,,
ERR1190994,75097651,2293097872,30,1638,ERX1264369,Sample 14,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016061,SAMEA3708912,simple,10090,Mus musculus,SAMEA3708912,ERA542783,02,2016,Makar,"",Sample 14,2016-02-08,2015-12-14,SAMEA3708912,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 14,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 14,RNASeq,2.5,infect,compound,,,,,time point,
ERR1190995,67177553,2060926619,30,1501,ERX1264370,Sample 15,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016062,SAMEA3708913,simple,10090,Mus musculus,SAMEA3708913,ERA542783,02,2016,Makar,"",Sample 15,2016-02-08,2015-12-14,SAMEA3708913,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 15,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 15,RNASeq,5,infect,compound,,,,,,time point
ERR1190996,62940694,2061757111,32,1466,ERX1264371,Sample 16,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016063,SAMEA3708914,simple,10090,Mus musculus,SAMEA3708914,ERA542783,02,2016,Makar,"",Sample 16,2016-02-08,2015-12-14,SAMEA3708914,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 16,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 16,RNASeq,8,infect,compound,,,time point,,,
ERR1190997,80591061,2475034240,30,1737,ERX1264372,Sample 17,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016064,SAMEA3708915,simple,10090,Mus musculus,SAMEA3708915,ERA542783,02,2016,Makar,"",Sample 17,2016-02-08,2015-12-14,SAMEA3708915,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 17,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,mock,E-MTAB-4111:Sample 17,RNASeq,1,,compound,time point,,,infect,,
ERR1190998,68575621,2149386138,31,1520,ERX1264373,Sample 18,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016065,SAMEA3708916,simple,10090,Mus musculus,SAMEA3708916,ERA542783,02,2016,Makar,"",Sample 18,2016-02-08,2015-12-14,SAMEA3708916,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 18,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,mock,E-MTAB-4111:Sample 18,RNASeq,8,,compound,,,time point,infect,,
ERR1190999,59543450,1840946911,30,1298,ERX1264374,Sample 19,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016066,SAMEA3708917,simple,10090,Mus musculus,SAMEA3708917,ERA542783,02,2016,Makar,"",Sample 19,2016-02-08,2015-12-14,SAMEA3708917,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 19,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 19,RiboSeq,1,infect,compound,time point,,,,,
ERR1191000,48420348,1429402558,29,1016,ERX1264375,Sample 2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016067,SAMEA3708918,simple,10090,Mus musculus,SAMEA3708918,ERA542783,02,2016,Makar,"",Sample 2,2016-02-08,2015-12-14,SAMEA3708918,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 2,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 2,RiboSeq,2.5,infect,compound,,,,,time point,
ERR1191001,39413642,1197490271,30,837,ERX1264376,Sample 20,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016068,SAMEA3708919,simple,10090,Mus musculus,SAMEA3708919,ERA542783,02,2016,Makar,"",Sample 20,2016-02-08,2015-12-14,SAMEA3708919,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 20,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 20,RiboSeq,2.5,infect,compound,,,,,time point,
ERR1191002,43109202,1310217152,30,899,ERX1264377,Sample 21,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016069,SAMEA3708920,simple,10090,Mus musculus,SAMEA3708920,ERA542783,02,2016,Makar,"",Sample 21,2016-02-08,2015-12-14,SAMEA3708920,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 21,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 21,RiboSeq,5,infect,compound,,,,,,time point
ERR1191003,48048678,1464094378,30,1026,ERX1264378,Sample 22,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016070,SAMEA3708921,simple,10090,Mus musculus,SAMEA3708921,ERA542783,02,2016,Makar,"",Sample 22,2016-02-08,2015-12-14,SAMEA3708921,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 22,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 22,RiboSeq,8,infect,compound,,,time point,,,
ERR1191004,55458988,1762359654,31,1192,ERX1264379,Sample 23,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016071,SAMEA3708922,simple,10090,Mus musculus,SAMEA3708922,ERA542783,02,2016,Makar,"",Sample 23,2016-02-08,2015-12-14,SAMEA3708922,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 23,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,mock,E-MTAB-4111:Sample 23,RiboSeq,1,,compound,time point,,,infect,,
