Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,genotype,cell line,GEO Accession
SRR13761750,27401486,2740148600,100,979,SRX10148453,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300870,SAMN18025011,simple,7227,Drosophila melanogaster,GSM5098871,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for Pex1 knockdown, rep1",oenocytes,oenocytes,no RU feeding,control for Pex1 knockdown,,GSM5098871
SRR13761751,27969898,2796989800,100,1001,SRX10148454,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300871,SAMN18025010,simple,7227,Drosophila melanogaster,GSM5098872,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for Pex1 knockdown, rep2",oenocytes,oenocytes,no RU feeding,control for Pex1 knockdown,,GSM5098872
SRR13761752,23617086,2361708600,100,849,SRX10148455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300872,SAMN18025009,simple,7227,Drosophila melanogaster,GSM5098873,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for Pex1 knockdown, rep3",oenocytes,oenocytes,no RU feeding,control for Pex1 knockdown,,GSM5098873
SRR13761753,34131670,3413167000,100,1219,SRX10148456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300873,SAMN18025008,simple,7227,Drosophila melanogaster,GSM5098874,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila Pex1 knockdown samples, rep1",oenocytes,oenocytes,RU feeding,Pex1 knockdown,,GSM5098874
SRR13761754,28111600,2811160000,100,1010,SRX10148457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300874,SAMN18025007,simple,7227,Drosophila melanogaster,GSM5098875,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila Pex1 knockdown samples, rep2",oenocytes,oenocytes,RU feeding,Pex1 knockdown,,GSM5098875
SRR13761755,29737573,2973757300,100,1067,SRX10148458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300875,SAMN18025006,simple,7227,Drosophila melanogaster,GSM5098876,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila Pex1 knockdown samples, rep3",oenocytes,oenocytes,RU feeding,Pex1 knockdown,,GSM5098876
SRR13761756,29502937,4425440550,150,1702,SRX10148459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300876,SAMN18025005,simple,7227,Drosophila melanogaster,GSM5098877,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for Pex5 knockdown, rep1",oenocytes,oenocytes,no RU feeding,control for Pex5 knockdown,,GSM5098877
SRR13761757,39458848,5918827200,150,2060,SRX10148460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300877,SAMN18025004,simple,7227,Drosophila melanogaster,GSM5098878,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for Pex5 knockdown, rep2",oenocytes,oenocytes,no RU feeding,control for Pex5 knockdown,,GSM5098878
SRR13761758,27605650,4140847500,150,1444,SRX10148461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300878,SAMN18025003,simple,7227,Drosophila melanogaster,GSM5098879,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila control samples for Pex5 knockdown, rep3",oenocytes,oenocytes,no RU feeding,control for Pex5 knockdown,,GSM5098879
SRR13761759,32382044,4857306600,150,1698,SRX10148462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP307473,PRJNA703841,1,"",SRS8300879,SAMN18025002,simple,7227,Drosophila melanogaster,GSM5098880,GEO,SRA1198635,02,2021,Makar,oenocytes,"Drosophila Pex5 knockdown samples, rep1",oenocytes,oenocytes,RU feeding,Pex5 knockdown,,GSM5098880
